entry,end,size,name,namespace,calling_convention,parameters,return_type,thunk,no_return,external
0x000f9670,0x000f96c5,86,"FUN_000f9670","Global","unknown",0,"undefined",false,false,false
0x000f96d0,0x000f96f7,40,"FUN_000f96d0","Global","unknown",0,"undefined",false,false,false
0x000f9704,0x000f979f,156,"FUN_000f9704","Global","unknown",0,"undefined",false,false,false
0x000f97a8,0x000f9871,202,"FUN_000f97a8","Global","unknown",0,"undefined",false,false,false
0x000f9898,0x000f98bb,36,"FUN_000f9898","Global","unknown",0,"undefined",false,false,false
0x000f9958,0x000f996b,20,"FUN_000f9958","Global","unknown",0,"undefined",false,false,false
0x000f9978,0x000f998b,20,"FUN_000f9978","Global","unknown",0,"undefined",false,false,false
0x000f9998,0x000f9a01,106,"FUN_000f9998","Global","unknown",0,"undefined",false,false,false
0x000f9a0c,0x000f9a0f,4,"thunk_FUN_000fc30c","Global","unknown",0,"undefined",true,false,false
0x000f9a10,0x000f9bef,480,"bootloader_entry","Global","unknown",0,"undefined",false,false,false
0x000f9c30,0x000f9c3d,14,"FUN_000f9c30","Global","unknown",0,"undefined",false,false,false
0x000f9c44,0x000f9c45,2,"thunk_FUN_000f9c4c","Global","unknown",0,"undefined",true,false,false
0x000f9c4c,0x000f9c51,12,"FUN_000f9c4c","Global","unknown",0,"undefined",false,false,false
0x000f9c64,0x000f9c83,32,"FUN_000f9c64","Global","unknown",0,"undefined",false,false,false
0x000f9c88,0x000f9c93,12,"FUN_000f9c88","Global","unknown",0,"undefined",false,false,false
0x000f9c94,0x000f9cab,24,"FUN_000f9c94","Global","unknown",0,"undefined",false,false,false
0x000f9cac,0x000f9d37,140,"dfu_advertising_name_get","Global","unknown",0,"undefined",false,false,false
0x000f9d44,0x000f9d6f,44,"FUN_000f9d44","Global","unknown",0,"undefined",false,false,false
0x000f9d78,0x000f9db9,66,"nrf_bootloader_app_activate","Global","unknown",0,"undefined",false,false,false
0x000f9dc4,0x000f9dc7,4,"FUN_000f9dc4","Global","unknown",0,"undefined",false,false,false
0x000f9dc8,0x000f9e61,154,"FUN_000f9dc8","Global","unknown",0,"undefined",false,false,false
0x000f9e68,0x000f9ea1,58,"FUN_000f9e68","Global","unknown",0,"undefined",false,false,false
0x000f9ea8,0x000f9ecf,40,"FUN_000f9ea8","Global","unknown",0,"undefined",false,false,false
0x000f9ed4,0x000f9f13,64,"FUN_000f9ed4","Global","unknown",0,"undefined",false,false,false
0x000f9f1c,0x000f9f49,46,"FUN_000f9f1c","Global","unknown",0,"undefined",false,false,false
0x000f9f50,0x000f9f91,66,"nrf_bootloader_bl_activate","Global","unknown",0,"undefined",false,false,false
0x000f9f9c,0x000fa051,182,"FUN_000f9f9c","Global","unknown",0,"undefined",false,false,false
0x000fa060,0x000fa113,170,"FUN_000fa060","Global","unknown",0,"undefined",false,false,false
0x000fa118,0x000fa169,82,"FUN_000fa118","Global","unknown",0,"undefined",false,false,false
0x000fa178,0x000fa1fd,134,"FUN_000fa178","Global","unknown",0,"undefined",false,false,false
0x000fa210,0x000fa3d7,456,"FUN_000fa210","Global","unknown",0,"undefined",false,false,false
0x000fa3e8,0x000fa3ef,8,"FUN_000fa3e8","Global","unknown",0,"undefined",false,false,false
0x000fa3f0,0x000fa3ff,16,"FUN_000fa3f0","Global","unknown",0,"undefined",false,false,false
0x000fa400,0x000fa40b,12,"FUN_000fa400","Global","unknown",0,"undefined",false,false,false
0x000fa40c,0x000fa49d,146,"FUN_000fa40c","Global","unknown",0,"undefined",false,false,false
0x000fa4a4,0x000fa4e3,64,"FUN_000fa4a4","Global","unknown",0,"undefined",false,false,false
0x000fa4e4,0x000fa4fb,24,"FUN_000fa4e4","Global","unknown",0,"undefined",false,false,false
0x000fa500,0x000fa50b,12,"FUN_000fa500","Global","unknown",0,"undefined",false,false,false
0x000fa510,0x000fa529,26,"FUN_000fa510","Global","unknown",0,"undefined",false,false,false
0x000fa534,0x000fa543,16,"FUN_000fa534","Global","unknown",0,"undefined",false,false,false
0x000fa5a4,0x000fa603,96,"FUN_000fa5a4","Global","unknown",0,"undefined",false,false,false
0x000fa608,0x000fa635,46,"FUN_000fa608","Global","unknown",0,"undefined",false,false,false
0x000fa64c,0x000fa657,12,"FUN_000fa64c","Global","unknown",0,"undefined",false,false,false
0x000fa65c,0x000fa691,54,"FUN_000fa65c","Global","unknown",0,"undefined",false,false,false
0x000fa698,0x000fa6b5,30,"FUN_000fa698","Global","unknown",0,"undefined",false,false,false
0x000fa6b8,0x000fa6e5,46,"FUN_000fa6b8","Global","unknown",0,"undefined",false,false,false
0x000fa776,0x000fa86b,372,"FUN_000fa776","Global","unknown",0,"undefined",false,false,false
0x000fa870,0x000fa8e3,116,"nrf_bootloader_app_is_valid","Global","unknown",0,"undefined",false,false,false
0x000fa908,0x000fa945,56,"FUN_000fa908","Global","unknown",0,"undefined",false,false,false
0x000fa950,0x000fa973,36,"FUN_000fa950","Global","unknown",0,"undefined",false,false,false
0x000fa978,0x000fa991,26,"FUN_000fa978","Global","unknown",0,"undefined",false,false,false
0x000fa9e4,0x000faa2b,72,"FUN_000fa9e4","Global","unknown",0,"undefined",false,false,false
0x000faa30,0x000faa65,54,"FUN_000faa30","Global","unknown",0,"undefined",false,false,false
0x000faa66,0x000faab9,84,"FUN_000faa66","Global","unknown",0,"undefined",false,false,false
0x000faaba,0x000faac7,14,"FUN_000faaba","Global","unknown",0,"undefined",false,false,false
0x000faac8,0x000faad1,10,"FUN_000faac8","Global","unknown",0,"undefined",false,false,false
0x000faad8,0x000faadf,8,"FUN_000faad8","Global","unknown",0,"undefined",false,false,false
0x000faafc,0x000fab03,8,"FUN_000faafc","Global","unknown",0,"undefined",false,false,false
0x000fab04,0x000fabd9,214,"gap_params_init","Global","unknown",0,"undefined",false,false,false
0x000fabf4,0x000fac33,64,"FUN_000fabf4","Global","unknown",0,"undefined",false,false,false
0x000fac3c,0x000facc7,140,"FUN_000fac3c","Global","unknown",0,"undefined",false,false,false
0x000face0,0x000fad0d,46,"FUN_000face0","Global","unknown",0,"undefined",false,false,false
0x000fad38,0x000fad8f,88,"FUN_000fad38","Global","unknown",0,"undefined",false,false,false
0x000fad98,0x000fadc5,46,"FUN_000fad98","Global","unknown",0,"undefined",false,false,false
0x000fadc8,0x000fadf7,48,"FUN_000fadc8","Global","unknown",0,"undefined",false,false,false
0x000fadf8,0x000fae07,16,"FUN_000fadf8","Global","unknown",0,"undefined",false,false,false
0x000fae08,0x000fae2d,38,"FUN_000fae08","Global","unknown",0,"undefined",false,false,false
0x000fae2e,0x000fae43,22,"FUN_000fae2e","Global","unknown",0,"undefined",false,false,false
0x000fae44,0x000fae59,22,"FUN_000fae44","Global","unknown",0,"undefined",false,false,false
0x000fae5a,0x000fae6f,22,"FUN_000fae5a","Global","unknown",0,"undefined",false,false,false
0x000fae70,0x000fae85,22,"FUN_000fae70","Global","unknown",0,"undefined",false,false,false
0x000fae86,0x000fae9d,18,"FUN_000fae86","Global","unknown",0,"undefined",false,false,false
0x000fae8c,0x000faea7,16,"FUN_000fae8c","Global","unknown",0,"undefined",false,false,false
0x000faea8,0x000faeb1,10,"FUN_000faea8","Global","unknown",0,"undefined",false,false,false
0x000faeb2,0x000faef5,68,"FUN_000faeb2","Global","unknown",0,"undefined",false,false,false
0x000faef6,0x000faf25,48,"FUN_000faef6","Global","unknown",0,"undefined",false,false,false
0x000faf26,0x000faf55,48,"FUN_000faf26","Global","unknown",0,"undefined",false,false,false
0x000faf56,0x000fafd3,124,"nrf_bootloader_app_start","Global","unknown",0,"undefined",false,false,false
0x000fafdc,0x000faffd,34,"FUN_000fafdc","Global","unknown",0,"undefined",false,false,false
0x000fb004,0x000fb03b,56,"nrf_bootloader_acl_add","Global","unknown",0,"undefined",false,false,false
0x000fb044,0x000fb0a9,102,"nrf_bootloader_fw_activate","Global","unknown",0,"undefined",false,false,false
0x000fb0b8,0x000fb14d,150,"nrf_bootloader_main","Global","unknown",0,"undefined",false,false,false
0x000fb168,0x000fb191,42,"FUN_000fb168","Global","unknown",0,"undefined",false,false,false
0x000fb198,0x000fb1ab,20,"FUN_000fb198","Global","unknown",0,"undefined",false,false,false
0x000fb1ac,0x000fb1bb,16,"FUN_000fb1ac","Global","unknown",0,"undefined",false,false,false
0x000fb1c0,0x000fb1fb,60,"FUN_000fb1c0","Global","unknown",0,"undefined",false,false,false
0x000fb208,0x000fb227,32,"FUN_000fb208","Global","unknown",0,"undefined",false,false,false
0x000fb228,0x000fb28b,100,"FUN_000fb228","Global","unknown",0,"undefined",false,false,false
0x000fb298,0x000fb2c7,48,"FUN_000fb298","Global","unknown",0,"undefined",false,false,false
0x000fb2cc,0x000fb31b,80,"FUN_000fb2cc","Global","unknown",0,"undefined",false,false,false
0x000fb320,0x000fb38b,108,"FUN_000fb320","Global","unknown",0,"undefined",false,false,false
0x000fb38c,0x000fb3b1,38,"FUN_000fb38c","Global","unknown",0,"undefined",false,false,false
0x000fb3b8,0x000fb3e5,46,"FUN_000fb3b8","Global","unknown",0,"undefined",false,false,false
0x000fb3e8,0x000fb419,48,"FUN_000fb3e8","Global","unknown",0,"undefined",false,false,false
0x000fb428,0x000fb441,26,"FUN_000fb428","Global","unknown",0,"undefined",false,false,false
0x000fb442,0x000fb457,22,"FUN_000fb442","Global","unknown",0,"undefined",false,false,false
0x000fb458,0x000fb46f,24,"FUN_000fb458","Global","unknown",0,"undefined",false,false,false
0x000fb470,0x000fb489,26,"FUN_000fb470","Global","unknown",0,"undefined",false,false,false
0x000fb48a,0x000fb49f,22,"FUN_000fb48a","Global","unknown",0,"undefined",false,false,false
0x000fb4a0,0x000fb4b5,20,"FUN_000fb4a0","Global","unknown",0,"undefined",false,false,false
0x000fb4b6,0x000fb4cd,24,"FUN_000fb4b6","Global","unknown",0,"undefined",false,false,false
0x000fb4d0,0x000fb4f1,34,"FUN_000fb4d0","Global","unknown",0,"undefined",false,false,false
0x000fb4f8,0x000fb513,28,"FUN_000fb4f8","Global","unknown",0,"undefined",false,false,false
0x000fb518,0x000fb525,14,"FUN_000fb518","Global","unknown",0,"undefined",false,false,false
0x000fb52c,0x000fb5b7,140,"FUN_000fb52c","Global","unknown",0,"undefined",false,false,false
0x000fb5c4,0x000fb651,132,"FUN_000fb5c4","Global","unknown",0,"undefined",false,false,false
0x000fb658,0x000fb6c3,98,"FUN_000fb658","Global","unknown",0,"undefined",false,false,false
0x000fb6cc,0x000fb6d7,12,"FUN_000fb6cc","Global","unknown",0,"undefined",false,false,false
0x000fb6dc,0x000fb6eb,16,"FUN_000fb6dc","Global","unknown",0,"undefined",false,false,false
0x000fb6f8,0x000fb709,18,"FUN_000fb6f8","Global","unknown",0,"undefined",false,false,false
0x000fb710,0x000fb7b9,96,"FUN_000fb710","Global","unknown",0,"undefined",false,false,false
0x000fb73c,0x000fb73f,4,"FUN_000fb73c","Global","unknown",0,"undefined",false,false,false
0x000fb740,0x000fb755,22,"nrf_dfu_mbr_copy_bl","Global","unknown",0,"undefined",false,false,false
0x000fb758,0x000fb769,18,"FUN_000fb758","Global","unknown",0,"undefined",false,false,false
0x000fb770,0x000fb77b,12,"FUN_000fb770","Global","unknown",0,"undefined",false,false,false
0x000fb7c0,0x000fb7cf,16,"FUN_000fb7c0","Global","unknown",0,"undefined",false,false,false
0x000fb7d8,0x000fb85f,122,"FUN_000fb7d8","Global","unknown",0,"undefined",false,false,false
0x000fb868,0x000fb87d,22,"FUN_000fb868","Global","unknown",0,"undefined",false,false,false
0x000fb8e4,0x000fb911,46,"FUN_000fb8e4","Global","unknown",0,"undefined",false,false,false
0x000fb918,0x000fb92b,20,"FUN_000fb918","Global","unknown",0,"undefined",false,false,false
0x000fb930,0x000fb94b,28,"bootloader_adv_name_record_valid","Global","unknown",0,"undefined",false,false,false
0x000fb950,0x000fb981,50,"bootloader_adv_name_record_write","Global","unknown",0,"undefined",false,false,false
0x000fb988,0x000fb98d,6,"FUN_000fb988","Global","unknown",0,"undefined",false,false,false
0x000fb994,0x000fb9ad,26,"FUN_000fb994","Global","unknown",0,"undefined",false,false,false
0x000fb9b0,0x000fb9d1,34,"FUN_000fb9b0","Global","unknown",0,"undefined",false,false,false
0x000fb9d8,0x000fba95,190,"nrf_dfu_settings_init","Global","unknown",0,"undefined",false,false,false
0x000fbaac,0x000fbad5,42,"FUN_000fbaac","Global","unknown",0,"undefined",false,false,false
0x000fbae0,0x000fbaf9,26,"FUN_000fbae0","Global","unknown",0,"undefined",false,false,false
0x000fbb00,0x000fbb05,6,"FUN_000fbb00","Global","unknown",0,"undefined",false,false,false
0x000fbb08,0x000fbb33,44,"FUN_000fbb08","Global","unknown",0,"undefined",false,false,false
0x000fbb3c,0x000fbb65,42,"FUN_000fbb3c","Global","unknown",0,"undefined",false,false,false
0x000fbb70,0x000fbb75,6,"FUN_000fbb70","Global","unknown",0,"undefined",false,false,false
0x000fbb76,0x000fbc1d,168,"nrf_dfu_validation_boot_validate","Global","unknown",0,"undefined",false,false,false
0x000fbc28,0x000fbc41,26,"FUN_000fbc28","Global","unknown",0,"undefined",false,false,false
0x000fbc4c,0x000fbc8d,66,"FUN_000fbc4c","Global","unknown",0,"undefined",false,false,false
0x000fbc94,0x000fbcbd,42,"FUN_000fbc94","Global","unknown",0,"undefined",false,false,false
0x000fbcc8,0x000fbd51,138,"FUN_000fbcc8","Global","unknown",0,"undefined",false,false,false
0x000fbd5c,0x000fbd61,6,"FUN_000fbd5c","Global","unknown",0,"undefined",false,false,false
0x000fbd68,0x000fbda5,62,"nrf_dfu_validation_prevalidate","Global","unknown",0,"undefined",false,false,false
0x000fbdb0,0x000fbe3f,144,"nrf_dfu_validation_signature_check","Global","unknown",0,"undefined",false,false,false
0x000fbe48,0x000fbecd,134,"nrf_dfu_ver_validation_check","Global","unknown",0,"undefined",false,false,false
0x000fbed4,0x000fbeff,44,"FUN_000fbed4","Global","unknown",0,"undefined",false,false,false
0x000fbf00,0x000fbf07,8,"FUN_000fbf00","Global","unknown",0,"undefined",false,false,false
0x000fbf08,0x000fbf4d,68,"FUN_000fbf08","Global","unknown",0,"undefined",false,false,false
0x000fbf90,0x000fc025,150,"FUN_000fbf90","Global","unknown",0,"undefined",false,false,false
0x000fc030,0x000fc06d,62,"FUN_000fc030","Global","unknown",0,"undefined",false,false,false
0x000fc070,0x000fc097,40,"FUN_000fc070","Global","unknown",0,"undefined",false,false,false
0x000fc0a0,0x000fc0c5,38,"FUN_000fc0a0","Global","unknown",0,"undefined",false,false,false
0x000fc0d0,0x000fc109,56,"FUN_000fc0d0","Global","unknown",0,"undefined",false,false,false
0x000fc114,0x000fc11f,12,"FUN_000fc114","Global","unknown",0,"undefined",false,false,false
0x000fc120,0x000fc12f,16,"FUN_000fc120","Global","unknown",0,"undefined",false,false,false
0x000fc134,0x000fc1cf,156,"FUN_000fc134","Global","unknown",0,"undefined",false,false,false
0x000fc1d0,0x000fc1dd,14,"FUN_000fc1d0","Global","unknown",0,"undefined",false,false,false
0x000fc1e4,0x000fc23b,88,"FUN_000fc1e4","Global","unknown",0,"undefined",false,false,false
0x000fc244,0x000fc293,80,"FUN_000fc244","Global","unknown",0,"undefined",false,false,false
0x000fc298,0x000fc2fd,102,"FUN_000fc298","Global","unknown",0,"undefined",false,false,false
0x000fc30c,0x000fc32b,32,"FUN_000fc30c","Global","unknown",0,"undefined",false,false,false
0x000fc330,0x000fc335,6,"FUN_000fc330","Global","unknown",0,"undefined",false,false,false
0x000fc33c,0x000fc351,22,"FUN_000fc33c","Global","unknown",0,"undefined",false,false,false
0x000fc394,0x000fc3c1,46,"FUN_000fc394","Global","unknown",0,"undefined",false,false,false
0x000fc3c2,0x000fc3e1,32,"FUN_000fc3c2","Global","unknown",0,"undefined",false,false,false
0x000fc3e4,0x000fc437,84,"hardfault_c_handler","Global","unknown",0,"undefined",false,false,false
0x000fc440,0x000fc44b,12,"FUN_000fc440","Global","unknown",0,"undefined",false,false,false
0x000fc450,0x000fc45d,14,"FUN_000fc450","Global","unknown",0,"undefined",false,false,false
0x000fc468,0x000fc4cd,102,"FUN_000fc468","Global","unknown",0,"undefined",false,false,false
0x000fc4dc,0x000fc547,108,"nrf_dfu_data_object_create","Global","unknown",0,"undefined",false,false,false
0x000fc550,0x000fc5b3,100,"FUN_000fc550","Global","unknown",0,"undefined",false,false,false
0x000fc5c8,0x000fc63d,118,"nrf_dfu_data_object_write","Global","unknown",0,"undefined",false,false,false
0x000fc654,0x000fc679,38,"FUN_000fc654","Global","unknown",0,"undefined",false,false,false
0x000fc690,0x000fc70f,128,"FUN_000fc690","Global","unknown",0,"undefined",false,false,false
0x000fc7a4,0x000fc7e3,64,"FUN_000fc7a4","Global","unknown",0,"undefined",false,false,false
0x000fc7e4,0x000fc83b,88,"FUN_000fc7e4","Global","unknown",0,"undefined",false,false,false
0x000fc83c,0x000fc893,88,"FUN_000fc83c","Global","unknown",0,"undefined",false,false,false
0x000fc894,0x000fc8eb,88,"FUN_000fc894","Global","unknown",0,"undefined",false,false,false
0x000fc8ec,0x000fc909,30,"FUN_000fc8ec","Global","unknown",0,"undefined",false,false,false
0x000fc90a,0x000fc933,42,"FUN_000fc90a","Global","unknown",0,"undefined",false,false,false
0x000fc934,0x000fc98f,92,"FUN_000fc934","Global","unknown",0,"undefined",false,false,false
0x000fc990,0x000fcb19,392,"FUN_000fc990","Global","unknown",0,"undefined",false,false,false
0x000fcb1a,0x000fcb53,58,"FUN_000fcb1a","Global","unknown",0,"undefined",false,false,false
0x000fcb54,0x000fcb95,66,"FUN_000fcb54","Global","unknown",0,"undefined",false,false,false
0x000fcb96,0x000fcbdf,74,"FUN_000fcb96","Global","unknown",0,"undefined",false,false,false
0x000fcbe0,0x000fcc2b,76,"FUN_000fcbe0","Global","unknown",0,"undefined",false,false,false
0x000fcc2c,0x000fcc5f,52,"nrf_dfu_init_command_decode_callback","Global","unknown",0,"undefined",false,false,false
0x000fcc68,0x000fcc89,34,"FUN_000fcc68","Global","unknown",0,"undefined",false,false,false
0x000fcc8a,0x000fccb7,46,"FUN_000fcc8a","Global","unknown",0,"undefined",false,false,false
0x000fccb8,0x000fcd35,126,"FUN_000fccb8","Global","unknown",0,"undefined",false,false,false
0x000fcd36,0x000fcdd9,164,"FUN_000fcd36","Global","unknown",0,"undefined",false,false,false
0x000fcddc,0x000fcde9,14,"FUN_000fcddc","Global","unknown",0,"undefined",false,false,false
0x000fcdf0,0x000fce25,54,"FUN_000fcdf0","Global","unknown",0,"undefined",false,false,false
0x000fce26,0x000fce4b,38,"FUN_000fce26","Global","unknown",0,"undefined",false,false,false
0x000fce4c,0x000fce9f,84,"FUN_000fce4c","Global","unknown",0,"undefined",false,false,false
0x000fcea4,0x000fcec3,32,"FUN_000fcea4","Global","unknown",0,"undefined",false,false,false
0x000fcec4,0x000fcf1d,90,"FUN_000fcec4","Global","unknown",0,"undefined",false,false,false
0x000fcf20,0x000fcfe3,196,"nrf_dfu_validation_postvalidate_impl","Global","unknown",0,"undefined",false,false,false
0x000fcff0,0x000fd0e3,244,"FUN_000fcff0","Global","unknown",0,"undefined",false,false,false
0x000fd0f0,0x000fd0f9,10,"FUN_000fd0f0","Global","unknown",0,"undefined",false,false,false
0x000fd104,0x000fd193,144,"FUN_000fd104","Global","unknown",0,"undefined",false,false,false
0x000fd1a0,0x000fd1bd,30,"FUN_000fd1a0","Global","unknown",0,"undefined",false,false,false
0x000fd1c4,0x000fd1d1,14,"FUN_000fd1c4","Global","unknown",0,"undefined",false,false,false
0x000fd1d2,0x000fd1df,14,"FUN_000fd1d2","Global","unknown",0,"undefined",false,false,false
0x000fd1e0,0x000fd241,98,"FUN_000fd1e0","Global","unknown",0,"undefined",false,false,false
0x000fd242,0x000fd261,32,"FUN_000fd242","Global","unknown",0,"undefined",false,false,false
0x000fd264,0x000fd28b,40,"FUN_000fd264","Global","unknown",0,"undefined",false,false,false
0x000fd2a0,0x000fd2e9,74,"nrf_bootloader_sd_activate","Global","unknown",0,"undefined",false,false,false
0x000fd2f4,0x000fd333,64,"FUN_000fd2f4","Global","unknown",0,"undefined",false,false,false
0x000fd338,0x000fd39b,100,"FUN_000fd338","Global","unknown",0,"undefined",false,false,false
0x000fd3a0,0x000fd3cb,42,"FUN_000fd3a0","Global","unknown",0,"undefined",false,false,false
0x000fd3d0,0x000fd3f5,36,"FUN_000fd3d0","Global","unknown",0,"undefined",false,false,false
0x000fd3fc,0x000fd407,12,"FUN_000fd3fc","Global","unknown",0,"undefined",false,false,false
0x000fd410,0x000fd419,10,"FUN_000fd410","Global","unknown",0,"undefined",false,false,false
0x000fd41a,0x000fd469,80,"FUN_000fd41a","Global","unknown",0,"undefined",false,false,false
0x000fd46c,0x000fd4a7,60,"FUN_000fd46c","Global","unknown",0,"undefined",false,false,false
0x000fd4ac,0x000fd4fb,80,"FUN_000fd4ac","Global","unknown",0,"undefined",false,false,false
0x000fd504,0x000fd5af,172,"FUN_000fd504","Global","unknown",0,"undefined",false,false,false
0x000fd5cc,0x000fd621,86,"FUN_000fd5cc","Global","unknown",0,"undefined",false,false,false
0x000fd62c,0x000fd68b,96,"FUN_000fd62c","Global","unknown",0,"undefined",false,false,false
0x000fd6a0,0x000fd6b9,26,"FUN_000fd6a0","Global","unknown",0,"undefined",false,false,false
0x000fd6bc,0x000fd6cb,16,"FUN_000fd6bc","Global","unknown",0,"undefined",false,false,false
0x000fd6d0,0x000fd6e1,18,"FUN_000fd6d0","Global","unknown",0,"undefined",false,false,false
0x000fd714,0x000fd767,84,"FUN_000fd714","Global","unknown",0,"undefined",false,false,false
0x000fd76c,0x000fd785,26,"FUN_000fd76c","Global","unknown",0,"undefined",false,false,false
0x000fd78c,0x000fd7bb,48,"FUN_000fd78c","Global","unknown",0,"undefined",false,false,false
0x000fd7d4,0x000fd813,64,"FUN_000fd7d4","Global","unknown",0,"undefined",false,false,false
0x000fd818,0x000fd861,74,"FUN_000fd818","Global","unknown",0,"undefined",false,false,false
0x000fd8b0,0x000fd8b5,6,"FUN_000fd8b0","Global","unknown",0,"undefined",false,false,false
