# Direct four-byte data cells referenced by the complete positive-byte closure; these add zero function-envelope bytes
address	size	bytes_hex	sha256	symbol	value_or_target	classification	consumers	wave11_additional_function_bytes
0x005AF7A4	4	00a02700	562557dad3d53ce22fa16f60551601d424b5c8fcd616437a34fefd23c7c30a49	DAT_005af7a4	0x0027A000	source-owned-constant-or-table-pointer	0x005AEA90	0
0x005AF7A8	4	b168de3a	79f6cb3fb0aa2f983e3f9d53f87fc1650a6bc4ec46b8eac4b84391140b929515	DAT_005af7a8	0x3ADE68B1	source-owned-constant-or-table-pointer	0x005AEA90	0
0x005AF7AC	4	00009cff	7c2315c6fdd2d4883c6866183aa02f04f3fa89a315b938b07d2f77c6e140a9f9	DAT_005af7ac	0xFF9C0000	source-owned-constant-or-table-pointer	0x005AEBF4	0
0x005AF7B0	4	70e87700	30aadfc37f3552fb6e6064383bd9b2b7e941e6abbd4c2e0beb22dc25bc5c08b1	DAT_005af7b0	0x0077E870	source-owned-constant-or-table-pointer	0x005AEE7C	0
0x005B0004	4	e0a57800	305a08ebb88f122163cd5ec75ce506fd9bb7c62971f43462dac455db460f35da	DAT_005b0004	0x0078A5E0	source-owned-cff-face-init-literal-or-pointer	0x005AF88C	0
0x005B00C8	4	14d17800	7fb1308fb45e42dd603be413e450e8ac827277fdb8eb5377b2125394deccfa1b	PTR_DAT_005b00c8	0x0078D114	source-owned-cff-face-init-literal-or-pointer	0x005AF88C	0
0x005B00CC	4	34e87700	719be90555534f21d9c89ae526f58fe4c6b04a9a3f5b97e264124ae66c3e4ad6	PTR_s_postscript_cmaps_005b00cc	0x0077E834	source-owned-cff-face-init-literal-or-pointer	0x005AF88C	0
0x005B00D0	4	24d17800	e18870db072f00b74afcd30fa01d2ece20c619b8b36e67955fdb0b75d45556cd	PTR_s_psaux_005b00d0	0x0078D124	source-owned-cff-face-init-literal-or-pointer	0x005AF88C	0
0x005B00D4	4	d4a57800	aba03630d8a0c4a4785a73aca83fd2fb05557e86067853a5c926c79643816a3c	PTR_s_cff_load_005b00d4	0x0078A5D4	source-owned-cff-face-init-literal-or-pointer	0x005AF88C	0
0x005B00D8	4	4f54544f	7ff30fcf2251a8e9cf8e5175d75e90b3c02656f9a344b10948a4d96bb568d74e	DAT_005b00d8	0x4F54544F	source-owned-cff-face-init-literal-or-pointer	0x005AF88C	0
0x005B00DC	4	64616568	ee1f33ba25e15bfe943e4317689117b0a3916aa541fde293eda0e704808e65ee	DAT_005b00dc	0x68656164	source-owned-cff-face-init-literal-or-pointer	0x005AF88C	0
0x005B00E0	4	32464643	a644d8b3ffac9249da6e36cd2e55c511c66e4135300ff6cb53cbd5c1e84866f5	DAT_005b00e0	0x43464632	source-owned-cff-face-init-literal-or-pointer	0x005AF88C	0
0x005B00E4	4	20464643	08284b0db7bb60daa4df947cb55fd038bfca82fe7292fd60306f23933489d606	DAT_005b00e4	0x43464620	source-owned-cff-face-init-literal-or-pointer	0x005AF88C	0
0x005B00E8	4	2cd17800	aacb715fc491e81064e6e381ad317eab6286534ead8dcdf1d4872ec5183a057c	PTR_s_Regular_005b00e8	0x0078D12C	source-owned-cff-face-init-literal-or-pointer	0x005AF88C	0
0x005B00EC	4	34d17800	f70dc090789a0d524764471b9c3348e1e63c47838b6c186306e835d87761b8e0	PTR_DAT_005b00ec	0x0078D134	source-owned-cff-face-init-literal-or-pointer	0x005AF88C	0
0x005B00F0	4	3cd17800	c28678b2a250bcae11aaa56be837a4063fee6b132a9b1663c16b36704713b18a	PTR_s_Black_005b00f0	0x0078D13C	source-owned-cff-face-init-literal-or-pointer	0x005AF88C	0
0x005B00F4	4	63696e75	b7c15f127662630ebc4f41015f1ba4c1cb45b8173ccb303935864e33e867ea1c	DAT_005b00f4	0x756E6963	source-owned-cff-face-init-literal-or-pointer	0x005AF88C	0
0x005B00F8	4	84807400	b4160a09eaf8c2f74ea21294433cd7f75374946855851962c0b3e1f7b818800c	DAT_005b00f8	0x00748084	source-owned-cff-face-init-literal-or-pointer	0x005AF88C	0
0x005B00FC	4	424f4441	52a194f4999dae52d42bdb647c5f74b9e4616a9996d2b010d52f612f07d272cc	DAT_005b00fc	0x41444F42	source-owned-cff-face-init-literal-or-pointer	0x005AF88C	0
0x005B0100	4	5c807400	de44ca5bac2d8f817806e194332aad90c0913bf2e41e2cac74f3e8a1ae93509b	DAT_005b0100	0x0074805C	source-owned-cff-face-init-literal-or-pointer	0x005AF88C	0
0x005B0104	4	45424441	470d5d5267c893918649367211a6de9a76a7a2cab45265dd2ff9aabfb17583a2	DAT_005b0104	0x41444245	source-owned-cff-face-init-literal-or-pointer	0x005AF88C	0
0x005B0108	4	43424441	e079751c6530ad37c08d5a1946ef8ed1b12b81afe9995bf9602e2da399a6fc0a	DAT_005b0108	0x41444243	source-owned-cff-face-init-literal-or-pointer	0x005AF88C	0
