# Apollo opacity wave 11; residual-only static closure rooted at cff_face_init
entry	end_exclusive	envelope_bytes	corpus_body_bytes	body_sha256	closure_depth	symbol	module	source_path	provider_identity	license_status	disposition	evidence
0x005AF7CC	0x005AF828	92	92	6efe3a99eca76372e249a2d3e85a68792cb712d2078f98a33f55223ca1de66d1	1	remove_subset_prefix	cff	g2/third_party/freetype/src/cff/cffobjs.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	repeated six-uppercase-letter plus-sign prefix removal
0x005AF828	0x005AF88C	100	100	cf781cc01689ff9415a1730a67aafacfa55817b205825170af96a39ba730f98f	1	remove_style	cff	g2/third_party/freetype/src/cff/cffobjs.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	suffix comparison and separator stripping exact topology
0x00528AFA	0x00528B4A	80	80	baafeb6a03f6e70cab589e25393bab2430a16aa488bcc237c421e96063e97ed3	2	FT_Stream_ReadChar	base	g2/third_party/freetype/src/base/ftstream.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	memory-or-callback byte read with stream position advance and Invalid_Stream_Operation
0x005AD7AC	0x005AD8C0	276	276	86fcade6ffad93f59f7ffea496afb81916e07e6ac8dd8e6336d966347cf95299	2	cff_index_init	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	CFF/CFF2 header count offsize data offset and load-or-skip topology
0x005AD8C0	0x005AD8F6	54	54	c0654bf341ef3cfa1060b9c2678e932f1e976676191a13da62593611a823ef86	2	cff_index_done	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	frame release offsets free and zero of live index
0x005AD9FE	0x005ADB46	328	328	37ac2582ea08b4664867df289fb5ab96531afa8ccd3658bda4fafe380674f34e	2	cff_index_get_pointers	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	offset load pointer table optional NUL pool and truncated-offset handling
0x005ADB46	0x005ADC4E	264	264	27d2c98d08fe9e0dbf1670763834e92ee3cd72b9231e447fbdf63547d94e869e	2	cff_index_access_element	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	offset scan truncation and loaded-or-stream element access
0x005ADC4E	0x005ADC5E	16	16	87ec8f48458fba9247b3c4d6f82430711f565db6936442fb6aabb8778f02476f	2	cff_index_forget_element	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	release frame only when index bytes are not resident
0x005ADCC6	0x005ADCDC	22	22	4d7cef9bdd6f30c5e127dc76406b7b2fc32ed848dc4dde4ae80248499a8e06fa	2	cff_index_get_string	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	bounds-checked font strings table access
0x005ADD3C	0x005ADDB8	124	124	3cb702839cbc4cc2e55de0fcee766fd09b67de4bf40c9226744c6367a417b08f	2	CFF_Load_FD_Select	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	FDSelect format 0 or 3 size computation and frame extraction
0x005ADEF0	0x005AE110	544	544	bb5bb636a3ea5fad6f60cf03c7ef29e135e4d9586da39dc7bbe4d910d8d9568d	2	cff_charset_load	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	predefined ISOAdobe Expert ExpertSubset or format 0/1/2 charset load
0x005AE188	0x005AE42C	676	676	3e523d0d28d8123bac6fb08ad608a092e3f31c1d2efab9d8b94ed701a7c389fc	2	cff_vstore_load	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	variation store format region axes and data region indices parser
0x005AE818	0x005AEA90	632	632	ad473332ef7cf560b6b451fd09b2617b0a4aa18671ee838baaa5196329efa7ab	2	cff_encoding_load	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	predefined or format 0/1 encoding with supplemental entries
0x005AEBF4	0x005AEE28	564	564	bd417f0bb51e0395b3bc94808639abd864dbfafe3080034832c6332c12df96b3	2	cff_subfont_load	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	top or font DICT parser private dict local subrs and random seed topology
0x005AD778	0x005AD7AC	52	52	b3c2fca6cd25038c6820295bbcbfb50ad36a3aa2b65c939a7aacd6058628593b	3	cff_index_read_offset	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	read off_size bytes then big-endian accumulation
0x005AD8F6	0x005AD9FE	264	264	8fcdafbf96f0dd4cafd97a38cdfcc23b5837cae3599b351f00dd05335bf59062	3	cff_index_load_offsets	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	allocate count+1 offsets and decode one through four-byte big-endian entries
0x00528AA0	0x00528AC6	38	38	0a31c23e4cf4550e1ced53d7be82b2497f1d9383bf25b1998818d4658a071a84	3	FT_Stream_GetUShort	base	g2/third_party/freetype/src/base/ftstream.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	unchecked cursor two-byte big-endian read
0x005ADE30	0x005ADEA4	116	116	783c8ff034d61bdfd6e5b579f6dcd10d845196db8c2fd24630d6f482b2aa4c20	3	cff_charset_compute_cids	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	max SID scan allocation and reverse glyph-index table
0x005AE118	0x005AE188	112	112	1ab383484804f69954ab9f3109d8426d7c69a26334f098a6d7c412fab98f00d1	3	cff_vstore_done	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	region axis and varData index nested frees
0x005ADEA4	0x005ADEB6	18	18	ba41a7ccb7ae1c617f4171fa4b8ff1b8f39759238b66ad607673f943c1215cec	3	cff_charset_cid_to_gindex	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	bounds-checked reverse CID table lookup
0x005ACD08	0x005ACD72	106	106	ca2af823998bae4405f88fa4d21a21e1ace611d6f08a4dbf4b5e61d916251edc	3	cff_parser_init	cff	g2/third_party/freetype/src/cff/cffparse.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	parser zero fields stack allocation and top initialization
0x005AD564	0x005AD74A	486	486	7e5698a112eac806f7aa6ed0f14bc75e1a2ce37112d2ae9e56a58a73f460da14	3	cff_parser_run	cff	g2/third_party/freetype/src/cff/cffparse.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	DICT operand scanner opcode table dispatch stack overflow and field writes
0x005AEA90	0x005AEBE6	342	342	db504d715df3597d075204ed4bf38f45f7d926741ac76ba8eef994ce644f6c10	3	cff_load_private_dict	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	private DICT parser defaults stream frame and blend clearing
0x00528928	0x00528936	14	14	3766a917842247347877976f2624b55fc83469642a8cdca231b7d1ecf0b28f5f	4	FT_Stream_Read	base	g2/third_party/freetype/src/base/ftstream.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	current-position wrapper over FT_Stream_ReadAt
0x005AD090	0x005AD0DA	74	74	ab4ea8adb9d94b91cc9d9ec84b03c3c8e188cebffe6d1b4ff51a22fbaa9b6590	4	cff_parse_num	cff	g2/third_party/freetype/src/cff/cffparse.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	BCD integer truncation CFF2 255 fixed rounding and integer fallback
0x005AD150	0x005AD15A	10	10	68b47baecc997ac37055f3c95e534f9026d0c990b00467c97332593268bcd656	4	cff_parse_fixed	cff	g2/third_party/freetype/src/cff/cffparse.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	do_fixed wrapper with zero scaling
0x005AD15A	0x005AD162	8	8	5a27a7a7ef8a0542160fb212179e81f434cabaa36b6d9fb66f900b291b67f067	4	cff_parse_fixed_scaled	cff	g2/third_party/freetype/src/cff/cffparse.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	do_fixed wrapper forwarding scaling
0x005ACD72	0x005ACD86	20	20	1a60bc8fe942e79e1d0f096042ea1f1e04930228c28e155350643754521a7098	3	cff_parser_done	cff	g2/third_party/freetype/src/cff/cffparse.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	free parser stack through library memory
0x005AE42C	0x005AE43C	16	16	54ccb41845a9c9c032c74f3126dddf97bc36de71dba4164d69fddfd444da8794	4	cff_blend_clear	cff	g2/third_party/freetype/src/cff/cffload.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	reset blend_top to blend_stack and blend_used to zero
0x00528936	0x00528992	92	92	4a921db2b34388beed96125f1601b5f314160061357b4ca8c1cab562099f26af	5	FT_Stream_ReadAt	base	g2/third_party/freetype/src/base/ftstream.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	memory-or-callback bounded positional read and stream position update
0x005ACD86	0x005ACDFE	120	120	25cb4dc57b336bee5c60ee9fbab82c038ced9a96480cb36aaef1683227b5b8c0	5	cff_parse_integer	cff	g2/third_party/freetype/src/cff/cffparse.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	CFF DICT integer opcode decoding with bounds failures
0x005ACE10	0x005AD080	624	624	2edb08950d9984d6ac4813ee01036d04d3f9cb050ce9bc49cae161cc3efd437a	5	cff_parse_real	cff	g2/third_party/freetype/src/cff/cffparse.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	nibble-coded decimal parser exponent scaling rounding overflow and underflow
0x005AD0DA	0x005AD150	118	118	6215506830fdccffb3b35ce312d17bb32d9c47139abe07e1d29d08db77f007aa	5	do_fixed	cff	g2/third_party/freetype/src/cff/cffparse.c	FreeType-2.9.1-VER-2-9-1	FTL	source-attributed-research-only	integer-or-real fixed conversion with power-ten scaling saturation
