lane	config	function	start	end	candidate_symbol	evidence	candidate_size	stock_size	size_delta	raw_match	strict_normalized_match	candidate_sha256	stock_sha256	candidate_normalized_sha256	stock_normalized_sha256	compile_ns	link_ns	assert_object_sha256	trace_object_sha256	linked_sha256
stockabi_1024__O2_noinline	O2_noinline	WsfTrace	0x0052A63C	0x0052A672	WsfTrace	126 direct BL callers; source-path literal and line 137; exact 1024-byte stack buffer and provider call order	72	54	18	no	no	44a0d67b6c1ac33e2e77a7ba9ea5d1db088d5b85f0a2ac2fad73e2e13be93a5c	80980ca4a2a21e3a3223b6dae5bb0a5a06d9e754f047cc7ee0a1119e035a71a5	112c268c9c1cd01075e34201e5860ba5e40c94e46deec75fbced9e8a601b9cdb	7b7b416bbc5958a521fbc5f9ac49f893324444c246324548dd88188a0f8e9c7e	77987456	14512168	dae39310f7e25478ba7d8565e1dbe1dd490d0fd40a41bddde5def12a1ba97563	67ba134436ed0bbe8c2a53c569ae5bddd8ae339ce29811bfb893a84d7adde0ac	fc91fd0b17d705893f6cb0f29a000aedff65fc4ae3feac40ab9ceea6eaea7e5a
stockabi_1024__O2_noinline	O2_noinline	WsfAssert	0x00569A44	0x00569ADE	WsfAssert	sole direct BL from WsfTrace; complete return boundary; retained wsf_assert.c path and EasyLogger literals; downstream-modified implementation	20	154	-134	no	no	44e17c61a76af4a5c682f85103366909d94388a354b892afbcb707dc46988350	526251ab7ee29a39694834da3f57bb85498c282bde7c017b2841ce97da6f3406	5b8881fc82acb88d81810f075a96aedf89c96b1fbc577bb25375f54b36ddbd4f	e12a1c9dd10d3e03c924610311303fba8c1864550e98d24fe43f1a6b7af37644	77987456	14512168	dae39310f7e25478ba7d8565e1dbe1dd490d0fd40a41bddde5def12a1ba97563	67ba134436ed0bbe8c2a53c569ae5bddd8ae339ce29811bfb893a84d7adde0ac	fc91fd0b17d705893f6cb0f29a000aedff65fc4ae3feac40ab9ceea6eaea7e5a
stockabi_1024__O3	O3	WsfTrace	0x0052A63C	0x0052A672	WsfTrace	126 direct BL callers; source-path literal and line 137; exact 1024-byte stack buffer and provider call order	72	54	18	no	no	44a0d67b6c1ac33e2e77a7ba9ea5d1db088d5b85f0a2ac2fad73e2e13be93a5c	80980ca4a2a21e3a3223b6dae5bb0a5a06d9e754f047cc7ee0a1119e035a71a5	112c268c9c1cd01075e34201e5860ba5e40c94e46deec75fbced9e8a601b9cdb	7b7b416bbc5958a521fbc5f9ac49f893324444c246324548dd88188a0f8e9c7e	81167165	13821637	dae39310f7e25478ba7d8565e1dbe1dd490d0fd40a41bddde5def12a1ba97563	b37c41dbd621208f165e5880b8e7d4a1f28db85916eefdf406f6a3a28fa7a636	973b8a8dc002942b5ba5690ddb5037f73785e041961c4e9bf8e4f848daa1158f
stockabi_1024__O3	O3	WsfAssert	0x00569A44	0x00569ADE	WsfAssert	sole direct BL from WsfTrace; complete return boundary; retained wsf_assert.c path and EasyLogger literals; downstream-modified implementation	20	154	-134	no	no	44e17c61a76af4a5c682f85103366909d94388a354b892afbcb707dc46988350	526251ab7ee29a39694834da3f57bb85498c282bde7c017b2841ce97da6f3406	5b8881fc82acb88d81810f075a96aedf89c96b1fbc577bb25375f54b36ddbd4f	e12a1c9dd10d3e03c924610311303fba8c1864550e98d24fe43f1a6b7af37644	81167165	13821637	dae39310f7e25478ba7d8565e1dbe1dd490d0fd40a41bddde5def12a1ba97563	b37c41dbd621208f165e5880b8e7d4a1f28db85916eefdf406f6a3a28fa7a636	973b8a8dc002942b5ba5690ddb5037f73785e041961c4e9bf8e4f848daa1158f
stockabi_1024__O3_noinline	O3_noinline	WsfTrace	0x0052A63C	0x0052A672	WsfTrace	126 direct BL callers; source-path literal and line 137; exact 1024-byte stack buffer and provider call order	72	54	18	no	no	44a0d67b6c1ac33e2e77a7ba9ea5d1db088d5b85f0a2ac2fad73e2e13be93a5c	80980ca4a2a21e3a3223b6dae5bb0a5a06d9e754f047cc7ee0a1119e035a71a5	112c268c9c1cd01075e34201e5860ba5e40c94e46deec75fbced9e8a601b9cdb	7b7b416bbc5958a521fbc5f9ac49f893324444c246324548dd88188a0f8e9c7e	81227199	14358068	dae39310f7e25478ba7d8565e1dbe1dd490d0fd40a41bddde5def12a1ba97563	b37c41dbd621208f165e5880b8e7d4a1f28db85916eefdf406f6a3a28fa7a636	973b8a8dc002942b5ba5690ddb5037f73785e041961c4e9bf8e4f848daa1158f
stockabi_1024__O3_noinline	O3_noinline	WsfAssert	0x00569A44	0x00569ADE	WsfAssert	sole direct BL from WsfTrace; complete return boundary; retained wsf_assert.c path and EasyLogger literals; downstream-modified implementation	20	154	-134	no	no	44e17c61a76af4a5c682f85103366909d94388a354b892afbcb707dc46988350	526251ab7ee29a39694834da3f57bb85498c282bde7c017b2841ce97da6f3406	5b8881fc82acb88d81810f075a96aedf89c96b1fbc577bb25375f54b36ddbd4f	e12a1c9dd10d3e03c924610311303fba8c1864550e98d24fe43f1a6b7af37644	81227199	14358068	dae39310f7e25478ba7d8565e1dbe1dd490d0fd40a41bddde5def12a1ba97563	b37c41dbd621208f165e5880b8e7d4a1f28db85916eefdf406f6a3a28fa7a636	973b8a8dc002942b5ba5690ddb5037f73785e041961c4e9bf8e4f848daa1158f
stockabi_1024__Os	Os	WsfTrace	0x0052A63C	0x0052A672	WsfTrace	126 direct BL callers; source-path literal and line 137; exact 1024-byte stack buffer and provider call order	72	54	18	no	no	991161b08a30c063177b53044020cd11a27a5209567fefcf7aa26b85d8cd0479	80980ca4a2a21e3a3223b6dae5bb0a5a06d9e754f047cc7ee0a1119e035a71a5	48467bd822d9967a1c1ad1aebbae5760a8832a9ffc91fcf168e5be613a39801b	7b7b416bbc5958a521fbc5f9ac49f893324444c246324548dd88188a0f8e9c7e	76603007	13576706	40332127c003d0ddb14406a4ad5bdee1a4f422d83f3fac4e3967861701d996a1	14e27fc4e234494c18f5e151e900d76d496633a9e42e7e94cc20e102c49384c2	9b7cb556dec5138f1b503ab29f8ebb8e0107ad6b70dd21df8fd25c7e89fa69a6
stockabi_1024__Os	Os	WsfAssert	0x00569A44	0x00569ADE	WsfAssert	sole direct BL from WsfTrace; complete return boundary; retained wsf_assert.c path and EasyLogger literals; downstream-modified implementation	20	154	-134	no	no	44e17c61a76af4a5c682f85103366909d94388a354b892afbcb707dc46988350	526251ab7ee29a39694834da3f57bb85498c282bde7c017b2841ce97da6f3406	5b8881fc82acb88d81810f075a96aedf89c96b1fbc577bb25375f54b36ddbd4f	e12a1c9dd10d3e03c924610311303fba8c1864550e98d24fe43f1a6b7af37644	76603007	13576706	40332127c003d0ddb14406a4ad5bdee1a4f422d83f3fac4e3967861701d996a1	14e27fc4e234494c18f5e151e900d76d496633a9e42e7e94cc20e102c49384c2	9b7cb556dec5138f1b503ab29f8ebb8e0107ad6b70dd21df8fd25c7e89fa69a6
stockabi_1024__Os_noinline	Os_noinline	WsfTrace	0x0052A63C	0x0052A672	WsfTrace	126 direct BL callers; source-path literal and line 137; exact 1024-byte stack buffer and provider call order	72	54	18	no	no	991161b08a30c063177b53044020cd11a27a5209567fefcf7aa26b85d8cd0479	80980ca4a2a21e3a3223b6dae5bb0a5a06d9e754f047cc7ee0a1119e035a71a5	48467bd822d9967a1c1ad1aebbae5760a8832a9ffc91fcf168e5be613a39801b	7b7b416bbc5958a521fbc5f9ac49f893324444c246324548dd88188a0f8e9c7e	73258106	12474179	40332127c003d0ddb14406a4ad5bdee1a4f422d83f3fac4e3967861701d996a1	14e27fc4e234494c18f5e151e900d76d496633a9e42e7e94cc20e102c49384c2	9b7cb556dec5138f1b503ab29f8ebb8e0107ad6b70dd21df8fd25c7e89fa69a6
stockabi_1024__Os_noinline	Os_noinline	WsfAssert	0x00569A44	0x00569ADE	WsfAssert	sole direct BL from WsfTrace; complete return boundary; retained wsf_assert.c path and EasyLogger literals; downstream-modified implementation	20	154	-134	no	no	44e17c61a76af4a5c682f85103366909d94388a354b892afbcb707dc46988350	526251ab7ee29a39694834da3f57bb85498c282bde7c017b2841ce97da6f3406	5b8881fc82acb88d81810f075a96aedf89c96b1fbc577bb25375f54b36ddbd4f	e12a1c9dd10d3e03c924610311303fba8c1864550e98d24fe43f1a6b7af37644	73258106	12474179	40332127c003d0ddb14406a4ad5bdee1a4f422d83f3fac4e3967861701d996a1	14e27fc4e234494c18f5e151e900d76d496633a9e42e7e94cc20e102c49384c2	9b7cb556dec5138f1b503ab29f8ebb8e0107ad6b70dd21df8fd25c7e89fa69a6
stockabi_1024__Os_nosibling	Os_nosibling	WsfTrace	0x0052A63C	0x0052A672	WsfTrace	126 direct BL callers; source-path literal and line 137; exact 1024-byte stack buffer and provider call order	72	54	18	no	no	991161b08a30c063177b53044020cd11a27a5209567fefcf7aa26b85d8cd0479	80980ca4a2a21e3a3223b6dae5bb0a5a06d9e754f047cc7ee0a1119e035a71a5	48467bd822d9967a1c1ad1aebbae5760a8832a9ffc91fcf168e5be613a39801b	7b7b416bbc5958a521fbc5f9ac49f893324444c246324548dd88188a0f8e9c7e	75703693	13286720	40332127c003d0ddb14406a4ad5bdee1a4f422d83f3fac4e3967861701d996a1	76a28ae2dc20c6a56dc8ceac7e671372af4b5ade3a89f0eb5416e4d57eb0620e	32b8e365fc82a62f5a180e1624574cec846893a85a707098e313262fcf73aae7
stockabi_1024__Os_nosibling	Os_nosibling	WsfAssert	0x00569A44	0x00569ADE	WsfAssert	sole direct BL from WsfTrace; complete return boundary; retained wsf_assert.c path and EasyLogger literals; downstream-modified implementation	20	154	-134	no	no	44e17c61a76af4a5c682f85103366909d94388a354b892afbcb707dc46988350	526251ab7ee29a39694834da3f57bb85498c282bde7c017b2841ce97da6f3406	5b8881fc82acb88d81810f075a96aedf89c96b1fbc577bb25375f54b36ddbd4f	e12a1c9dd10d3e03c924610311303fba8c1864550e98d24fe43f1a6b7af37644	75703693	13286720	40332127c003d0ddb14406a4ad5bdee1a4f422d83f3fac4e3967861701d996a1	76a28ae2dc20c6a56dc8ceac7e671372af4b5ade3a89f0eb5416e4d57eb0620e	32b8e365fc82a62f5a180e1624574cec846893a85a707098e313262fcf73aae7
stockabi_1024__Oz	Oz	WsfTrace	0x0052A63C	0x0052A672	WsfTrace	126 direct BL callers; source-path literal and line 137; exact 1024-byte stack buffer and provider call order	72	54	18	no	no	991161b08a30c063177b53044020cd11a27a5209567fefcf7aa26b85d8cd0479	80980ca4a2a21e3a3223b6dae5bb0a5a06d9e754f047cc7ee0a1119e035a71a5	48467bd822d9967a1c1ad1aebbae5760a8832a9ffc91fcf168e5be613a39801b	7b7b416bbc5958a521fbc5f9ac49f893324444c246324548dd88188a0f8e9c7e	77559038	14838303	40332127c003d0ddb14406a4ad5bdee1a4f422d83f3fac4e3967861701d996a1	14e27fc4e234494c18f5e151e900d76d496633a9e42e7e94cc20e102c49384c2	9b7cb556dec5138f1b503ab29f8ebb8e0107ad6b70dd21df8fd25c7e89fa69a6
stockabi_1024__Oz	Oz	WsfAssert	0x00569A44	0x00569ADE	WsfAssert	sole direct BL from WsfTrace; complete return boundary; retained wsf_assert.c path and EasyLogger literals; downstream-modified implementation	20	154	-134	no	no	44e17c61a76af4a5c682f85103366909d94388a354b892afbcb707dc46988350	526251ab7ee29a39694834da3f57bb85498c282bde7c017b2841ce97da6f3406	5b8881fc82acb88d81810f075a96aedf89c96b1fbc577bb25375f54b36ddbd4f	e12a1c9dd10d3e03c924610311303fba8c1864550e98d24fe43f1a6b7af37644	77559038	14838303	40332127c003d0ddb14406a4ad5bdee1a4f422d83f3fac4e3967861701d996a1	14e27fc4e234494c18f5e151e900d76d496633a9e42e7e94cc20e102c49384c2	9b7cb556dec5138f1b503ab29f8ebb8e0107ad6b70dd21df8fd25c7e89fa69a6
stockabi_1024__Oz_nosibling	Oz_nosibling	WsfTrace	0x0052A63C	0x0052A672	WsfTrace	126 direct BL callers; source-path literal and line 137; exact 1024-byte stack buffer and provider call order	72	54	18	no	no	991161b08a30c063177b53044020cd11a27a5209567fefcf7aa26b85d8cd0479	80980ca4a2a21e3a3223b6dae5bb0a5a06d9e754f047cc7ee0a1119e035a71a5	48467bd822d9967a1c1ad1aebbae5760a8832a9ffc91fcf168e5be613a39801b	7b7b416bbc5958a521fbc5f9ac49f893324444c246324548dd88188a0f8e9c7e	71611704	14404817	40332127c003d0ddb14406a4ad5bdee1a4f422d83f3fac4e3967861701d996a1	76a28ae2dc20c6a56dc8ceac7e671372af4b5ade3a89f0eb5416e4d57eb0620e	32b8e365fc82a62f5a180e1624574cec846893a85a707098e313262fcf73aae7
stockabi_1024__Oz_nosibling	Oz_nosibling	WsfAssert	0x00569A44	0x00569ADE	WsfAssert	sole direct BL from WsfTrace; complete return boundary; retained wsf_assert.c path and EasyLogger literals; downstream-modified implementation	20	154	-134	no	no	44e17c61a76af4a5c682f85103366909d94388a354b892afbcb707dc46988350	526251ab7ee29a39694834da3f57bb85498c282bde7c017b2841ce97da6f3406	5b8881fc82acb88d81810f075a96aedf89c96b1fbc577bb25375f54b36ddbd4f	e12a1c9dd10d3e03c924610311303fba8c1864550e98d24fe43f1a6b7af37644	71611704	14404817	40332127c003d0ddb14406a4ad5bdee1a4f422d83f3fac4e3967861701d996a1	76a28ae2dc20c6a56dc8ceac7e671372af4b5ade3a89f0eb5416e4d57eb0620e	32b8e365fc82a62f5a180e1624574cec846893a85a707098e313262fcf73aae7
