# Apollo opacity wave 8; complete positive-byte actionable closure rooted at 0x005A8D06
entry	end_exclusive	envelope_bytes	corpus_body_bytes	body_sha256	closure_depth	role	provider_identity	license_status	disposition	source_path
0x00524606	0x00524690	138	138	43a6d65d62aa008f59d2394a6ae2709a7d5ac9cf1bba8af736893b996332e1d0	2	FT_MulDiv	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftcalc.c
0x00524B64	0x00524B88	36	36	a9e12e18c8db5ad1237751310d1a2cf0de7ca1d0e21cc9f9bb93612d38727504	2	FT_Get_Font_Format	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftfntfmt.c
0x005250DE	0x0052525C	382	382	334246ce55f7b8b7b9be2fa2b0a0ecb7bb3b7bb5e33bf14012cd8a014e5fa23b	2	ft_glyphslot_preset_bitmap	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftobjs.c
0x005254C8	0x00525574	172	172	62d9019e6f1fdea19eafbff1810577ee271e34ce750d9b67c48eb66352ad43d3	2	ft_glyphslot_grid_fit_metrics	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftobjs.c
0x00526F10	0x00526F32	34	34	db375da777005778f4884bb4d3dda44abfa2380cdf7e029f8f6ee33673c57f2a	2	FT_Get_Char_Index	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftobjs.c
0x0052798C	0x005279E0	84	84	820dfd61fc70cfd985b9d98a3626fff9a0693c4c08872d4e25816fc8a988ed53	2	FT_Outline_Check	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftoutln.c
0x00527B2E	0x00527B5A	44	44	a7da6fc86747b7313516ef1057e20d7e6646f96061c2e9be487de561d581c462	2	FT_Outline_Translate	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftoutln.c
0x00527B60	0x00527BA0	64	64	35cceb7a975000ef4820080a6a21d1fd8db82d44ad7b985411f26a0460c4aa18	2	FT_Vector_Transform	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftoutln.c
0x00527BA0	0x00527BCA	42	42	65bf231069a825f6336e131fd8add5c2ea9641d5a5de84597f5acfaa9800e538	2	FT_Outline_Transform	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftoutln.c
0x00524354	0x00524398	68	68	5358768ca20917060ae28518fdf427667b52b3aa4c298e9b91959fa6f18cd454	3	_ft_face_scale_advances	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftadvanc.c
0x00524412	0x005244EE	220	220	903c9f88d3b9c0e4fd974962a5727aed2f817333af20bf378228ed98eccdd267	3	FT_Get_Advances	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftadvanc.c
0x0052454A	0x00524588	62	62	94e8decd6c0e8c9375d10e9a06ee47d4ff1a760743d0ef94504b116ddec870cc	3	ft_multo64	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftcalc.c
0x00524588	0x005245E0	88	88	3d38799871d58ec06404ec20799fcb7727ec434b9bb8b2629e83347530031a12	3	ft_div64by32	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftcalc.c
0x005245E0	0x00524606	38	38	75e6a53c7918bef66bc580737024bc8d282584358003ef99975249f43ed534f9	3	FT_Add64	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftcalc.c
0x005246F8	0x00524754	92	92	483f205718fc292ad0f5208ec5528534b9cfa811e367da4d025532df98a72fbd	3	FT_MulFix	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftcalc.c
0x00524F36	0x00524F44	14	14	5af0040dfb1b5fb22373f8cfc11585abd7b0f8a09b110a7e5520f4f3ef1c2b41	3	ft_lcd_padding	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftlcdfil.c
0x00527ACE	0x00527B2E	96	96	e3d1bbc4aeefff175ea190c60132c6061e8859e50f613724d6f15ea4a2560757	3	FT_Outline_Get_CBox	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftoutln.c
0x00524506	0x0052453C	54	54	4637fb01995f839dd1c933c9f1236ba6069b3e504caac8a027bff5251203c3f1	4	FT_MSB	FreeType-2.9.1-authenticated-upstream	FTL	source-attributed-research-candidate	third_party/freetype/src/base/ftcalc.c
