id,domain,capability,evidence,readiness,current_sybilsight,next_gate,risk
R1-011,Input,"Per-gesture action remapping","Named gesture events can be mapped after source-aware routing","Implemented","Settings UI persists action assignments and separately labels native, app-composed, experimental diagnostic and capture-gated gesture classes","Regression-test mappings across direct/G2 ownership states and firmware revisions","Low"
R1-012,Input,"Software-composed triple tap","A double event followed by a single event can be grouped in a bounded window","Implemented","Optional resolver enables triple only when assigned","Measure false positives and perceived delay on hardware","Medium"
R1-013,Identity,"Device information and serial number","Production handlers prove deviceInfo is exactly two 16-byte slots ordered application version then hardware version, while deviceSn is exactly 15 persisted bytes and uses fifteen FF bytes when unavailable. A physical trace confirms a fixed-width ASCII deviceSn response while captured identity bytes remain redacted","Exact production layouts firmware-confirmed; serial route physically observed; contents intentionally redacted","Typed lossless decoders accept exact 32/15-byte production layouts plus broader 64/30-byte controller variants; exact labels coexist with neutral cross-version fields, the FF sentinel decodes as unavailable, and identity replay is consent-gated","Capture redacted payload lengths and slot boundaries on an owned ring; compare later signed revisions and additional serial variants without retaining real identifiers in fixtures","Low"
R1-014,Profile,"User profile provisioning","First-party profile synchronization maps male/female/prefer-not-to-say to public byte 0 values 0/1/2; age, UInt16LE height cm and weight kg occupy bytes 1...5 of a 12-byte system/userInfo payload. Production firmware's downstream map/validator defect accepts only public gender 0, acknowledges other values before silently rejecting them, and leaves two private-event bytes uninitialized","Serializer and exact firmware-effect model implemented; execution deliberately unavailable","Typed gender enum and 12-byte serializer preserve a raw-code path; the descriptor now requires health consent. No public state-changing sender is exposed because ACK does not prove persistence and the stock gender/tail behavior is unsafe","On an owned ring, correlate ACK, kv health record, algorithm reset, power and recovery for every public gender and exact demographic thresholds; require a firmware-safe path before execution","High"
R1-015,Settings,"System settings read/write","system/systemSettingsStatus parser; first-party factory writes Unix seconds at bytes 0..3, preserved swType at byte 4 and low-performance swStatus at byte 5","Read implemented; write deliberately gated","Typed lossless read decoder and serializer label timestamp, switch type and low-performance state while preserving reserved bytes; no state-changing sender","Determine switch-type domain and validate low-performance behavior before enabling writes","Medium"
R1-016,Settings,"Health tracking enable and report configuration","system/healthSettingsStatus and method-set form share system 01/00/0E; factory writes Unix seconds then health-enable byte 4 as 0/1 in an exact 12-byte payload. Separate health 02/7F/01 reportEnable is registered but only writes an unread RAM flag","Global-health status read and exact-version authorized read-before-write/readback operation implemented; misleading report flag remains unavailable","Typed status read requires the full binary-byte/zero-reserved production shape. The dedicated API requires explicit authorization,reads current state,sends only the canonical 12-byte payload and requires matching readback before success. The Settings UI separately confirms the ring-side change; enabling requires local health-data consent while disabling remains available after consent revocation. reportEnable has only an offline one-byte encoder because it does not control the independent reporting path","Capture read/set/read timing and persistence plus notification cadence,worker allocation,power behavior and disable/data-retention semantics on an owned ring; induce a safe failed effect to verify readback rejection. Do not expose reportEnable absent evidence of a runtime reader","High"
R1-017,Health,"Algorithm-key status and provisioning","getAlgoKeyStatus/setAlgoKey plus vendor get_pkey endpoint recovered. Firmware now proves a 64-byte GoMore key,length-prefixed command ingress,one-shot status-request latch and asynchronous flash persistence whose ACK is queued before the write","Passive status decoding,exact payload builder and redacted local-record validation implemented; live status query and provisioning gated","Typed lossless key-status decoder and strict64-byte serializer; stable identifier is redacted,key material is never logged or returned by record inspection,and no public sender exists. Nominal status read is excluded because status1 clears the one-shot latch","Determine licensing and key scope,then prove nonconsuming request observation,retry,post-write verification,failure reporting and recovery before any live status/provisioning operation","Critical"
R1-018,Health,"Direct heart-rate history and point measurement","Static daily/point/measure parsers plus first-party bpm label; a physical trace confirms an empty same-serial daily ACK followed by a distinct compact daily-data notification","Daily history hardware observed; point/measure pending","Consent-gated daily/point decoder and read API plus explicit one-shot measurement UI; protected archive preserves raw values with per-field official-app unit evidence; captured biometric values are not committed","Capture point/measure lifecycle, failure states, cadence, ranges and more daily variants","High"
R1-019,Health,"Direct blood-oxygen history and point measurement","spo2 daily/point/measure commands and payload parsers recovered; first-party direct debug UI labels decoded values percent","Implemented in code; hardware verification pending","Consent-gated daily/point decoder and read API plus explicit one-shot measurement UI; protected archive preserves raw values with per-field official-app unit evidence","Capture failure states, cadence and plausibility rules","High"
R1-020,Health,"Direct temperature history and point measurement","The first-party 2.2.0 AOT enum and parsers model temperature daily/point/measure and promote wide signed-int16 history/point values directly to double with no local scale conversion. Its normal sync nevertheless sends only five daily families, carries skin temperature through sleep, and its hidden point page is receive-only; no standalone temperature daily/point/measure sender call is recovered. Exact ring application2.2.6.0009 registers none of the temperature family","Passive decoders implemented; all exact-version requests and measurement actions gated","Consent-gated wide-value decoders can preserve legitimately received cross-version captures under separate archive consent while keeping units raw. Compatibility rejects all three coordinates for exact2.2.6.0009 and no live temperature sender is exposed","Correlate a genuine temperature notification and the registration table from its originating signed ring firmware with factory channels, sleep, relay, backend variation and calibrated references before enabling any request or assigning scale/baseline and skin/body semantics","High"
R1-021,Health,"Direct HRV history and point measurement","hrv daily/point/measure commands and parsers recovered; firmware runs a 120-second background window, requires callback60 plus70 nonzero RR inputs, filters adjacent changes at inclusive +/-150ms with 1100/1500ms current-value ceilings, computes exact Float32 RMSSD, publishes the low UInt16 after unsigned saturation/truncation and aggregates average/max/min; no stock SDNN or raw-RR output exists; first-party direct UI labels RMSSD ms","Implemented in code; acquisition/statistic/filter/publication firmware-confirmed; hardware verification pending","Consent-gated wide-value decoder/read API and explicit one-shot measurement UI; archive records the official ms unit plus machine-readable RMSSD statistic and deliberately excludes it from HealthKit SDNN; pure calculation/publication replay exposes version-scoped masks, intermediates and conversion without acquiring or persisting health data","Validate physical range, point lifecycle/failures, circular-buffer cadence and direct/factory correlation on owned hardware; compare another official revision","High"
R1-022,Activity,"Daily and all-day activity","Static 10-minute/all-day layouts and official count/kcal labels; a physical trace confirms one seven-byte daily record in a distinct notification","Daily record hardware observed; all-day pending","Consent-gated typed decoders/read API and structured archive preserve bucket indexes, counts, trailing-byte counts, raw values and per-field units; captured activity values are not committed","Capture all-day data, rollover, signedness, calorie definition and retention depth","Medium"
R1-023,Sleep,"Sleep sessions and stages","Firmware producer and sync expander prove 32-byte header semantics: percentage ratios, raw body temperature, signed UTC-offset minutes, Unix-second bounds, whole-minute totals and three-byte awake/REM/light/deep half-minute runs","Implemented in code; duration semantics firmware-confirmed; hardware verification pending","Consent-gated decoder/read API exposes semantic ratios, UTC offset, whole minutes, lossless half-minute stages and derived seconds; structured archive retains reserved/trailing bytes and raw body temperature","Validate body-temperature scale, live stage/session consistency, truncation and multi-session merge rules","High"
R1-024,Sleep,"Force-awake/finalize sleep","First-party AOT proves empty set-style command, 3000 ms timeout and persisted one-hour cooldown; firmware proves no-op unless sleep-active then clears the flag, requests the final GoMore result, disables module four, queues valid output and schedules a three-second timer","Implemented in code; hardware verification pending","Specialized health-consent-gated manual action with confirmation, no payload, official timeout, pre-send persisted cooldown and sync audit; no generic state-changing API or silent foreground trigger","Capture inactive/active and sub-hour sessions to validate reply, storage timing, rejection and multi-session merge behavior","High"
R1-025,Sport,"Cross-version sport start, stop and live data","The first-party Android2.2.0 AOT image contains a hidden SportModeDebugPage,real sportRunStart/sportRunStop senders with a3-second timeout,a live sportRunData subscription and a12-byte timestamp/HR/steps/kcal parser. Its wire contract is module03,control0700/0701 and sample0800. Exact ring application2.2.6.0009 nevertheless has a null sport-module dispatcher and registers none of those coordinates","Official cross-version client contract and lossless decoder implemented; exact-version commands unregistered and lifecycle controls correctly gated","Consent-gated passive12-byte decoder,official bpm/count/kcal unit labels,AOT provenance and per-field archive remain available. No lifecycle sender is exposed; exact-version compatibility rejects all three coordinates before BLE transmission","Capture a genuine sport notification plus registration tables and device-info from the originating signed ring firmware. Enable lifecycle requests only for a positively identified compatible revision with owned-hardware start/stop/readback testing","High"
R1-026,Protocol,"Acknowledgement of ring health notifications","Physical HR and activity exchanges show system/packetAck naming module, command, subcommand and source serial in a 10-byte transmitted payload","Implemented; daily-notification ACK hardware verified","Unsolicited direct health/sport notifications receive the capture-exact fire-and-forget 10-byte packetAck; matched responses and ACKs cannot loop; consent still controls retention","Verify retry and continuous-report ACK cadence before enabling report writes","High"
R1-027,Diagnostics,"Ring log export","Separate start/data/raw/check transfer recovered. Production wire log type is 1 despite logical Dart enum index 0. Ring raw messages carry up to 4096 bytes, fragmented into at most 238 payload bytes behind descending serial, repeated payload-only Castagnoli checksum and command byte; data is a readiness marker, response 2 retries from the current virtual offset, and check closes the lifecycle","Decoder/receiver corrected and implemented; live lifecycle remains capture-gated","Typed wire file type 1, envelope/model and bounded 32 MiB receiver validate descending fragments, each reassembled raw-chunk CRC, declared length and whole-file CRC without conflating chunk and file checksums. Data/check markers are explicit; no live sender or persistence surface","Capture the authenticated read-only start/ACK/check exchange on owned hardware, including retry and disconnect, then classify/redact content before exposing transport","High"
R1-028,Power,"Power control command","Production system/0/12 handler 0x843c8 accepts byte 1 quick restart, byte 2 ship-mode record plus shutdown flag, and byte 3 EVENT_SYSTEM_RESUME_SETTING; it responds before a raw-100 delay and effects. Android 2.2.0 quickRestartDevice emits the exact one-byte 01 payload and no recovered first-party path emits 02 or 03. The handler checks only declared length != 12 before reading byte zero","Static behavior closed; exact one-byte encoder and safe offline replay implemented; execution deliberately gated","The typed model covers header-only, truncated-backing, rejected and all three accepted branches; command 1 records reset tag 1 and posts flag 2, command 2 stores type 3 plus 14-bit battery mV while preserving state bits 16...31 and posts shutdown flag 1, and command 3 posts flag 0x100. A pinned analyzer verifies handler/helper/caller hashes, direct branch sets, strings and first-party AOT markers. No live sender, RTOS publication, persistent write, restart or shutdown path is exposed","If live support is ever authorized, validate ACK-before-effect timing, reset/reconnect behavior, durable ship-mode record semantics, shutdown/recovery and command-3 consequences on an owned sacrificial ring with rollback instrumentation; do not infer success from the protocol ACK","High"
R1-029,Recovery,"Nonvolatile recovery command","Firmware 2.2.6.0009 proves command 2 report/merge dispatch, exact 116-byte body, CRC-16/MODBUS verification, report gates and fill-only persistence; commands 0/1 are ignored","Capture decoder implemented; execution deliberately gated","Bounded lossless envelope/record decoder publishes typed fields only after CRC verification, preserves reserved/trailing bytes, redacts identifiers in ordinary UI, and retains the destructive classification; typed serializer exists but no public transport sender","Passively capture a local report; test merge only on sacrificial hardware with rollback and power-loss recovery","Critical"
R1-030,Firmware,"Nordic DFU and MCUmgr update surfaces","Signed 2.2.6.0009 Nordic application OTA plus bootloader/SoftDevice and first-party update stacks recovered. The application bootstrap statically adds FE59 and 8EC90003-F315-4F60-9FB8-838830DAEA50 as the unbonded 0003 variant: a 23-byte write/indicate SEC_OPEN endpoint accepting enter-bootloader 01 or 1...20-byte advertising-name 02 controls and indicating 20/request/status. Its callback disables advertising-on-disconnect and disconnects every live link before bootloader entry","Implemented for reviewed signed packages; physical rollback, unauthorized-transition behavior and power-loss recovery remain unverified","A user-initiated updater accepts only catalog packages whose size and SHA-256 match the SDK's compiled-in allowlist, then uses Nordic Secure DFU with progress and cancellation. Arbitrary packages and MCUmgr remain unavailable; the open buttonless characteristic is kept outside generic write APIs because signature validation does not prevent forced disconnect/reboot availability impact","On owned hardware, validate package-signature acceptance, restart/version reporting, cancellation, rollback, unauthorized transition attempts and recovery across power loss before widening the allowlist","Critical"
R1-031,Cloud,"First-party local-cache and health API pipeline","Raw/point/window/pending/sync-log caches plus query, push, export and key routes recovered","Local analogue implemented; vendor cloud deliberately gated","Separate protected source/sample/sync NDJSON streams use deterministic links, restart-safe rotation, serialized consent revocation, bounded metric/time queries with duplicate/corruption diagnostics, and in-app inspection/export/purge; no vendor upload path is used","Add scheduled backfill/window compaction only after timestamp and retention validation; do not integrate vendor cloud without authorization and legal review","High"
R1-032,Input,"Direct touchStatus and touchSwitch payloads","Exact 184-byte application handler at 0x84874 acknowledges before interpreting a two-byte selector/value payload: selector1 is phone diagnostic-only selector2 opens/closes glasses source0 and other selectors are no-ops","Static handler and strict safe plan implemented; physical write remains hardware-gated","Lossless touchStatus decoder and diagnostics snapshot plus a pure touchSwitch plan; authorized glasses changes reach the fail-closed enable-policy hook while one-byte ambiguous writes are rejected","Capture safe read and state transitions without disturbing G2 ownership; validate source0 lease behavior on owned hardware","Medium"
R1-033,Input,"Stock long-press delivery to third-party apps","Application dispatcher emits LONG_PRESS value 0 to the glasses handle; stock G2 app forwarding remains unproven","Implemented in code; delivery capture pending","Direct unsolicited value 0 maps to long_press and shares the remappable ring route; G2/direct duplicates are collapsed","Capture ring-to-G2 and direct/G2-to-phone paths together","Medium"
R1-034,Input,"Long release and configurable hold duration","Application dispatcher emits LONG_RELEASE value 8; touch_long_pre_time setter is recovered with unusual 100/3000 ms bounds","Implemented in code; duration write gated","Direct unsolicited value 8 maps to long_press_release for hold-to-reveal and never fires a second action","Map stock relay delivery and validate duration changes on test hardware","Medium"
R1-035,Health,"Metric units, scale and clinical definition","Firmware proves integer RMSSD with current/average/maximum/minimum aggregation; dual temperature internals are 0.001 C while first-party UI calls backend temperature a Celsius variation delta and direct parsers leave temperature raw; several consumer scales remain unresolved","Partially firmware-confirmed; remaining scales capture-gated","Explicit RMSSD semantics with deliberate HealthKit-SDNN exclusion; direct raw temperature, sleep body_temp, factory Celsius and backend variation remain distinct quantities","Validate HRV range/cadence/rounding and compare synchronized factory/direct/sleep/relay/backend temperature values with calibrated references","High"
R1-036,Settings,"Health/system status bit meanings","AOT names health byte 4 as the enable switch and system byte 5 as low-performance mode; system byte 4 and reserved bytes remain unlabeled","Partially firmware-confirmed; remaining fields capture-gated","Context-specific 0/1 interpretations and every raw byte are surfaced; writes stay gated","One-toggle-per-capture differential analysis for remaining fields","High"
R1-037,Power,"Extended charge-info and device-info labels","First-party parser supports a longer nested state plus signed Int32, but firmware 2.2.6.0009 fixes both status producers at seven bytes with a three-byte zero tail. Its deviceInfo handler independently fixes application/hardware version order in two 16-byte slots; only later controller-compatible two-32-byte layouts remain neutrally labeled","Production extended charge value unsupported; exact identity order confirmed; future layouts capture-gated","Complete compact charge tail, any future longer raw state/value fields and both exact/future fixed strings are preserved; UI explicitly reports no production extended value instead of implying voltage/current semantics","Capture a future-firmware extended payload if it appears; compare redacted exact and broader identity slot widths across signed revisions","Medium"
R1-038,Relay,"Direct-to-relay value and cadence correlation","Both lanes are structurally recovered but no synchronized baseline trace is in corpus","Capture-gated","Lanes are kept independent","Record direct requests and 0x91 snapshots simultaneously","Medium"
R1-039,Discovery,"Advertisement and manufacturer-data layout","Firmware initializer proves flags 06, complete dynamic EVEN R1_<three address bytes> or _FAC name and Generic Keyring appearance 0240 in the legacy advertisement. Scan response manufacturer data is company 5245 followed by six SoftDevice address bytes and an optional fixed 15-byte product serial; no TX-power or service-UUID AD element is configured","Firmware-confirmed for 2.2.6.0009; physical multi-device/revision comparison pending","Bounded per-peripheral records preserve local name, full manufacturer bytes, service/overflow/solicited UUIDs, TX power, connectability, RSSI and timestamp; identity-bearing address and serial values persist only under raw-capture opt-in","Capture provisioned normal and factory advertisements across multiple rings and firmware revisions, redacting address and serial, and verify the compiled 60-second fast-to-slow transition","Medium"
R1-040,Security,"Runtime bonding, encryption and authorization behavior","Static pairAuth assigns a phone connection role and posts an event rather than performing a cryptographic challenge. Static GATT/Peer Manager configuration is resolved separately in R1-089, but actual link encryption, application acceptance, persisted bond behavior and replay resistance are runtime properties","Capture-gated runtime behavior","Transport snapshots preserve CoreBluetooth encryption-required property flags when exposed and role assignment separately; exact static security parameters are typed; iOS does not expose keys or a definitive bond database state","Capture complete unbonded, newly bonded, reconnected, repaired and replayed HCI/GATT sessions; verify application access independently of open ATT registration and never retain key material","Critical"
R1-041,Protocol,"Direction-specific inner CRC semantics","All 11 physical phone-originated models match compact app CRC-16/CCITT; all 28 ring-originated models match CRC-16/MODBUS over the full inner model with checksum bytes zeroed","Implemented; physical corpus verified","Parser-revision-2 telemetry retains the raw checksum and classified scheme; the outer CRC is enforced while an unknown future inner scheme remains readable; exact request response and packet-ACK fixtures lock both constructions","Repeat across firmware/app revisions and include multipart packets before considering unknown-scheme rejection","Medium"
R1-042,Sensor,"Raw optical PPG, RR intervals, or LED/photodiode controls","GH3X2X firmware holds raw PPG and LED/sample controls internally; HRV receives transient RR inputs. Producer 0x8a01c proves raw_hr is a count plus up to 30 UInt32LE algorithm values, but neither its name nor container proves a PPG waveform layout; complete consumer/eAT dispatch exposes derived metrics only and no raw PPG/RR event","Internal container decoded; waveform transport remains a custom-firmware surface","The raw_hr record is strictly bounded and lossless while values remain unlabeled; no waveform fields, RR export, LED controls, or stock sender are invented","Passively trace internal producers or add an authenticated rate-limited extension, then prove channel layout, cadence, scaling, consent and power bounds","High"
R1-043,Sensor,"Raw accelerometer or motion stream from the ring","Production dynamically selects LIS2DOC-compatible 0x44, BMA456W 0x16, or QMA6100 0x90; every operation table reads six-byte XYZ FIFO frames and right-shifts all axes by two into an approximately 1024-count/g common stream; AT^ACC_OPEN prints every fifth internal sample","Passive decoder/ingress implemented; stream activation deliberately unavailable; formatted replies/application authorization capture-gated","Variant-neutral normalized XYZ/g conversion, typed eAT parser, bounded memory/capture path, and opt-in derived-gesture consumer exist; channel-1 notifications are now framed and ingested without opening a stream; G2 IMU stays separate","Capture channel-1 formatted replies and authorization with an externally initiated stream, installed variant, physical axis orientation and observed cadence before considering any explicit stream control","Medium"
R1-044,Sensor,"Gyroscope, magnetometer, rotation or air gestures","Full application driver inventory contains three mutually exclusive accelerometer variants but no ring gyroscope or magnetometer path","Unsupported hardware path","Not implemented","Allow acceleration-based shake/tilt only; do not promise absolute twist/yaw","Low"
R1-045,Input,"Touch coordinates, size, strength, speed or distance","IQS7211E supports coordinates/size/strength; firmware 2.2.6.0009 emits slider coordinate travel plus a three-sample smoothed coordinate speed","Implemented / physical-calibration gated","Direct touch events preserve both raw bytes and expose slider-only travel-coordinate and smoothed-speed aliases; timestamp and raw payload remain preserved","Calibrate coordinate units and validate slow/fast/short/long slides against a synchronized BLE capture","High"
R1-046,Output,"Ring haptic, vibration or controllable LED","Full application image contains no motor/haptic/audio output path; PPG LEDs are measurement illumination","Unsupported hardware path","Not implemented","Treat as unavailable unless teardown contradicts firmware","Low"
R1-047,Sensor,"Ring microphone or audio stream","Full application image has no microphone/audio driver, pins, buffers or protocol surface","Unsupported hardware path","Not implemented","Treat as unavailable unless hardware evidence changes","Low"
R1-048,Health,"ECG, blood pressure, glucose or respiratory metrics","GH3X2X paths cover PPG/HR/SpO2/HRV/wear but no ECG electrode or command; no BP/glucose/respiratory data path found","No exposed interface","Not implemented","Do not infer these metrics from PPG family capabilities","High"
R1-049,Hardware,"Sensor and interface inventory","Application firmware identifies IQS7211E, dynamic LIS2DOC-compatible/BMA456W/QMA6100 selection, GH3X2X family, dual GXT310 and ST25DVxxKC; exact installed variants and optical geometry remain per-device unknowns","Firmware-confirmed","Accelerometer selection and QMA configuration are versioned typed evidence; other inventory is documented with raw IDs preserved","Confirm part variants and physical placement by FICR/board/capture evidence","Medium"
R1-050,Input,"Native triple tap","Production writes gesture mask 0c0f, enabling native triple, but its normal IRQ worker reads six bytes beginning at info register 0f and skips gesture status register 0e; the outbound dispatcher has no triple branch","Custom-firmware surface; controller configuration firmware-confirmed","App-composed triple is implemented; versioned evidence models the already-enabled native bit without claiming stock delivery","Validate composition timing now; consume and authenticate native status only on a safe firmware track","Medium"
R1-051,Input,"Swipe-and-hold and richer capacitive gestures","Production mask 0c0f enables Y+ and Y- swipes but disables X swipes, palm and all swipe-and-hold directions. Config limits tracking to one finger and too-many-fingers triggers a trackpad reseed","Custom-firmware surface; exact stock mask implemented offline","Stock vertical slider travel/speed is implemented; disabled controller gestures are evidence-only","Prototype a single swipe-and-hold direction only after secured firmware bridging, controller configuration and ring-geometry/false-positive testing","Medium"
R1-052,Diagnostics,"Production eAT factory console","37 AT commands are compiled; firmware maps channel-1 BC receive to normal/factory queues and exact AT^ payloads to the eAT parser, with marker 0x55 selecting the factory queue","Strict exact-firmware read-only subset implemented; physical reply and authorization pending","All 37 commands retain read/state/destructive/update and sensitive-output classes; bounded passive reply framing is connected to the typed parser and telemetry privacy gates, while stable identity and arbitrary KV replies stay out of ordinary diagnostics unless protected raw capture was explicitly enabled. The only live API requires the exact analyzed application/hardware pair and accepts immutable parameter-free observational descriptors for versions, sensor IDs/touch geometry, wear/temperature/activity, battery/PMIC and charge temperature. It rejects arbitrary text, arguments, KV/log access, stream toggles, advertising/radio changes, calibration, storage, power, reset and DFU","With the owned ring awake and advertising, capture read-only channel-1 reply framing/fan-out and bonded authorization; do not widen the allowlist until each additional command has separate side-effect evidence","High"
R1-053,Health,"Factory HR/SpO2/HRV/temperature streams","AT open/close handlers subscribe to hr/spo2/hrv/temp internal topics; static HRV flow identifies four UInt16 fields as current/average/maximum/minimum RMSSD","Capture-gated","Consent-gated typed parsers and structured archive retain original timestamped text plus HR, SpO2, typed RMSSD fields with raw fallback, derived Celsius, explicit 0.001 C channel values and activity; motion has an independent opt-in; no console stream toggles exposed","Validate one stream at a time and preserve synchronized BLE framing","High"
R1-054,Temperature,"Dual calibrated temperature channels","GXT310X0/X2 each use ten samples at 5 ms spacing after an 80 ms startup, remove one minimum and maximum, signed-average eight and apply independent persisted calibration in 0.001 C units; output narrows each channel to signed Int16 before its LDRSH average","Firmware-confirmed","Typed factory records and the pure acquisition model preserve sensor count, trim extrema, calibrated signed channels, average and the proven wrap above 32.767 C; consumer values remain raw","Establish channel placement and skin/ambient compensation behavior and determine whether the signed factory boundary occurs in normal physical operation","High"
R1-055,NFC,"ST25DVxxKC dock fast-transfer path","Production enables static FTM, configures GPO1 0x21 for RF_PUT_MSG, consumes MB_CTRL 0x85 messages, and implements proprietary dock heartbeat, advertising and charge-field control; diagnostics expect IC reference 0x50 while the driver accepts 0x50/0x51","Firmware-confirmed; physical RF reachability capture-gated","Direction-aware offline decoders parse bounded inbound heartbeat/control and 23-byte ring status/control frames; no RF writer or transport exists","Perform read-only ISO 15693 identity, IC-reference, memory-size and security inventory plus passive synchronized dock capture","High"
R1-056,Firmware,"Signed application trust chain","2.2.6.0009 init packet hashes the image and carries ECDSA-P256-SHA256 signature","Firmware-confirmed","No custom updater","Keep custom firmware separate until signing/debug/rollback strategy is proven","Critical"
R1-057,Motion,"Shake knock raise and tilt gesture engine","All three production accelerometer variants normalize FIFO XYZ to the shared scale; QMA additionally has any-motion and tap hardware configured; actual physical axes remain unknown","Shake/double-knock implemented experimentally; raise/tilt capture-gated","Opt-in scale-normalized shake and positive-impulse double-knock classifier emits remappable events with sensitivity presets, persisted 50-sample stationary-noise calibration, cooldowns and confirmed-worn gating; calibration only raises thresholds; off by default; no absolute-orientation claims","Collect labeled on-body data for each obtainable variant and test false positives/power before graduating; tilt/raise require physical-axis calibration and an orientation model","Medium"
R1-058,Motion,"Native QMA any-motion step and acceleration multi-tap events","Production init enables a 72-sample step engine, two-sample all-axis any-motion near 250 mg, and Z-axis double/triple/quad taps. The IRQ handler checks any-motion and double-tap only; scatter-loaded callback slots initialize null and no direct writer is present","Custom-firmware surface; no stock outbound event","Versioned evidence constants expose every recovered setting; stock app does not claim these as usable gestures","Install authenticated callbacks and explicit triple/quad/step consumers only on a recoverable custom-firmware track, then validate wake rate and false positives","High"
R1-059,Security,"NFC mailbox receive-length safety","ST25DVxxKC exposes a 256-byte hardware mailbox, but production function 0x77be0 clears a 20-byte application buffer at 0x20016b40 and reads MB_LEN_Dyn plus 2 without enforcing 20; the next global begins exactly at 0x20016b54","Stock-firmware memory-corruption risk; unsafe transmit surface","Inbound decoder rejects frames above 20 bytes and no mailbox encoder/CoreNFC sender is exposed","Do not test oversized writes; compare later signed firmware for a bound fix and disclose privately to the vendor if coordinated reporting is desired","Critical"
