stock_name	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_source_lines	direct_bl_caller_count	indirect_ingress	classification
dmConnSmActConnFailed	0x004B6488	0x004B64CE	70	349e2a5a5788a8aad14f25faf17e9cc2c6591cdbc8606e925e82985b2b726a9b	513-535	2	main action table	linked_public_definition
dmConnSmActConnClosed	0x004B64CE	0x004B6508	58	799755830ed1d65f90bf478dc4c139b5ba855c9702222bc601f503d01d926808	547-564	0	main action table	linked_public_definition
dmConnSmActHciUpdated	0x004B6508	0x004B651A	18	8971a65b8fb5614b8e086ec2f293792e29df71e60999686cd8efc250933e5555	576-581	0	main action table	linked_public_definition
dmConnUpdActNone	0x004B6530	0x004B6532	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	593-596	0	update action table	linked_public_definition
dmConnUpdExecute	0x004B6532	0x004B67CA	664	4fd855b479ad55c2edacd8ca7ab07348dd109641ed4ac9d194ec84433c010100	608-632	3	-	linked_product_validation_patch
dmConnReset	0x004B67EC	0x004B687E	146	90539a1f6549c3ebf38cbb6cfe5b4ff26dc4911da89ccc1b87b95a622fd657b2	641-674	0	main interface	linked_public_definition
dmConnMsgHandler	0x004B6888	0x004B68A4	28	491effc39cce2306e232a003fef0ea04bc0a240556821b99ee5ae8ae8f7fda82	685-695	0	main interface	linked_public_definition
dmConnHciHandler	0x004B68A4	0x004B6914	112	be097a83a931265ea34a7f346ded43f86fc466fd678e4c9590252972418a6441	706-755	1	main interface	linked_public_definition
dmConn2MsgHandler	0x004B6914	0x004B6990	124	09505437ae0a0821777771e9f8b5ffa66b6bba953a44227555d7be23e2cbecab	766-818	0	secondary interface	linked_public_definition
dmConn2HciHandler	0x004B6990	0x004B6A16	134	c635f69ff7a2ba57377e2fbd5992d89b717b0ae3c54f99aabe48348b482c151a	829-876	0	secondary interface	linked_public_definition
dmConnUpdMsgHandler	0x004B6A16	0x004B6A38	34	5770a3331b880b0679cabe18561df91ff60a0ccb4641ae847711e403d8b270f2	887-901	0	update interface	linked_public_definition
dmConn2ActRssiRead	0x004B6A38	0x004B6A6E	54	d510057f146768606955fe38dc13f7d19583e659c1e18c4246c140b8e3f9030f	913-925	1	-	linked_public_definition
dmConn2ActRemoteConnParamReq	0x004B6A6E	0x004B6AB0	66	b73c951d1a12f28a8b4cf16063636405079a41f055bfe2e5c800b6c3eaf757f4	937-952	1	-	linked_public_definition
dmConn2ActDataLenChange	0x004B6AB8	0x004B6AFA	66	152acc011be97acc1d723c4a9d4d2a2873aa897301c83c7dc128527a4e1fa445	964-979	1	-	linked_public_definition
dmConn2ActWriteAuthToCmpl	0x004B6AFA	0x004B6B28	46	f88edf3bb49bdc9dbd17d10d57a98039dd86689a375b7b7a30bae91748d9d345	991-1003	1	-	linked_public_definition
dmConn2ActAuthToExpired	0x004B6B28	0x004B6B50	40	48e1458b10790d862bf36341a85baae376a3363710c04098af9a8ee3af2a6c90	1015-1026	1	-	linked_public_definition
dmConn2ActReadRemoteFeaturesCmpl	0x004B6B50	0x004B6BA6	86	8a4b493969b1d55b20ca5732404ff096d2b90582c5162f85bb5636ca4d04b910	1038-1056	1	-	linked_public_definition
dmConn2ActReadRemoteVerInfoCmpl	0x004B6BAC	0x004B6BEE	66	e7a53db7964dbe59c9721c077b23ecfe438f803ff781fecb5265984ea2cd64e3	1068-1084	1	-	linked_public_definition
dmConn2ActReqPeerSca	0x004B6BEE	0x004B6C24	54	f0ee383d112d289365db4b66173d7bc195bd7d2ed984c178ca02394bd9d6a3b8	1096-1108	1	-	linked_public_definition
DmConnInit	0x004B6C28	0x004B6C5E	54	3da3eece6b1e2832d809916eef75615fe10042da256f94f60a545ca7e78ecdfb	1117-1129	1	-	linked_public_definition
DmConnRegister	0x004B6C64	0x004B6C82	30	308fbf629182897349d5ec11c32113b72c7f667f7092a5aa52389525ad4c2177	1141-1149	3	-	linked_public_definition
DmConnClose	0x004B6C82	0x004B6CB0	46	83270604af11a1c7b7f305bf48416e517abd361856e8be1f475e0329ff5a8867	1162-1176	1	-	linked_public_definition
DmReadRemoteFeatures	0x004B6CB0	0x004B6D26	118	89af16c12e47a7cb07710f2b0e00c5caacdb9f4db6e08bf0acdada0cdb989c2e	1187-1218	1	-	linked_public_definition
DmConnUpdate	0x004B6D26	0x004B6D68	66	8c3ca78b0330a14cf509b517b8ba4c798ffca024ccd5f8ba7041c4428dc2a16b	1251-1265	1	-	linked_public_definition
dmConnSetConnSpec	0x004B6D68	0x004B6D96	46	d1a7fbb3c2d8f9b086d259463aabbfa63ff477a8198e5f52f58147c5fce414a5	1277-1286	1	-	linked_public_definition
dmConnSetScanInterval	0x004B6D96	0x004B6DCA	52	c4e701678873f63beaddd3ef20abb23790ab784188c622c40f0775f9e26bca24	1299-1310	1	-	linked_public_definition
DmConnSetScanInterval	0x004B6DD4	0x004B6DE6	18	4fe87973349185229575dbb33d7de762581e21b8523a298df037005f622d185f	1322-1325	2	-	linked_public_definition
DmConnSetConnSpec	0x004B6DE6	0x004B6DF2	12	0c81bfe618a50b36bb36ff18152b8d8de692d1631a1bce41ce722e02eb0a37e5	1363-1366	1	-	linked_public_definition
DmConnReadRssi	0x004B6DF2	0x004B6E14	34	ae0db46a54703576fd0935ede681cbc7d90a74926c3d47a8b107b5cf255233a5	1403-1414	2	-	linked_public_definition
DmRemoteConnParamReqReply	0x004B6E14	0x004B6E46	50	e21500704b42d6598f89febc2b2ae13cfd6590185844e3dee25433032d353345	1428-1440	2	-	linked_public_definition
DmRemoteConnParamReqNegReply	0x004B6E46	0x004B6E6C	38	006bf33a20907abb2bbaa8255d5a64fa17206da0924efd23b7d36c298e1f79fd	1454-1466	2	-	linked_public_definition
DmConnSetDataLen	0x004B6E6C	0x004B6E96	42	f7092d7a5b06519b956df362435a59048fe1bb61aab37545d9069163957b3d38	1479-1492	1	-	linked_public_definition
DmConnIdByHandle	0x004B6E96	0x004B6EC6	48	8dabfd34d24479662c7f500069f8602add075f2c93d572d3467a56763f55a0d4	1549-1565	7	-	linked_ambiq25_warning_suppressed
DmConnInUse	0x004B6EC6	0x004B6ED8	18	79b5672edbbaa230e743f8a5b977e2a2686b395f3207f66ae03524712ea70456	1576-1581	4	-	linked_public_definition
DmConnPeerAddrType	0x004B6ED8	0x004B6EEA	18	5bc964510fc31029896fe9c02d515faaf5904b166d5cf77d6c25b75546c41023	1592-1597	8	-	linked_public_definition
DmConnPeerAddr	0x004B6EEA	0x004B6EFA	16	9d835a56ef7832c5d3bb9c34a1b754d8550a03965c8d885fe30da36b6f08d8dd	1608-1613	13	-	linked_public_definition
DmConnLocalAddrType	0x004B6EFA	0x004B6F0C	18	3d7388cb7060eabeb9d12225460d0b233c4b5d955e84f6122bd85dc257d3a1e7	1624-1629	2	-	linked_public_definition
DmConnLocalAddr	0x004B6F0C	0x004B6F1C	16	84185a2df5bf4b4d88ee650950dfccea84d548dd8c7f0cc7ece692351e4158b2	1640-1645	2	-	linked_public_definition
DmConnPeerRpa	0x004B6F28	0x004B706E	326	c9a89604163cd81aaadce32a77d67d5032bcd7329acaa21deef78b242f47cc96	1656-1661	4	-	linked_product_validation_patch
DmConnLocalRpa	0x004B707C	0x004B71B2	310	dfa6a88395d9d0a98b7630a40ad302c7e407d87e2f2d37a3ec57eae462b3fd7d	1672-1677	4	-	linked_product_validation_patch
DmConnSecLevel	0x004B71B2	0x004B71C2	16	9c498ec025ce45d9fe151d8d338601f4f149a660fa07ed552b04648ad8ef66f3	1688-1693	7	-	linked_public_definition
DmConnSetIdle	0x004B71DC	0x004B73A2	454	9878b1ff7d08ac1950168630c24760c2aedb7737b7da072fb1597ad861a852b2	1706-1727	21	-	linked_public_definition
DmConnCheckIdle	0x004B73A2	0x004B73C4	34	482a1dbf7d611166c9a6e0c4e76ba6c27eb36f598be1a64eed4cd5b9eb134713	1738-1749	4	-	linked_public_definition
DmConnRole	0x004B73C4	0x004B73E8	36	aa08098f8c152a022a9e29fe6b36a3f1b9369f5a2e41944aa9a45bde69147b74	1760-1765	68	-	linked_public_definition
vendorCcbInitLike	0x004B73E8	0x004B7426	62	23e38581dfb944943c7ce9eb257d270f1bbf737a455ef177f6ec38f26f5c9aca	-	1	-	linked_vendor_helper_no_public_source
DmReadRemoteVerInfo	-	-	0	-	-	0	-	source_only_dead_stripped
DmExtConnSetScanInterval	-	-	0	-	-	0	-	source_only_dead_stripped
DmExtConnSetConnSpec	-	-	0	-	-	0	-	source_only_dead_stripped
DmWriteAuthPayloadTimeout	-	-	0	-	-	0	-	source_only_dead_stripped
DmConnRequestPeerSca	-	-	0	-	-	0	-	source_only_dead_stripped
