# SPDX-License-Identifier: MIT
# Names marked candidate/clean-room are not historical symbol claims
entry	proposed_name	boundary	name_status	confidence	instruction_bytes	instruction_sha256	callers	callees	mmio_literals	sram_literals	resident_literals	status_literals	evidence
0x57AC	Cy_Em_EEPROM_Read	infineon_emeeprom	public_provider_symbol_match	high	48	3b247be7e00ea638850bb9640b5917cf80491914dba1cdd425432c943e05eaf7	0x00000268	0x000052D4,0x00005508				0x093E0000	four-argument address/data/size/context ABI, range validation, then simple/extended dispatch
0x5E78	msclp_register_config_write	infineon_cat2_pdl	typed_provider_candidate	high	120	74cb5cf705bd2d900a06a3cafdbdb5c0fef240b02e8ac07a8e78b8677653c740	0x00003628						copies six descriptor words to MSCLP offsets 0x3004..0x3034 for selector classes 5/11/other
0x65F4	Cy_SCB_I2C_Init	infineon_cat2_pdl	public_provider_symbol_match	high	438	971123ed88874e9c7e1cf50da5d6252a22131bd1dd2f67d8c7b0d0e2d17457d3	0x00000378						three-argument base/config/context ABI, SCB register configuration, assertions, context zero/init, status return
0x6F14	NVIC_SetPriority	infineon_cat2_pdl	exact_cmsis_abi_behavior	high	88	7b33c0b14bc91b4c79c03a5cf8977011d0e0fb74c39f35a0a5c05e33f5bad2cc	0x00006FA8		0xE000E100,0xE000ED00				maps signed IRQ number to NVIC or SCB priority byte lanes at 0xE000E100/0xE000ED00
0x6F74	Cy_SysInt_SetVector	infineon_cat2_pdl	public_provider_symbol_match	high	40	f6edba26d99f37da897dd3ae65225e806a7dfa47d212cddbabafb750d1df0c8a	0x00006FA8		0xE000ED00	0x20000400			selects SRAM vector table only when CPUSS vector-in-RAM state is active and returns prior handler
0x6FA8	Cy_SysInt_Init	infineon_cat2_pdl	public_provider_symbol_match	high	60	ba1ac67702b267f9dad652680f738491a9d26e621f88e86d453a738d35dea85a	0x00000378	0x00006F14,0x00006F74	0xE000ED00	0x20000400			validates config, applies priority, conditionally installs vector, and returns PDL status
0x6FF0	Cy_SysLib_Delay	infineon_cat2_pdl	public_provider_symbol_match	high	40	ccddf11f013fe0689e0d64677177f9ec21ebcf0f59616be7aa29603d4ce2b9a7	0x000007FC	0x00001180		0x2000086C,0x20000874			overflow-bounded millisecond loop over cy_delay32kMs then cycles = ms*cy_delayFreqKhz
0x73C0	__aeabi_uidiv	toolchain_runtime	exact_runtime_abi	high	266	ebc05060fd50223e912775e546927af8692b8efe9f0c2b37185595315901dafb	0x00000BFC,0x00002CA4,0x00003680,0x0000465C,0x0000465E,0x00004674,0x000052D4,0x00005380,0x00005508	0x000076A8					unsigned restoring division; quotient in r0
0x74CC	__aeabi_uidivmod	toolchain_runtime	exact_runtime_abi	high	16	3cce8c0311a5dfb271d13fda3c027c82f1c240556ca5f5a2fb61d37ecc90a437	0x00005254,0x000052D4,0x00005380	0x000076A8					zero-divisor hook or shared unsigned divider; quotient r0 and remainder r1
0x74D4	__aeabi_idiv	toolchain_runtime	exact_runtime_abi	high	460	8079a3a6403221afb30eab6b2c2dd0eea0a536dbfefa46efb32fe07785007e96	0x00000BFC	0x000076A8					signed restoring division with sign normalization
0x76A0	__aeabi_idivmod	toolchain_runtime	exact_runtime_abi	high	16	0519656bf67ca571eec7b53aaab1c6cb54684ef0c85f5eb0ec4c73832a7b9ac2	0x00000BFC	0x000076A8					zero-divisor hook or shared signed divider; quotient r0 and remainder r1
0x76A8	__aeabi_idiv0	toolchain_runtime	exact_runtime_abi	high	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	0x000073C0,0x000074CC,0x000074D4,0x000076A0						weak divide-by-zero hook leaf returning immediately
0x76D4	memset	toolchain_runtime	exact_c_abi_behavior	high	16	372261a3f0e8282f41f701dfd5d2892234bbc2d9fb8c65078798c11be69a3400	0x00000400,0x00000D70,0x00005508						byte fill from r0 through r0+r2 with r1 and return original r0
0x772C	memcpy	toolchain_runtime	exact_c_abi_behavior	high	18	05508cada1cce08a14d3a0b7aac6c14bab56f11f7da13eea7f4956a51fd0cfdf	0x00000D70,0x00005254,0x000052D4,0x00005380,0x00005508						forward byte copy of r2 bytes from r1 to r0 and return original r0
