recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ingress	evidence
13	SVC_Settings_SyncHandler	exact retained function string	0x0046BBB4	0x0046BE0A	598	495962685f198cf3f64b22061ed6d07c4e142071f4aa5290d3844c51bfaa515d	no	1 external direct BL site	dispatches settings sync version reply and request commands with CRC and terminal-mode handling
14	SVC_Settings_Init	prior-G2 ordered symbol and initialization behavior	0x0046BE10	0x0046BE6A	90	fdd52b8ca83c3729aca8c1c50dbbe4600868dfa8979fc2cf7018471453c8f28a	no	1 external direct BL site	zeros runtime state imports persisted settings ALS and terminal records registers battery callback and applies display state
15	SVC_Settings_SaveSettingConfigToKVCheck	exact retained function string	0x0046BE7C	0x0046BEE6	106	2a54882086c74fd1e806ad3fe27fab51646f7a457af6dba027e6dfe4af147ca1	yes	2 external direct BL sites	recomputes CRC-16 over the first 24 settings bytes and posts save work only on change
16	SVC_Settings_SaveSettingConfigToKV	exact retained function string	0x0046BEF8	0x0046BF60	104	6ba3a67774ac4f8ff269362c52bfa515a0da3a2e0f00f523c3777ca0974ef4e3	yes	1 external direct BL site	writes changed settings through the admitted KV provider and dumps the new record
17	SVC_Settings_SaveAlsScaleToKV	exact retained function string	0x0046BF74	0x0046BFE4	112	a31a544ce0017f9af229f9e5bbdff87751d3442cdd88a65b9fad1f3608f864b1	yes	1 external direct BL site	persists a dirty ALS Q10 scale and clears its dirty flag
18	service_settings_auto_brightness	prior-G2 ordered symbol and getter behavior	0x0046BFE8	0x0046BFF0	8	0d11e7520ec029f5eb1aa3b7334927ee256d1343e6b689aca24e73fedfd9bb44	no	10 external direct BL sites	returns the live brightness level byte
19	settings_set_auto_brightness	semantic setter label	0x0046BFF4	0x0046BFFE	10	5cb3bef65202ac4b3b1e882daf024419a4c4c4103018bbd0801b99c9ee8f4470	no	1 external direct BL site	sets the live brightness level byte
20	SVC_Settings_AutoBrightnessOpen	exact retained function string	0x0046C01C	0x0046C0D6	186	2e8837bb6edfe221e9b3fb4dbe04966f80279c87475e4d1fab9ce4dacfbd4bac	yes	2 direct BL sites	opens ALS hub channel four only when auto brightness is enabled and the device is master
21	SVC_Settings_AutoBrightnessClose	exact retained function string	0x0046C0E8	0x0046C150	104	08579b36c9cb011df1cadd0b755d1af69350fa9fd507e82013cda9ab40dab1bd	yes	3 direct BL sites	closes ALS hub channel four on the master role
22	settings_configure_auto_brightness	semantic behavior label	0x0046C158	0x0046C188	48	385a823a96db01bce000a3a40815a8faadafa34781c59a0951c5407cefd17802	no	3 external direct BL sites	sets the enable flag and opens or closes ALS according to the display-ready state
23	settings_apply_auto_brightness	semantic behavior label	0x0046C18C	0x0046C1BC	48	a1ae19a361980bebaaa96a8b212379bfea9b8b1f3dee88eda61bff6df1d29a7d	no	3 direct BL sites	dispatches the current brightness through the active display-task provider
24	settings_set_brightness_level	semantic behavior label	0x0046C1C8	0x0046C212	74	5dca7cf16c9a633d3ff47ac6f2b86d40ddb1542beb754ad111c9b4929fd51aba	no	2 external direct BL sites	clamps brightness to 2 through 100 rounds to even updates ALS state and schedules persistence
25	SVC_Settings_GetMaxLum	exact retained function string	0x0046C23C	0x0046C400	452	6b407b1f926165ef3b1ea13f4155e43970b21788db50a54812df3753a45aef0b	yes	1 internal direct BL site	combines an eleven-entry panel ratio table with role-specific calibration and current to derive maximum luminance
26	SVC_Settings_BrightnessLevelToLumAndCurrent	exact retained function string	0x0046C410	0x0046C504	244	f3e6cb81b5a041f25d2eaa7beb9c02e20b5388376f8eb8f8f353d2fdfd73e683	yes	4 external direct BL sites	clamps 2 through 100 then maps low levels to luminance and high levels to current
27	SVC_Settings_HeadUpConfig	exact retained function string	0x0046C524	0x0046C5F2	206	5a1225630e7e0ecfa688003f3dd1b90be6b0f39ec0907f87877e0ebe3d8178bb	no	2 external direct BL sites	opens or closes head-up display and clamps the requested angle to minus 90 through plus 90
28	settings_role_head_up_profile	semantic table-helper label	0x0046C600	0x0046C622	34	5ac909dbec9fa4004d6d0918e50e49c13edf33dec8f81013deb444289abb6450	no	2 direct BL sites	returns a three-entry role-specific display profile value
29	system_get_brightness_level	prior-G2 ordered symbol and table behavior	0x0046C622	0x0046C630	14	22a26f82db5878530494c0f7349c3ae37b2a71c77f43368c59be07f3d2741d11	no	2 direct BL sites	clamps an index to twelve and returns the thirteen-entry brightness mapping
30	settings_get_terminal_mode	semantic getter label	0x0046C630	0x0046C636	6	20ef8fba97244fbe6a3396551bd0f413bd71a0ef807059aba6aafc2201909623	no	14 direct BL sites	returns the terminal-mode byte at offset 29
31	settings_set_terminal_mode	semantic setter label	0x0046C63C	0x0046C64E	18	a0e0572e7329285979bccb601eadbaf619d493d36d60f2aa006f06b1ef25c747	no	3 direct BL sites	updates terminal mode and persists it through the admitted terminal KV provider
