source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_r44_lines	r20_r44_body_sha256
14	dmPrivAesMsgHandler	linked	0x004D27CE	0x004D27E0	18	a2031e99f1faff651aa9478f2d8647e5cc2b6b69fb5c381185c365ee9b3ca008	447-451	0fe6cf3c5f88695173befc5f53ed5af124b48659018b06c027859f02bf3c2835
15	DmPrivInit	linked	0x004D27E0	0x004D27F6	22	31fd63b3efba40b80325bb073009d1d6eca6c5fa5d03d5ae345d472fcce14c77	460-468	2019ee630d2120d2e13364f2a142f7c987ecb81e4364a52e8822b805a3907b32
16	DmPrivResolveAddr	linked	0x004D27F6	0x004D282E	56	fe8340abeb33b9a03f4a6e025ffbb4097205f82fdbd9cea5fe221e368dbda953	483-495	580f56dc587370e88033f5dc8c8c616afff0d8eaa5793e04abafa7c58fcc2030
17	DmPrivAddDevToResList	linked	0x004D282E	0x004D2880	82	01c08bc91310bab9acafca11926082f0365790f0881ea5e919e62da392e2bce7	524-540	46a723dd181e76d0d17b424a4bfd20469ff96cdc54640e4879e98e3abf9022ba
18	DmPrivRemDevFromResList	linked	0x004D2880	0x004D28B0	48	725e3d9eecfcdb860a60a0a2b1fa74cdf279fcfdf31096edd0fb7193597d3f75	560-572	bf295b8483cf5e918fe5605475f0cfc3ea70482e855f528979b4bfc50273ad4c
19	DmPrivClearResList	linked	0x004D28B0	0x004D28CC	28	7e39268f87a3a322a4b03fcc831bcb56f77ab089dcbad2617eb75ee6d961987c	591-600	e3d29c11fe5491f630a2f8604a4689941cfc6318c5a6322e544412bbc1764a09
20	DmPrivReadPeerResolvableAddr	source_only			0		614-617	00e3effbbeb4c57e249cf4d44624c06334f667b502d66e32110d2533199d5dcb
21	DmPrivReadLocalResolvableAddr	source_only			0		631-634	2413a41fa365ccabc8749310f3c6d39bf8442bd761da51c52bff20d011412ee0
22	DmPrivSetAddrResEnable	linked	0x004D28CC	0x004D28F0	36	02442ee8e8d7389f2e2d13fe4a2a8c72ee7527cfb1b1fcd785d24b738acb5105	652-663	27e927d996faebc1b4284722d6436eb5e31c86e90487ace09a6735910b889f58
23	DmPrivSetResolvablePrivateAddrTimeout	source_only			0		674-677	b51d22724f6375919b0620d1ec6a6f1db18975ad85a162e0836255f4e7c73e6e
24	DmPrivSetPrivacyMode	linked	0x004D28F0	0x004D2920	48	3d0dd38186a46afd7883d16a58232a8ec53fb533245143c5445a991067dd3973	695-707	3afbca43f29fa81d025193899c3d61c144cc6dcf5f6f3256c6faa560fdc07454
25	DmPrivGenerateAddr	source_only			0		719-731	d4d1ebdc22f3d4b5e0817b9e442f9fd259a400b6a2411288684f688cd8f7a87d
