source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r4_lines	r4_body_sha256	ingress
37	HciLeSetRandAddrCmd	linked	0x0052B4BA	0x0052B4E2	40	8e4401257fe26fc3fdbcc72ea6f615fc9b3f19c442941e9b29f00d41eae136a8	937-948	001c903a374bdecfa5063b0afdee66552668b005effe18193f25ac3bfbfe881c	direct_bl_scan
38	HciLeSetScanEnableCmd	linked	0x0052B4E2	0x0052B50A	40	a4b2d6b497ce06b6a9c15e2cafac66d59642c3f5f154986d01ecef9aa1b8e1f7	959-971	26e9cd6c340eb7ecdf67b36b3975229f7616bbca82e3f1d0754ce3bb02a0f8b7	direct_bl_scan
39	HciLeSetScanParamCmd	linked	0x0052B50A	0x0052B554	74	3b0cc3ef9900946df4253c88d30701c574fada1d4778125d29516feeb08d7267	982-998	fc51d0309d90c3b11f18fac0c5e0b0b4a56129a2c87bcb19cf1095f27a6b99b5	direct_bl_scan
40	HciLeSetScanRespDataCmd	linked	0x0052B554	0x0052B5A2	78	520b2ad93dc7a01c49ce05ef58e522e2bd731f2bd3e11bba399ddcbe1cae196a	1009-1023	e12da98f91477ddaf1b410ad84166ebe12d2d7fde76217fb66414dca3ef8c339	direct_bl_scan
41	HciLeStartEncryptionCmd	linked	0x0052B5A2	0x0052B606	100	31ecb3f3d8951489732814aabbe6b26280f64026c0be6661b3e55bf212065646	1034-1049	3904221e6773d33570346be3a1fe64d68eb35cd4d27c36f8aed28f4ce2bf411c	direct_bl_scan
42	HciReadBdAddrCmd	linked	0x0052B606	0x0052B620	26	ddda947ab5b495f65a2154467af1d7056f7da82808dde7f6f327789ecf743723	1060-1068	046cece7fb69a13a8676c45127072ba3a05cdb59c600c1a2ac70ac93dc5f4a33	direct_bl_scan
43	HciReadBufSizeCmd	linked	0x0052B620	0x0052B63A	26	01498c375b7df0659b1fcbe03480cd89030b6b4d6120f6dcdbe95f42953e51f0	1079-1087	1a4f90510515c85efa8765658c22234186c64a061d94b8027168819f135d2d90	direct_bl_scan
44	HciReadLocalSupFeatCmd	source_only			0		1098-1106	b9adac9f4eaf16cc7018f7ae6cc71163fa5826218e1c92590aea3a4766bff6b0	no body caller or pointer
45	HciReadLocalVerInfoCmd	source_only			0		1117-1125	d4609c38f8beba7cb8e84f0d31ceb446bf9f9e2d70e215e4ed84e15805c082cc	no body caller or pointer
46	HciReadRemoteVerInfoCmd	source_only			0		1136-1147	ded9ddbd12bb69ba43d9d264be0f1e8787ddd1e4236a3ef29f121ea6bad2c0f9	no body caller or pointer
47	HciReadRssiCmd	linked	0x0052B63A	0x0052B664	42	227e630d150ee4ee2ddc06a4aa324441063f5deb2d8503e8e28dea40023c82b2	1158-1169	b92affd3dd3a3d4a3f13daca5afd44f8eadabd1cb1de48af3730fd0f109e098e	direct_bl_scan
48	HciReadTxPwrLvlCmd	source_only			0		1180-1192	f0fc3ab41b14c996aed18cf9b9610dfca536429dee4ac604aa926c1d48cb26da	no body caller or pointer
49	hciClearCmdQueue	linked	0x0052B664	0x0052B682	30	bad5432cd6634e293fd5856b03c9a8512f2da3ae9d6baf39bb89b98aa37f874b	1203-1216	86b96e8bca356a886661455a28f1d4a388764a07f08edc62045f258a11633ed3	direct_bl_scan
50	HciResetCmd	linked	0x0052B682	0x0052B6AE	44	2a16b0502310a240e43cf3cfca4a9321fc4bf506a4cd087b53162cb4eade045e	1227-1256	58c3eed8830af57bbb38312a40fa74c043a8b04a05543eea7e3435f44bf13128	direct_bl_scan
51	HciSetEventMaskCmd	linked	0x0052B6BC	0x0052B6E4	40	3f444093022eef1cf55d26901a3165bf4a42441d386ac4be6b123ee580b51a2c	1254-1265	fcf3335d7bff3466088151bbd07d83fe616c5c91348f475f480b415d26de5e1f	direct_bl_scan
52	HciSetEventMaskPage2Cmd	linked	0x0052B6E4	0x0052B70C	40	c5f95c0a1b77f1e9af77ed733439b93e33221362eed243867569454a20da011f	1276-1287	af1eb77c1cec4b7d15886c145ded120ffc7fc710ffb367d29cabab355cec6e4f	direct_bl_scan
53	HciReadAuthPayloadTimeout	source_only			0		1300-1311	6756f96993c3eebfa6dc0eb2935fcfaff7bf8afa6088d948eebf505668c8a90a	no body caller or pointer
54	HciWriteAuthPayloadTimeout	linked	0x0052B70C	0x0052B744	56	b5d795d26a50e884a39cb22df103be572cf50a828402ac48d35de3ec3e20894c	1325-1337	d8c66e580e5138d4ce4cef163ce020636b44bd734838fa50b239bd4f211280dc	direct_bl_scan
55	HciLeAddDeviceToResolvingListCmd	linked	0x0052B744	0x0052B794	80	c67f36dde4851b188481aa1620b69ff92b9d04a5dc547364dd0e70bb372e36f4	1353-1369	6e38909fa80d1a3d7ae7f6a29d2c3c942c7a51f086274989e094acc1edbe1330	direct_bl_scan
56	HciLeRemoveDeviceFromResolvingList	linked	0x0052B794	0x0052B7C2	46	3dd9451a3dc29c6c8841436bbb5ada41d853a2b8c807a498d7adf091b476d91f	1383-1395	579eaa676c166888809787ee413182fdb8e81aed89c291bf9463cf92fe4c7a1f	direct_bl_scan
57	HciLeClearResolvingList	linked	0x0052B7C2	0x0052B7DC	26	fc500d5cd9c541dd114d37be901e98838ca9e0591ceb686c9460edacd4678ac3	1406-1414	b658b235da2b61fbc4c9654093e8682b72452a3b496b40c6c7875d8bf62d6a00	direct_bl_scan
58	HciLeReadResolvingListSize	linked	0x0052B7DC	0x0052B7F6	26	25fd72c433c9c01f27df8d1266c1d2af6a731dd286e24e98ae6e7d9e18a8e593	1425-1433	4b1a4736f20993fe4f48ea92bae41a1a936cb7daedbf219541c7feeb325ed058	direct_bl_scan
59	HciLeReadPeerResolvableAddr	source_only			0		1447-1459	2797f1d9c3005c612f5d16c802ee4908069f70431088ddb61ae97a0d8306827d	no body caller or pointer
60	HciLeReadLocalResolvableAddr	source_only			0		1473-1485	736695c53aceb2ee16953c0d97203bfbb701b16abd85fbd3f8863b34708869da	no body caller or pointer
61	HciLeSetAddrResolutionEnable	linked	0x0052B7F6	0x0052B818	34	86354ac2da40270afe83b8db998567bb80aec74a32d5c9c0004ecead57c5cd31	1499-1510	b9fc2e45dcbbb9f2bb06a0204a01e15d42ef9986cc1c7385b71739ecb92fa0e0	direct_bl_scan
62	HciLeSetResolvablePrivateAddrTimeout	source_only			0		1523-1534	3fd06e6a2e5dc1232b9ee23b7e50c01548a2590b6b531f7fd0632192b932cc2d	no body caller or pointer
63	HciLeSetPrivacyModeCmd	linked	0x0052B818	0x0052B84C	52	eab460e199af9c97d4b13cd76beed0ef0df6aa4c97ac5864a67411378d82568b	1549-1562	fdb9d88601227f259ba2ea5e23dd003bf010f06d94d4149241759dccf80bc830	direct_bl_scan
64	HciLeReceiverTestCmd	source_only			0		1576-1587	9a437d3decde114ecfcc8cced2aabc00e7d3bdf95fe3ea98af11dc056cfbe4b0	no body caller or pointer
65	HciLeTransmitterTestCmd	source_only			0		1603-1616	a5eb834c87d78e75ef42156b1c875307af08600189b14fba2e5a41cefc17a900	no body caller or pointer
66	HciLeTestEndCmd	source_only			0		1630-1638	a973e29f854b6e776210a3a6b6901fb2ae9afe63ec2b5102761f8d0166ccb647	no body caller or pointer
67	HciLeReceiverTestCmdV3	source_only			0		1651-1670	7d607d5d39cda514cf9bd4a5302717a7bb5f337f27ae76f90ee806a28ad153ba	no body caller or pointer
68	HciLeTransmitterTestCmdV3	source_only			0		1682-1701	93cfe150e1025366398febae8ab2e74de45e880609d15865bbcf9c7602294861	no body caller or pointer
69	HciVendorSpecificCmd	linked	0x0052B84C	0x0052B87A	46	9fc38d2a829c3289fe58acedc66dac99a2b2095182a46608fadfa2dd9e76bda9	1712-1723	1e8627a99d68237f52ae5eb1be612a0c89b159da3b627bd1a299d09da3828ee2	direct_bl_scan
70	HciLeRequestPeerScaCmd	linked	0x0052B87A	0x0052B8A4	42	e7752f4211d9d18c10633b00ba33452ca50b5601f199bd38731bce99065d96b3	1734-1745	0d1b411ebb8f04073148fb94af5d776ed144651f24c1420b6a2f6e1087fef255	direct_bl_scan
71	HciLeReadBufSizeCmdV2	source_only			0		1754-1762	bf447fb131234420ff50dbf31fdb059478e2ebcad289f64ce81e71fe04fd21d2	no body caller or pointer
72	HciLeSetHostFeatureCmd	source_only			0		1777-1789	1a6719b223361055c46eb1722f06a239807567b2dae278cfd8df4e6f613fcc7d	no body caller or pointer
