# SPDX-License-Identifier: MIT
# Authenticated shipped-prefix reachable function map; resident flash excluded
entry	name	classification	instructions	instruction_bytes	instruction_sha256	discovery_sources	direct_callees	tail_entries	spans	evidence
0x0BFC	touch_sub_0bfc	unresolved_shipped_prefix	155	324	9859f7a02f401ffe336bb8b77ccdd227af185462091ddffa126e6ebbcef07288	bl@0x0E32,bl@0x0EBC	0x0BE0,0x73C0,0x74D4,0x76A0		0x0BFC-0x0D40	reachable direct BL target from evidence/vector closure
0x0D70	touch_sub_0d70	unresolved_shipped_prefix	416	874	7ad5a22271f77982723b158a901ba6f50d9c8c7c8ea6e142509be0b626fb6863	bl@0x085A	0x07FC,0x0BE0,0x0BE8,0x0BFC,0x76D4,0x772C		0x0D70-0x10DA	reachable direct BL target from evidence/vector closure
0x111C	touch_sub_111c	unresolved_shipped_prefix	43	90	5a2bb79ea819a1be4aed5603f754cb2304ace76727633e535eab05aab07b12a3	bl@0x084A	0x071C,0x4A36		0x111C-0x1176	reachable direct BL target from evidence/vector closure
0x1180	touch_sub_1180	unresolved_shipped_prefix	9	18	a8b62136d338c6dc91e6f900f19cb30344601be2bc97b168940ca57281293760	bl@0x6FFA,bl@0x7012			0x1180-0x1192	reachable direct BL target from evidence/vector closure
0x2CA4	touch_sub_2ca4	unresolved_shipped_prefix	10	22	5b4ab633956e4b7b49d37ae01bc6084b9fd7eb84e63c9293224ffd883b1775fa	bl@0x3698	0x73C0		0x2CA4-0x2CBA	reachable direct BL target from evidence/vector closure
0x3624	i2c_payload_callback_entry	evidence_named	4	8	1addbcb3372f43944f663e2519eb131fd1ad0ee60091bc01862e5adabe6e40f7	evidence			0x3620-0x3628	resident callback registry pointer
0x3628	touch_sub_3628	unresolved_shipped_prefix	36	74	f003f478bd6b5d2d908a318db06042021f3407c297463e0ab70437efa15de0e3	bl@0x371C	0x5E78		0x3628-0x3672	reachable direct BL target from evidence/vector closure
0x3680	touch_sub_3680	unresolved_shipped_prefix	27	58	efc45b679e7db7afcb07360a4238f0f38e38bc79c77bc4a42d7ecf294a7b6eb3	bl@0x3724	0x2CA4,0x73C0		0x3680-0x36BA	reachable direct BL target from evidence/vector closure
0x36C4	msc_sensing_loop	evidence_named	82	168	5cee0e3336b8a6e052adc77ba845ff2d03d1dd5c9f4926588d523217aa7a13bc	evidence	0x3628,0x3680		0x36C4-0x376C	touch sensing MSC_SPAN
0x37C0	event_dispatcher	evidence_named	45	90	6fb0a1eac505eb27ec0b4ab1201cbbeeaeffdd8737cd9148e5480d2c9074a1f9	evidence			0x37C0-0x380A,0x38B6-0x38C6	I2C protocol event-dispatch span
0x465C	vector_entry_465c	vector_seed_unresolved	67	142	14498d609d277c2121b8c8fab4a8cccbbc14d18c003e4e48402eeb2e0025faed	vector	0x73C0		0x45D8-0x45E8,0x4606-0x4684	authenticated vector-table target; semantic role unresolved
0x465E	vector_entry_465e	vector_seed_unresolved	67	142	14498d609d277c2121b8c8fab4a8cccbbc14d18c003e4e48402eeb2e0025faed	vector	0x73C0		0x45D8-0x45E8,0x4606-0x4684	authenticated vector-table target; semantic role unresolved
0x4674	vector_entry_4674	vector_seed_unresolved	67	142	14498d609d277c2121b8c8fab4a8cccbbc14d18c003e4e48402eeb2e0025faed	vector	0x73C0		0x45D8-0x45E8,0x4606-0x4684	authenticated vector-table target; semantic role unresolved
0x4A04	touch_sub_4a04	unresolved_shipped_prefix	25	50	e891e275255ea5adb71dfc1f5cff7b17f749f9331bfbab43e8ffa4e39bd84cca	bl@0x0834			0x4A04-0x4A36	reachable direct BL target from evidence/vector closure
0x4A36	touch_sub_4a36	unresolved_shipped_prefix	27	54	7a3c8b8de900c494da9962bd076682f53545e63cd6234e5ec3c11e43b68cb94c	bl@0x1124			0x4A36-0x4A6C	reachable direct BL target from evidence/vector closure
0x4A6C	touch_sub_4a6c	unresolved_shipped_prefix	19	38	5481d8910d37b64d4cc0f223089f50fb3a50fa998e95a14425da38ee602fdab0	bl@0x083E			0x4A6C-0x4A92	reachable direct BL target from evidence/vector closure
0x4B14	NVIC_SystemReset	evidence_named	7	18	6303e4264b28333e41cfb61f08772a26eb13ba131a982f6ed31c4a498f804b38	bl@0x4B3C,evidence			0x4B14-0x4B26	I2C protocol reset span
0x4B30	enter_dfu_mailbox_and_reset	evidence_named	24	50	bb596fef51de2fc4cbb71cd11308a8f9b63344a92065ae884ae43fbe81902c93	evidence	0x4B14		0x4B30-0x4B62	I2C protocol DFU handoff
0x4B68	touch_sub_4b68	unresolved_shipped_prefix	30	60	7d97e84c7b28750fd51177cdb4d88e36e5c23e53a0d1e1d8dc1be57f488371b7	bl@0x4C72			0x4B68-0x4BA4	reachable direct BL target from evidence/vector closure
0x4BA4	touch_sub_4ba4	unresolved_shipped_prefix	48	96	4d7cce66f8a0cdcc41f454fd23cadbb17ba7310de9e474fd99a1c7b14c614cbf	bl@0x52B0,bl@0x52BC			0x4BA4-0x4C04	reachable direct BL target from evidence/vector closure
0x4C6C	touch_sub_4c6c	unresolved_shipped_prefix	5	12	2ba000540258b6a9a9ba82ebb49ca0b88bd3bd0949cdafd72a75a9081450034f	bl@0x4C8C,bl@0x55D6	0x4B68		0x4C6C-0x4C78	reachable direct BL target from evidence/vector closure
0x4C78	touch_sub_4c78	unresolved_shipped_prefix	2	4	a89b85f8bccd76763270edbe8d4a9000e557118189ef0a663b750b93593d16da	bl@0x4C82,bl@0x4EA4			0x4C78-0x4C7C	reachable direct BL target from evidence/vector closure
0x4C7C	touch_sub_4c7c	unresolved_shipped_prefix	14	32	fc923a97b449cfde8ec692d25b3a16f5d6e15a11db87ad7f54f6b745667c4145	bl@0x4CEC,bl@0x4D34,bl@0x4D80,bl@0x4DAA,bl@0x4DC8,bl@0x4DE6,bl@0x4E68,bl@0x4EC2,bl@0x5402,bl@0x5430	0x4C6C,0x4C78		0x4C7C-0x4C9C	reachable direct BL target from evidence/vector closure
0x4CA0	touch_sub_4ca0	unresolved_shipped_prefix	2	4	a78fc9996461c9de89dede305a4ebaddf18e69f73df2a59a239610bf4bdef4cd	bl@0x4CDE,bl@0x4D26,bl@0x4D8A,bl@0x4DB4,bl@0x4DD2,bl@0x4DF0,bl@0x4E9A,bl@0x53AA			0x4CA0-0x4CA4	reachable direct BL target from evidence/vector closure
0x4CA4	touch_sub_4ca4	unresolved_shipped_prefix	84	176	aac740b8b0653e35c15ed9a9fe72dfc490889b095910c96990c5d45ed6673498	bl@0x4DBE,bl@0x4DDC	0x4C7C,0x4CA0		0x4CA4-0x4D54	reachable direct BL target from evidence/vector closure
0x4D58	touch_sub_4d58	unresolved_shipped_prefix	76	172	6dbf099a9836e5e4c9657f00059dac5d552088f64dc5d28b31fe5c57a7b6a0e1	bl@0x5532	0x4C7C,0x4CA0,0x4CA4		0x4D58-0x4E04	reachable direct BL target from evidence/vector closure
0x4E0C	touch_sub_4e0c	unresolved_shipped_prefix	15	30	00fc76e2fad394e1198eef32b50b40daf7bdade26f76e741737ad0a423dca912	bl@0x53EE,bl@0x5482,bl@0x5586			0x4E0C-0x4E2A	reachable direct BL target from evidence/vector closure
0x4E2A	touch_sub_4e2a	unresolved_shipped_prefix	17	34	d64fbb674f6948beae83020c28b3e983d4766f4f055f2f87b5ca48d29ba20f8f	bl@0x4E60,bl@0x53A2			0x4E2A-0x4E4C	reachable direct BL target from evidence/vector closure
0x4E4C	touch_sub_4e4c	unresolved_shipped_prefix	78	166	b6577dc61280a67322031caa3c723925d4e1e1c56e59cea9f3c84c7e65c85d48	bl@0x55C2	0x4C78,0x4C7C,0x4CA0,0x4E2A		0x4E4C-0x4EF2	reachable direct BL target from evidence/vector closure
0x5254	touch_sub_5254	unresolved_shipped_prefix	57	124	5efa45534f738184ed2af12e316d028cb3d458d54b1227884b64b4f66c33c050	bl@0x532C,bl@0x5560,bl@0x55E2	0x4BA4,0x74CC,0x772C		0x5254-0x52D0	reachable direct BL target from evidence/vector closure
0x52D4	touch_sub_52d4	unresolved_shipped_prefix	80	168	1f8f8edf35b0a03a28389767e15e3a1643c00275263c88cf7f303e283af66ed5	bl@0x57C4	0x5254,0x73C0,0x74CC,0x772C		0x52D4-0x537C	reachable direct BL target from evidence/vector closure
0x5380	touch_sub_5380	unresolved_shipped_prefix	183	388	bc17e537a95f85a8537369b7468149e9647e69b7453214c9cb61d188e04836f4	bl@0x55CC	0x4C7C,0x4CA0,0x4E0C,0x4E2A,0x73C0,0x74CC,0x772C		0x5380-0x5504	reachable direct BL target from evidence/vector closure
0x5508	touch_sub_5508	unresolved_shipped_prefix	117	254	60985df86ae3d8c597541ea38c0af5679b35597bd59ec54d793fc321492bdf53	bl@0x57CA	0x4C6C,0x4D58,0x4E0C,0x4E4C,0x5254,0x5380,0x73C0,0x76D4,0x772C		0x5508-0x5606	reachable direct BL target from evidence/vector closure
0x57AC	touch_sub_57ac	unresolved_shipped_prefix	22	48	3b247be7e00ea638850bb9640b5917cf80491914dba1cdd425432c943e05eaf7	bl@0x0286	0x52D4,0x5508		0x57AC-0x57DC	reachable direct BL target from evidence/vector closure
0x5E78	touch_sub_5e78	unresolved_shipped_prefix	60	120	74cb5cf705bd2d900a06a3cafdbdb5c0fef240b02e8ac07a8e78b8677653c740	bl@0x3654			0x5E78-0x5EF0	reachable direct BL target from evidence/vector closure
0x65F4	touch_sub_65f4	unresolved_shipped_prefix	219	438	971123ed88874e9c7e1cf50da5d6252a22131bd1dd2f67d8c7b0d0e2d17457d3	bl@0x0384			0x65F4-0x67AA	reachable direct BL target from evidence/vector closure
0x67D8	i2c_tx_descriptor_arm	evidence_named	12	24	b1bac11cbac9f66b1fa321e6f30efb2dbd04b9b4aea0fc84c9e263e70f5b3cc5	bl@0x0398,bl@0x0460,bl@0x0594,bl@0x092C,evidence			0x67D8-0x67F0	I2C protocol FIFO helper
0x67F0	i2c_rx_descriptor_arm	evidence_named	11	22	732b21bb04976f6848a23c5fc2e6678dacc6987d6be924070d83b6f31b91452c	bl@0x03A4,bl@0x0416,evidence			0x67F0-0x6806	I2C protocol FIFO helper
0x6806	i2c_rx_position_get	evidence_named	2	4	12ca797b75e86be944eed1f21b5b0f642c54ade811872e0d255ac736091efe2a	bl@0x0428,evidence			0x6806-0x680A	I2C protocol FIFO helper
0x6F14	touch_sub_6f14	unresolved_shipped_prefix	44	88	7b33c0b14bc91b4c79c03a5cf8977011d0e0fb74c39f35a0a5c05e33f5bad2cc	bl@0x6FC0			0x6F14-0x6F6C	reachable direct BL target from evidence/vector closure
0x6F74	touch_sub_6f74	unresolved_shipped_prefix	20	40	f6edba26d99f37da897dd3ae65225e806a7dfa47d212cddbabafb750d1df0c8a	bl@0x6FD8			0x6F74-0x6F9C	reachable direct BL target from evidence/vector closure
0x6FA8	touch_sub_6fa8	unresolved_shipped_prefix	28	60	ba1ac67702b267f9dad652680f738491a9d26e621f88e86d453a738d35dea85a	bl@0x038C	0x6F14,0x6F74		0x6FA8-0x6FE4	reachable direct BL target from evidence/vector closure
0x6FF0	touch_sub_6ff0	unresolved_shipped_prefix	18	40	ccddf11f013fe0689e0d64677177f9ec21ebcf0f59616be7aa29603d4ce2b9a7	bl@0x0806	0x1180		0x6FF0-0x7018	reachable direct BL target from evidence/vector closure
0x703C	power_mode_set	evidence_named	25	50	eb2da152a241b25aa63a111f28be4dfd13a78b688153f4aeb29ebc17985f4656	evidence			0x703C-0x706E	I2C protocol power-management span
0x7074	sleep_wfi_entry	evidence_named	7	14	27be583ca6b6872bf6faab9d3c1ffc19a593836e52837e5d3358ef93ae23a181	evidence			0x7074-0x7082	I2C protocol power-management span
0x7088	sflash_trim_load	evidence_named	14	28	1cfdf72c38722cebd5b85e35e6e7b2dfc82f64cb6618be70c229e85fc6aacc65	evidence			0x7088-0x70A4	I2C protocol power-management span
0x73C0	touch_sub_73c0	unresolved_shipped_prefix	132	266	ebc05060fd50223e912775e546927af8692b8efe9f0c2b37185595315901dafb	bl@0x0CE0,bl@0x2CAE,bl@0x368E,bl@0x4626,bl@0x4636,bl@0x4658,bl@0x4668,bl@0x52FC,bl@0x53C6,bl@0x5522	0x76A8		0x73C0-0x74CA	reachable direct BL target from evidence/vector closure
0x74CC	touch_sub_74cc	unresolved_shipped_prefix	7	16	3cce8c0311a5dfb271d13fda3c027c82f1c240556ca5f5a2fb61d37ecc90a437	bl@0x527A,bl@0x5296,bl@0x52EE,bl@0x53CC,bl@0x5446,bl@0x54C0	0x76A8	0x73C0	0x74C0-0x74CA,0x74CC-0x74D2	reachable direct BL target from evidence/vector closure
0x74D4	touch_sub_74d4	unresolved_shipped_prefix	229	460	8079a3a6403221afb30eab6b2c2dd0eea0a536dbfefa46efb32fe07785007e96	bl@0x0D28	0x76A8		0x74D4-0x76A0	reachable direct BL target from evidence/vector closure
0x76A0	touch_sub_76a0	unresolved_shipped_prefix	7	16	0519656bf67ca571eec7b53aaab1c6cb54684ef0c85f5eb0ec4c73832a7b9ac2	bl@0x0C1C,bl@0x0C42,bl@0x0C4C	0x76A8	0x74D4	0x7696-0x76A6	reachable direct BL target from evidence/vector closure
0x76A8	touch_sub_76a8	unresolved_shipped_prefix	1	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	bl@0x74C4,bl@0x769A			0x76A8-0x76AA	reachable direct BL target from evidence/vector closure
0x76D4	touch_sub_76d4	unresolved_shipped_prefix	8	16	372261a3f0e8282f41f701dfd5d2892234bbc2d9fb8c65078798c11be69a3400	bl@0x0588,bl@0x0D96,bl@0x0EB2,bl@0x559A			0x76D4-0x76E4	reachable direct BL target from evidence/vector closure
0x772C	touch_sub_772c	unresolved_shipped_prefix	9	18	05508cada1cce08a14d3a0b7aac6c14bab56f11f7da13eea7f4956a51fd0cfdf	bl@0x0DA6,bl@0x0ED0,bl@0x52A6,bl@0x5322,bl@0x54EC,bl@0x55B8			0x772C-0x773E	reachable direct BL target from evidence/vector closure
