# SPDX-License-Identifier: MIT
entry	origin	disposition	provider_candidate	license	instructions	instruction_bytes	instruction_sha256	discovery_sources
0x11A0	direct_bl_closure	semantic_source_unclassified	none	unknown	6	20	d83fed792389ee352cf5cc6f61a748bf07db6d500eee10e3ae3d84e9119f188d	bl@0x11C6
0x11B4	direct_bl_closure	semantic_source_unclassified	none	unknown	5	16	b4189e98cd6e625662281356f2bb4dad76c65525006ac02f4ed67690594f54cd	bl@0x11CA
0x11C4	direct_bl_closure	semantic_source_unclassified	none	unknown	4	12	c6aa537f5fd796298d8cced036f927788ac3ac35918d192bf92bf80476ab9287	bl@0x1352
0x11D0	direct_bl_closure	semantic_source_unclassified	none	unknown	34	86	9f9a8908f7cf8253a895b43699fbea82712a8b064151560b98966d4d18ae1abc	bl@0x11A6
0x1226	direct_bl_closure	semantic_source_unclassified	none	unknown	1	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	bl@0x11B6
0x1228	direct_bl_closure	semantic_source_unclassified	none	unknown	6	14	118e26ff687066ec230781232a78eaec972ec446d79166867a0c2f4316c9d1ec	bl@0x11AA
0x1236	direct_bl_closure	semantic_source_unclassified	none	unknown	1	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	bl@0x11BA
0x1238	direct_bl_closure	semantic_source_unclassified	none	unknown	29	70	c40a8b088516ffc95ea6cb22359469689ef602bc734b541bac568dbd9ed831a2	bl@0x11AE
0x12A4	direct_bl_closure	semantic_source_unclassified	none	unknown	1	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	bl@0x11BE
0x12A6	direct_bl_closure	semantic_source_unclassified	none	unknown	2	4	1262b54900d7c03b982e9985409063fac8226d831429b16fcf3d3f95e0f88802	bl@0x12C6
0x12AC	direct_bl_closure	semantic_source_unclassified	none	unknown	14	32	3748d527662a5e99b1ee5fe46ee1e35e91b99b556047da03c4d0efc554b488db	bl@0x1312
0x12D0	direct_bl_closure	semantic_source_unclassified	none	unknown	35	88	2706e1b6c528901e234b7a50d22b0277eb9c9fefddc0d6ab4f7654343b977e7d	bl@0x11A2
0x1334	direct_bl_closure	semantic_source_unclassified	none	unknown	9	20	d53925675ebba08094266765709a3857e0894709a29a5061d1bebaafb0b99f3d	bl@0x1356
0x1350	direct_bl_closure	semantic_source_unclassified	none	unknown	4	12	43b4395768731222b06671eddfcc5ce1d25b71eaeca6c2380fef0f9a1cd1cffa	bl@0x09B6
0x135C	relocated_vector	typed_startup_source_required	toolchain startup provider or independent MIT replacement	LicenseRef-Unselected-Upstream-or-MIT	1	2	575fc8fa9e92ffe7d57a6aef6f1168f39da04f07d6bcd5b5e17883bff7b33165	relocated_vector
0x135E	relocated_vector	typed_startup_source_required	toolchain startup provider or independent MIT replacement	LicenseRef-Unselected-Upstream-or-MIT	3	8	76df2f1edb1a47699b952e59c124b1c2bc8f442272c16a4192c8adb94de54f3a	relocated_vector
0x1366	direct_bl_closure	semantic_source_unclassified	none	unknown	1	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	bl@0x136A
0x1368	linked_flash_pointer	semantic_source_unclassified	none	unknown	3	8	cb9a38e2220366bc501b6082ef6dce9752019d1b18f1c2380dd0b2312f27fc6b	flash_pointer_via_ldr@0x018A
0x1370	direct_bl_closure	semantic_source_unclassified	none	unknown	1	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	bl@0x1376
0x1374	relocated_vector	typed_startup_source_required	toolchain startup provider or independent MIT replacement	LicenseRef-Unselected-Upstream-or-MIT	73	160	27dcfc2e53bda1d8f09c91917c1120aa2e2ca3a1df98420da52f376faeed53e1	relocated_vector
0x13F8	direct_bl_closure	semantic_source_unclassified	none	unknown	13	28	7d79fc3ba594114c6cb89e4a3f73be1243fda24450b79b06523ed2920312dbc1	bl@0x1436
0x1418	direct_bl_closure	semantic_source_unclassified	none	unknown	1	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	bl@0x1426
0x141C	direct_bl_closure	semantic_source_unclassified	none	unknown	7	16	88ecb1cfa051967f0c30929aec666a5817e96cb58bbaed7d5350568cbadc36eb	bl@0x137A
0x1434	direct_bl_closure	semantic_source_unclassified	none	unknown	24	54	e3c02f828122f2ea8e8aba24d13d49abbd5705d8a97dedaa03aa0e5eee5531fd	bl@0x12FC,bl@0x1322
0x1480	linked_flash_pointer	semantic_source_unclassified	none	unknown	2	4	64d23481cb6a254816fb9c4c9b22031f78ed0a6ece5a6b0f6849a3ee7f77a2bb	flash_pointer_via_ldr@0x1582
0x1484	linked_flash_pointer	semantic_source_unclassified	none	unknown	2	4	827664d7a48fb1b0d798876a8dc606e50de666cda171d709af4e14adbc6769cc	bl@0x151E,flash_pointer_via_ldr@0x1586
0x1488	linked_flash_pointer	semantic_source_unclassified	none	unknown	2	4	827664d7a48fb1b0d798876a8dc606e50de666cda171d709af4e14adbc6769cc	bl@0x14BE,flash_pointer_via_ldr@0x158A
0x148C	linked_flash_pointer	semantic_source_unclassified	none	unknown	2	4	a7ddd513d149ea16fdd4db3f82267f83087aeaddd06b5dde5468adb704205fc4	flash_pointer_via_ldr@0x158E
0x1490	linked_flash_pointer	semantic_source_unclassified	none	unknown	13	26	34d29269b688544ba949a8a1589744dfc00a8b9225b7759c751fcba94da396b5	flash_pointer_via_ldr@0x1592
0x14AA	linked_flash_pointer	semantic_source_unclassified	none	unknown	2	4	a7ddd513d149ea16fdd4db3f82267f83087aeaddd06b5dde5468adb704205fc4	flash_pointer_via_ldr@0x1596
0x14B0	linked_flash_pointer	semantic_source_unclassified	none	unknown	39	86	ae63a90ebd6336e41fe26acf4d0cc89e4afb32def3e877651dca613655a23772	flash_pointer_via_ldr@0x1578
0x1510	linked_flash_pointer	semantic_source_unclassified	none	unknown	34	74	e94e5268d58135c25e47aaa134d9d82858e6f6547f1622f1677903a1626324b4	flash_pointer_via_ldr@0x1574
0x1560	linked_flash_pointer	semantic_source_unclassified	none	unknown	5	12	1a586e27e01bb88464842bfddca5cbffebd1eb098f9d717133855e73ce132a95	flash_pointer_via_ldr@0x1570
0x156C	direct_bl_closure	semantic_source_unclassified	none	unknown	28	56	adcb972ac38160b851adade4e98998e931e36bb120b86bf3f55b6cf4b795a200	bl@0x5742
0x15CC	direct_bl_closure	semantic_source_unclassified	none	unknown	126	258	8c75635fda809a3e1e93276cacc12fde908a9e5e03a65fa4728069ad2c1c3ee1	bl@0x286E
0x16D4	direct_bl_closure	semantic_source_unclassified	none	unknown	8	18	ed87531e7414a254e0b1f489b3906154e2c4217a2142de821812545f95ab257a	bl@0x1798
0x16E6	direct_bl_closure	semantic_source_unclassified	none	unknown	32	68	8b50573446b065196b3fde09b622f91d1694af4cda40b71054fa058b1009770d	bl@0x177E
0x172A	direct_bl_closure	semantic_source_unclassified	none	unknown	72	148	bd6e8773c2a58500ba327f2e8bc86c3beef1ed58beb754437299e0418295c39d	bl@0x2878
0x17BE	direct_bl_closure	semantic_source_unclassified	none	unknown	22	52	83b634b39e6cf1f6136626647cc7fef59c1fa1e2df5945589fa2e643e328e580	bl@0x1816
0x17F4	direct_bl_closure	semantic_source_unclassified	none	unknown	74	172	bd1f3846da3e0c6d8b65c517c144651ab7363ac92e86b185396510d1b714177e	bl@0x0630
0x18A8	direct_bl_closure	semantic_source_unclassified	none	unknown	42	92	11610f27ccbd2b6f7407f341122b43c3a7c28d84f0c99409f91a790f27b8c7c4	bl@0x1938
0x1904	direct_bl_closure	semantic_source_unclassified	none	unknown	30	64	4ea5380af73a598e68825d6ddf9ea922bf56c5ce753c7782603f965d2aba30ed	bl@0x0A34,bl@0x0ADA
0x1944	direct_bl_closure	semantic_source_unclassified	none	unknown	21	46	3461246ba6213d31f876fbb96cb91eb0d314495f8d01248b9c45085901e16188	bl@0x1974
0x1972	direct_bl_closure	semantic_source_unclassified	none	unknown	3	8	c192ba6ac26c5c2ec12fc70f7f717fdbf59280540dcaa17cf2c438eb6b038c9b	bl@0x1A9E
0x197C	direct_bl_closure	semantic_source_unclassified	none	unknown	148	300	514688af9c869b04f86e00d2f4ad220572124bef71dbf8ed5bcda146a3ba83ea	bl@0x05EE
0x1AB4	direct_bl_closure	semantic_source_unclassified	none	unknown	2	4	a7ddd513d149ea16fdd4db3f82267f83087aeaddd06b5dde5468adb704205fc4	bl@0x1CF6
0x1AB8	direct_bl_closure	semantic_source_unclassified	none	unknown	6	12	586c755653739ad9e7065ef32b056ca24f4f894b2d8e054d63203113928454c6	bl@0x1AE4,bl@0x1D22
0x1AC4	direct_bl_closure	semantic_source_unclassified	none	unknown	19	40	892fbfae62b35fa243a50e046a6887d36a049f983297dd7c330f39b276843af2	bl@0x1B0E
0x1AEC	direct_bl_closure	semantic_source_unclassified	none	unknown	23	48	9c13d76bd7dbd393a547ea4dd7b3cf58da054cb63e728e260b35555b78903d3d	bl@0x1B28
0x1B1C	direct_bl_closure	semantic_source_unclassified	none	unknown	12	26	8c309820c09233925017542520fe0ce94d76468edb7de8165f149f3bfcc4e0fe	bl@0x1826
0x1B36	direct_bl_closure	semantic_source_unclassified	none	unknown	17	34	d811ceaa152cf0a58ad62e2d6aadfdef8fea4f426682e2f4f45f02f61ea0ea1e	bl@0x1BD0
0x1B58	direct_bl_closure	semantic_source_unclassified	none	unknown	4	8	6065fa536920957c036a7313c37554bec38e55e933092b7a0f8e766dc96a5eb8	bl@0x1BC0
0x1B60	direct_bl_closure	semantic_source_unclassified	none	unknown	6	12	3c5642dcc3cf7cbc06ff8d00956e95211d7dd2b285f28a93b68a68d384521499	bl@0x1C3E
0x1B6C	direct_bl_closure	semantic_source_unclassified	none	unknown	113	232	9a7e778dba2aa88f0cb5418005c263f4abd4c79ab7da05412a9f01c497ac1f5a	bl@0x1C60
0x1C54	direct_bl_closure	semantic_source_unclassified	none	unknown	12	26	3fbdbfe79dd42645962ad493d27080af376d4680783ba4ebc95136401d61852c	bl@0x1820
0x1C6E	direct_bl_closure	semantic_source_unclassified	none	unknown	29	58	1a41a2667ddf75bb68880c076f5079354c7df12636a4ebaab14366215eb0ead5	bl@0x1DDE
0x1CA8	direct_bl_closure	semantic_source_unclassified	none	unknown	13	26	6b329f4b1437293361b1b5aae3668a1e8fe1853cae3279dfce6166eded90498c	bl@0x1CD0
0x1CC2	direct_bl_closure	semantic_source_unclassified	none	unknown	13	28	0b260bbd9e7ad8da32317ffc06f5b7d9c54ea6eb2adba8cffb6669d9cb858c42	bl@0x1DC0
0x1CDE	direct_bl_closure	semantic_source_unclassified	none	unknown	8	16	8d04d1554038e11a05f1f51845cc106bb27eb6a73a1af0ca0bf16b5ace4bb0b8	bl@0x1712,bl@0x1720,bl@0x1D46,bl@0x1D76,bl@0x1D90
0x1CEE	direct_bl_closure	semantic_source_unclassified	none	unknown	48	102	043d2c2c789b1eafb9d1b3d8ce1681558c62d52de64134a84bb78515de762309	bl@0x26CA
0x1D54	direct_bl_closure	semantic_source_unclassified	none	unknown	36	76	3fed765386547234f734f1293a8f9926078c5e62e3a2ba357b4bd1d1836c374d	bl@0x1DD0
0x1DA0	direct_bl_closure	semantic_source_unclassified	none	unknown	31	68	0754e98ec92ce9296eae7b80e730faa8219d2c9779119fec4612296e3586a36f	bl@0x26BE
0x1DE4	direct_bl_closure	semantic_source_unclassified	none	unknown	78	158	efc38f387b233e961fbc29d428753ef92daa825d4931a874cbfcd1efca00ddd1	bl@0x21FC
0x1E88	direct_bl_closure	semantic_source_unclassified	none	unknown	26	52	c16a701b09172349dcf86a72c5fa02de3ccf88039423055c345cc59db28f650b	bl@0x2486,bl@0x251A,bl@0x2550
0x1EBC	direct_bl_closure	semantic_source_unclassified	none	unknown	125	250	dedd254ba8ce7ac1cf14c17a51f978d7121cea1c6cb43226c6a5c7932dd798f6	bl@0x22B8
0x1FBC	direct_bl_closure	semantic_source_unclassified	none	unknown	86	172	60630aa77f2a5393849f27fb99396c5c4687f36858595a340b961cf4fd12a61a	bl@0x21F6
0x2078	direct_bl_closure	semantic_source_unclassified	none	unknown	205	416	dfc3da246895037a679dc49949704176471561e4071d350a47e5494a0fd9d0f4	bl@0x3F00
0x2228	direct_bl_closure	semantic_source_unclassified	none	unknown	16	32	ce6737a477fc2b56e4299a0451ba05b0890de8e432730fa204c6b8366076a323	bl@0x2376
0x2248	direct_bl_closure	semantic_source_unclassified	none	unknown	169	342	38200e00042a91a78b56dc3c11a14b0a786447f7c987e4781ed4444f628806ba	bl@0x24B4
0x23A4	direct_bl_closure	semantic_source_unclassified	none	unknown	222	452	7fda88a3af84b3fa68fbf3e3e29aaaaf470c2809868c360afdd1f385e3eb089e	bl@0x3E96,bl@0x3E9E,bl@0x3F0A,bl@0x3F12
0x2568	direct_bl_closure	semantic_source_unclassified	none	unknown	70	142	5db067a40536214e4993ae02c221a81fcbc184ff0fde6747109386bb18739cf1	bl@0x260E
0x25F8	direct_bl_closure	semantic_source_unclassified	none	unknown	17	36	51ebb650bbd2fe00f98b70b91e6f424aef97f95795de834edb556f9c3398e4fe	bl@0x17D0
0x2620	direct_bl_closure	semantic_source_unclassified	none	unknown	12	24	4185e2f22b2527f596c4a4592a3072c232f7b8e151d08397d7cfc1c4214ed51f	bl@0x26D8
0x2638	direct_bl_closure	semantic_source_unclassified	none	unknown	102	210	f834fe176b9a7a8b76d8e69391da3eb6ea1c5173798e8d485150e878555e2030	bl@0x18E0
0x270A	direct_bl_closure	semantic_source_unclassified	none	unknown	69	138	6d0f279ce8067065d6f08184ea9b871f89f29eb0ee0095896f454181fb426208	bl@0x28B0
0x2794	direct_bl_closure	semantic_source_unclassified	none	unknown	132	270	6964e933c7416a27d5f950bb1c3c780bea71567bbb237d25f7b232a54971bd48	bl@0x28BA
0x28A2	direct_bl_closure	semantic_source_unclassified	none	unknown	13	30	e700df1c4428c072b617b8a992596d320038150effea61ffd42efd12e9467bbd	bl@0x18F8
0x28C0	direct_bl_closure	semantic_source_unclassified	none	unknown	33	66	579982044fd40866091ff3fb450aa68b35570ecf15f471a2ff588c03de9cb0a7	bl@0x2918
0x2902	direct_bl_closure	semantic_source_unclassified	none	unknown	13	28	3bc5ecfd4603fc037688ec466e5bbdff4ed365058d58ea1e6aeec6536c2552ab	bl@0x1892,bl@0x18D8,bl@0x4322,bl@0x442C,bl@0x44B4,bl@0x458E
0x291E	direct_bl_closure	semantic_source_unclassified	none	unknown	28	56	126f969a8e8081fcd3c50ce1a79199a64f1691488c9fbd65172ae1133264bb9c	bl@0x296C
0x2956	direct_bl_closure	semantic_source_unclassified	none	unknown	13	28	bf3b2e7e2107a00105fe08681502e160870253262eb82e49eafb99f1b22ad350	bl@0x41AC
0x2972	direct_bl_closure	semantic_source_unclassified	none	unknown	3	8	7d6752dc97068c06f8f56798e8d8ac31a8c6c3bc67a184b918f1f5808a256030	bl@0x2984
0x297A	direct_bl_closure	semantic_source_unclassified	none	unknown	9	20	e8785aa413c206fc4186a681f340067434ee03f7b086015c7478ee3892954952	bl@0x0A72,bl@0x0AAA,bl@0x184C
0x298E	direct_bl_closure	semantic_source_unclassified	none	unknown	5	10	278d60a0d7df2f88cd8ef90bc8fae8dc33c5c281caffccd59b08a67e57529e1a	bl@0x0A22,bl@0x0AC8,bl@0x0B48,bl@0x186A,bl@0x3904,bl@0x3AB0
0x2998	direct_bl_closure	semantic_source_unclassified	none	unknown	4	10	8449ee289c4747a37e1df142d499105d082510786152d15ec020347b606f3279	bl@0x064E
0x29A2	direct_bl_closure	semantic_source_unclassified	none	unknown	3	8	6f8a68c8297071c8f8bbc92299e9558d82f7ece8429362fb3bba396a919a513a	bl@0x183A
0x29AC	direct_bl_closure	semantic_source_unclassified	none	unknown	35	72	3119b7e8c95ce1c6d0ebaea1a9e44acdbee5b1a8c7be5fbc159115a17b388705	bl@0x3F78
0x2A70	direct_bl_closure	semantic_source_unclassified	none	unknown	13	26	20eb1296220fb932c6de2caba5ee3b67204cbc9994df391a91d02fab5ade75ba	bl@0x2A9C,bl@0x2B12,bl@0x2B1E,bl@0x3F22
0x2A90	direct_bl_closure	semantic_source_unclassified	none	unknown	34	70	2b1473d6d32a1733d828e601cd2b4f1db5c59c2c3b29bac083c8730410d607c8	bl@0x0A0A,bl@0x0AA2,bl@0x0B12,bl@0x0B7A,bl@0x0B98
0x2AD8	direct_bl_closure	semantic_source_unclassified	none	unknown	60	132	57674d56b3996432e31143b38e1210f3b29297646dbb9dac5095e28a9db2d261	bl@0x0A02
0x2B64	direct_bl_closure	semantic_source_unclassified	none	unknown	49	98	eea7d108d821d99e816c9756777d1045ced26574c092e3a4adb40d0581b24d92	bl@0x430C,bl@0x4728,bl@0x4774,bl@0x47BC,bl@0x47D0
0x2BCC	direct_bl_closure	semantic_source_unclassified	none	unknown	50	100	64f9683826e314f2ac032d69487a829a98cd6ed9a1ea204c99aaa136f4828da8	bl@0x415E,bl@0x441A,bl@0x447E,bl@0x4720,bl@0x4786
0x2C34	direct_bl_closure	semantic_source_unclassified	none	unknown	21	42	bc68abc2591b4bcdfe85f0b0df81354f2c09fa05df09ccd87da310eeb30340cb	bl@0x432C,bl@0x44D8
0x2C5E	direct_bl_closure	semantic_source_unclassified	none	unknown	6	12	6721f053029f5811f026624cfcc433421951358eaab64b3c6977b840b6415833	bl@0x433A
0x2C6A	direct_bl_closure	semantic_source_unclassified	none	unknown	28	58	d34248b1db522012dc2c8b3ea47f07e6f27ab9d584a7a23868208e43e8d83acf	bl@0x4170,bl@0x42C0,bl@0x43E2
0x2CA4	direct_bl_closure	upstream_apache_provider	https://github.com/Infineon/mtb-pdl-cat2	Apache-2.0	10	22	5b4ab633956e4b7b49d37ae01bc6084b9fd7eb84e63c9293224ffd883b1775fa	bl@0x1862,bl@0x3698
0x2CBA	direct_bl_closure	semantic_source_unclassified	none	unknown	6	12	093cea1446a2a041c7d4522cf907f0a8d94b34d66750a5164d39324b8175627b	bl@0x299C
0x2E40	direct_bl_closure	semantic_source_unclassified	none	unknown	6	12	aa314476c0e1f310c86e76ebe75093c1246ad812ec7711343b5a3dcefa842aa0	bl@0x3910,bl@0x3ACA
0x2E4C	direct_bl_closure	semantic_source_unclassified	none	unknown	18	36	abb33ee26468ac94a0894b3e75b695b36e8f1e09caa82b0fe0a8db6e63f2cba6	bl@0x34D8,bl@0x3552
0x2E70	direct_bl_closure	semantic_source_unclassified	none	unknown	62	124	5157fb37ba4be934fe524dd8c8b2dc71e5ccc358cd4c19bd28570e16bcc73933	bl@0x4214
0x2EF0	direct_bl_closure	semantic_source_unclassified	none	unknown	23	48	47b57878e485229118057ff10dde43c8b14892e0c2417fdd890ac7deb99e9126	bl@0x300C
0x2F20	direct_bl_closure	semantic_source_unclassified	none	unknown	12	24	0ef96accc8ceff5282c0d2760c84f76cd4b3b0c3c3558b6c94eaabc54b036a19	bl@0x2F4A,bl@0x2FD8
0x2F3C	direct_bl_closure	semantic_source_unclassified	none	unknown	18	38	5d77837d970815950aa5195c2bb66512a4355c87069c9a80d84d0285e338bfcb	bl@0x30FC
0x2F62	direct_bl_closure	semantic_source_unclassified	none	unknown	7	14	87eaba821b6d5bbb9a884c7c0d30ab2786e8f54caf32d138be77a9ee5c32516c	bl@0x2FE2,bl@0x313E
0x2F70	direct_bl_closure	semantic_source_unclassified	none	unknown	16	34	d5e81db2f8506baafef83ab8a06000de82e137d4352ac399c0cecc86c742ca9b	bl@0x2FFE,bl@0x3032
0x2F94	direct_bl_closure	semantic_source_unclassified	none	unknown	71	150	81e4f844929b4a9d7bbf85adc93b0e350560cbe851dfdf7caef67bb2b43a7a39	bl@0x3118
0x3030	direct_bl_closure	semantic_source_unclassified	none	unknown	16	34	bdaf730080ef382a414ab9db2fe9e190145548b1850038b914479259e8be8173	bl@0x3072
0x3052	direct_bl_closure	semantic_source_unclassified	none	unknown	24	50	b752aea3fa37fad8cde35b0f858146915326a8eacede44f1c9b02f6f5a7459df	bl@0x310A
