# SPDX-License-Identifier: MIT
entry	size	name	instruction_sha256	classification	owner_or_contract	license	missing_fact_or_reason
0x08002888	40	FUN_08002888	60f7d3e9f357aa2bee966a24fa81b06502bfd2e28f14c7929084c1f074fc0c87	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x080028B4	114	FUN_080028b4	046ffd35165879c93662ccda04f0186970ba928fb87a2d7e635f9b04ffa47f26	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x0800292C	114	FUN_0800292c	d83acd2a7f2e817ff14dd8b3c575054abbcb6e8d13aada6b485e05e0a2095815	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x080029A4	88	FUN_080029a4	30c299289eb7e16356a271e7c1c10e0b10dc6b91c660f57da10f32cd3dc98d56	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08002A00	88	FUN_08002a00	5a0ee6537e10cc82fc9919562d0c553081b6b974e2f8e2d1897b936cb6fd9e0c	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08002A5C	6	FUN_08002a5c	20b7429ad4a2738d10a7e021499fe6fbd4639a76beaaf5ed8b3606a713b8de36	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08002B40	12	FUN_08002b40	69ef164f8c63b9c7793147e3673441b81c056c7f0ef08dd135e778d36e7c74dc	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08002EDC	72	FUN_08002edc	19a5dfc24bb9c52a8381e8b4e9f19b3141a89def9da0f19b760e171b4e42992e	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08002F28	30	FUN_08002f28	f30dbebb29b37d7916b5a609e6dfb80c0d182d970e54ee4dbdd36a082a9bd09b	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08002F46	26	FUN_08002f46	ccedbae4febe01e86cb64facb00636aa6c3c7d0b702c8811d640d826e13b67d7	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x080035B8	24	FUN_080035b8	a997c6a1781cd6996c564fb08ad0ccc4414a319ae6625dcf7a6e8303e2534028	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x080035F0	102	FUN_080035f0	8904ce09c98b52543b32fd5eac102fcaccc560d1dfff456e25778aa435a0969c	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08003656	12	FUN_08003656	6cde4422a92b5c3171d80caf68c2f0cbcbef1577a41ee3bd46d48d62275f074a	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x080038A0	62	FUN_080038a0	f23c4ff1e1dec4bb9828ff74c9c76289d08d38a09dad21a21fd33c7a0b465ed7	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08003A30	12	FUN_08003a30	c575aaa734ee2b9d4e23e7b340fed3c61339547b8701ed7647e40e3f2b11590e	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08003BB0	16	FUN_08003bb0	a2b3aa4c2ed523cf77ad992e67e9c60c3b6f8fdaa3e39ae41f6dad1e35f66238	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08003E90	4	FUN_08003e90	ba2d718b92d01eb1f8e40143481f113f9b1c1dcb94b78e076cbb2fd1f4096b82	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08003E94	16	FUN_08003e94	7533600672ed0b85ea80f528cc71d43f5784eea0e2549d79fb392df1eecdf467	project_source_candidate_not_routed	components/shared/case/runtime_case_register_transforms.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08003EA8	18	FUN_08003ea8	e0a2fefd7f2126873ac445909d136138f2bebc0021b012427305c48f9657b673	project_source_candidate_not_routed	components/shared/case/runtime_case_register_primitives.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08003EC0	10	FUN_08003ec0	aa05e4fdd78fcb7adc2ab80a2034cc34e1af95280fe398b5b77e25bf725d3191	project_source_candidate_not_routed	components/shared/case/runtime_case_register_primitives.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08003ED4	20	FUN_08003ed4	6eda4e654152137182f4a4aaf10cbc30031df690e7b8faeec68a7b460aaa3a95	project_source_candidate_not_routed	components/shared/case/runtime_case_register_transforms.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08003EEC	36	FUN_08003eec	56ea55b6763b6184a8f3dbd98468109819949fed6d7e741fba9e15e39b8bbc3d	project_source_candidate_not_routed	components/shared/case/runtime_case_register_policies.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08003F1C	22	FUN_08003f1c	2f8c43877af0ece822d02dc56db09049871bc7a25328011fd545eeecf9fb770d	project_source_candidate_not_routed	components/shared/case/runtime_case_register_policies.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08003F38	48	FUN_08003f38	3dd0b462c36cdad28ff4a39854f34a4181bad1f889aeb590e970b9b973458b5c	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08003F6C	82	FUN_08003f6c	2cf1b7aa43c06cbf60de48cdfa02f471e7ec24ab40142b4e4242b3385f288fe9	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08003FD0	282	FUN_08003fd0	eb41a0c3c12cc61be81a39bfbec52ab51a75ec9f73e016bae6f10941f808dd61	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x080040F8	2	FUN_080040f8	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x080040FA	2	FUN_080040fa	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x080040FC	2	FUN_080040fc	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x080040FE	2	FUN_080040fe	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004100	522	FUN_08004100	0682938a12722df01c45a136a35021b6fb5f82dbba3e3b72bdddf103fbb9feeb	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004324	2	FUN_08004324	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004326	2	FUN_08004326	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004328	6	FUN_08004328	a2a14b78d9dbf21beecef82b0c28833fe79269c2c9c6a03579e4ce397d9b7506	project_source_candidate_not_routed	components/shared/case/runtime_case_register_primitives.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x080046A0	2	FUN_080046a0	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x080046A4	100	FUN_080046a4	f344eb2f21489c0d41cd9d455e7e25442112d10e3ea2b0831a64eb9770a5a508	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004710	196	FUN_08004710	3a5caa28158344c155da673f7d809fc8f8d440cbdaeb779e833adb509548aea1	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x0800483C	62	FUN_0800483c	aa5a5e8fc99d7f398bc93aedc8621955eaf48781ca2ae1fa674bdcaa3f5baca7	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004958	32	FUN_08004958	09bba7cab4e1920b6b9265f7cb57a9e716a53cc447e39b4ed558daea9620080e	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x0800497C	124	FUN_0800497c	5679f3ad487d5f58590cc6c19da1f6f1fa944847068c2e52745f9d13df7f6fe9	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004A00	98	FUN_08004a00	dc8d2646d08e1aec4d91494069f1ddfbb9c48abece46b33021a4610357efa91b	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004B20	22	FUN_08004b20	8ffaebc5d978ec530921d231282a2fac6ed292a17590bab6a3c50f97ed18563e	project_source_candidate_not_routed	components/shared/case/runtime_case_register_policies.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004B3C	16	FUN_08004b3c	255dcc7be0c4303a942b9bae389e3c45f6d77e03ca298f5daae118a083ccf732	project_source_candidate_not_routed	components/shared/case/runtime_case_register_policies.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004B50	22	FUN_08004b50	d6f7f2f984a99e96501c2e924d5e359d6a6eaa497bb3ea9d6eabac09eacd8b81	project_source_candidate_not_routed	components/shared/case/runtime_case_register_policies.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004B94	88	FUN_08004b94	ad977acf353e77f4e479ef6a71fe9fa9dec0c2b88b327c0565dea83a6095c14b	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004C1C	206	FUN_08004c1c	c62357aa9de403c382874f6f9d7fe95e510c0a3d96a8f4e6275a3baa8dcf1cc5	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004D00	2	FUN_08004d00	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004D04	36	FUN_08004d04	8daf57e9c9c177b56cb7dbab499dc0a739e12667e6fcf727716151e3fc764aad	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004D2C	2	FUN_08004d2c	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004E94	10	FUN_08004e94	5dec2b510091957cd310155535f989998e09b1bda69697f9ddacdea44fbd9024	project_source_candidate_not_routed	components/shared/case/runtime_case_register_primitives.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004E9E	12	FUN_08004e9e	249cd8559567dea2085da166fd295e516469beb26a4114fee4bd90a65f3b5cad	project_source_candidate_not_routed	components/shared/case/runtime_case_register_primitives.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004EAC	6	FUN_08004eac	f9e9ed7deab97ba770020418c839a3824257d2e29c2f736e873b7a50a3efaeb8	project_source_candidate_not_routed	components/shared/case/runtime_case_register_primitives.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004EB8	6	FUN_08004eb8	895117144ca352baa99d948bb32fc9b248631e995c4d281cb77b6ddb3e9ce023	project_source_candidate_not_routed	components/shared/case/runtime_case_register_primitives.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004EC4	6	FUN_08004ec4	2eff6063dea135fb41d902919548885c3ba486df44d32f50edfd77f765a2b127	project_source_candidate_not_routed	components/shared/case/runtime_case_register_primitives.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004ED0	6	FUN_08004ed0	0894173b4e7a6a728281b8d682734935f48057b84f831256ceb9fd35c9a13825	project_source_candidate_not_routed	components/shared/case/runtime_case_register_primitives.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004EDC	12	FUN_08004edc	c8202e38b6bec0513269ceb7e7eb7852e3917486a78c89c8fea68d61c7c59c09	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004EEC	36	FUN_08004eec	a44c624f5af6410f05b71d3f5eefb750e4a82dfe24e88485e2760f61072cb495	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004F14	132	FUN_08004f14	bca22a8ea417589bad100c47034c672dedc6e750e3f179fd33e61c458eaf73b7	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004FB0	56	FUN_08004fb0	f65f32b467c14ba4213ba37eaac1f2dbc783e73bd9bfab5ac2fd2bd9bcd5b41c	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08004FEC	26	FUN_08004fec	b2165405c4004a1a03af568aee6d740bee9510a301d1cd6c1c84d2175a7bef09	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x0800500C	18	FUN_0800500c	98fbcb9dc3dd773a89e7b619fd15f70ae95d40e7dcee100ea39ed1b7a274b9d8	project_source_candidate_not_routed	components/shared/case/runtime_case_register_policies.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005024	8	FUN_08005024	6184af067579a437b117ef83ce6aa9ef83c11b2dc8568cb6de4d423b236db079	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005048	62	FUN_08005048	6b55dd98ee196750c72b3a45c33dc4f0452e87a2d5a1fb18ff2262c5dda7efe1	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x080052E4	318	FUN_080052e4	ee30a871f376066fafc98b8f843c3963c9d975eff9e095998ec2d8cf809e5241	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x0800543C	48	FUN_0800543c	e6fa8811709e85b3fd2b270e4ab60a367efa63d79c478bb47ab5d0b7f8272764	project_source_candidate_not_routed	components/shared/case/runtime_case_register_policies.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005474	26	FUN_08005474	97cfc337346c93b13c6c261a3fb670099160dd5fcfd4ee1cc08562c6abb542e5	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x0800549C	130	FUN_0800549c	e44c45ecf3a52ed25713b3de93ad9cc470747cf5130828dcff66f92cfd1ce362	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005528	962	FUN_08005528	050691a5e1ddeb35e98eecd2c46e744259131c8936ce45dca88495da0e0bc4dd	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005910	122	FUN_08005910	e45cbd74d3967a1df34927187eb94301f87fe63035795bb4fab27eb3b39fa6a9	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005A50	2	FUN_08005a50	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005A52	34	FUN_08005a52	ead7b2b743ace0bbafc23d0e1df458940a3c9cad538af50359a65291eb974f51	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005A74	172	FUN_08005a74	4cfc8970333b11f9ed8f58cb3bed4c73adc47b4d234d584e117484eb950c32fd	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005B24	96	FUN_08005b24	54d76304a964ef80ce3323ff8c8ef0ec069652484d394e7adb078a0c3f40710c	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005B8C	52	FUN_08005b8c	d41432bfb95c3668c45dca72e4cacaddf09df05764246beac6a90d7fffb4178a	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005BD4	2	FUN_08005bd4	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005BD6	2	FUN_08005bd6	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005BD8	2	FUN_08005bd8	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005BDA	76	FUN_08005bda	9b1a4d0742e8a544fec67339c269e54db6e478efa672a3b66de0d1311afc02a2	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005C26	2	FUN_08005c26	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005C28	80	FUN_08005c28	7197db954be995225d23781b86f44a8b8c639c1c1d9aa748b40abdcb4a2641a4	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005C8C	2	FUN_08005c8c	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005E14	2	FUN_08005e14	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005E16	2	FUN_08005e16	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005E18	16	FUN_08005e18	a979f66dd3d0f8094842e067fd139cb9e9a393badb763ce874cb57b6e5d31f90	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005E2C	2	FUN_08005e2c	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005E2E	60	FUN_08005e2e	05bf8c57b8cc3df322074d7c44bad89a7531092a16b12725573975f8e6a8f055	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005E6E	72	FUN_08005e6e	ad5fcc66aac9df062d2b188ed15997276925b149715559938cc7578897d72026	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08005EB6	70	FUN_08005eb6	2f7a22523ec9ba1395bf0069a78c7f18fa99c091653edcb8bdbb73731f5837aa	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
