# G2 charging-case per-function attribution map
# blob: blobs/official/g2-2.2.6.10/firmware_box.bin sha256=36ca0c13558f252af286ae2b36b5e576d087d21d37b15d778e7da9f502a70374
# ghidra lane: tools/ghidra_scripts/BoxExportFunctionMap.java on lorelei, Ghidra 12.1.2, ARM:LE:32:Cortex @0x08000000
# categories: generated_transport, upstream_cmsis_startup, upstream_freertos_kernel, upstream_stm32_hal, first_party_g2, device_specific_preserve, unresolved
entry	size	name	ownership_category	evidence
0x08003f1c	22	FUN_08003f1c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08003f38	48	FUN_08003f38	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08003f6c	82	FUN_08003f6c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08003fd0	282	FUN_08003fd0	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080040f8	2	FUN_080040f8	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080040fa	2	FUN_080040fa	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080040fc	2	FUN_080040fc	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080040fe	2	FUN_080040fe	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004100	522	FUN_08004100	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004324	2	FUN_08004324	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004326	2	FUN_08004326	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004328	6	FUN_08004328	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004330	330	FUN_08004330	first_party_g2	references G2 log/status strings
0x08004480	514	FUN_08004480	first_party_g2	references G2 log/status strings
0x080046a0	2	FUN_080046a0	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080046a4	100	FUN_080046a4	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004710	196	FUN_08004710	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080047d4	94	FUN_080047d4	first_party_g2	references G2 log/status strings
0x0800483c	62	FUN_0800483c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800487a	108	FUN_0800487a	upstream_stm32_hal	HAL_UART_IRQHandler cluster (bounded callee closure)
0x080048e6	112	FUN_080048e6	upstream_stm32_hal	HAL_UART_IRQHandler cluster (bounded callee closure)
0x08004958	32	FUN_08004958	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800497c	124	FUN_0800497c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004a00	98	FUN_08004a00	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004a6c	170	FUN_08004a6c	first_party_g2	references G2 log/status strings
0x08004b20	22	FUN_08004b20	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004b3c	16	FUN_08004b3c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004b50	22	FUN_08004b50	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004b6c	28	HAL_FLASH_Unlock	upstream_stm32_hal	FLASH_KEYR/OPTKEYR credential literal user (HAL_FLASH_Unlock/HAL_FLASH_OB_Unlock)
0x08004b94	88	FUN_08004b94	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004bf4	28	HAL_FLASH_OB_Unlock	upstream_stm32_hal	FLASH_KEYR/OPTKEYR credential literal user (HAL_FLASH_Unlock/HAL_FLASH_OB_Unlock)
0x08004c1c	206	FUN_08004c1c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004d00	2	FUN_08004d00	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004d04	36	FUN_08004d04	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004d2c	2	FUN_08004d2c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004d30	336	FUN_08004d30	first_party_g2	references G2 log/status strings
0x08004e94	10	FUN_08004e94	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004e9e	12	FUN_08004e9e	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004eac	6	FUN_08004eac	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004eb8	6	FUN_08004eb8	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004ec4	6	FUN_08004ec4	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004ed0	6	FUN_08004ed0	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004edc	12	FUN_08004edc	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004eec	36	FUN_08004eec	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004f14	132	FUN_08004f14	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004fb0	56	FUN_08004fb0	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08004fec	26	FUN_08004fec	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800500c	18	FUN_0800500c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005024	8	FUN_08005024	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800502c	18	FUN_0800502c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005048	62	FUN_08005048	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005094	14	FUN_08005094	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080050a8	24	FUN_080050a8	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080050c4	26	FUN_080050c4	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080050e8	54	FUN_080050e8	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005128	422	FUN_08005128	first_party_g2	references G2 log/status strings
0x080052e4	318	FUN_080052e4	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800543c	48	FUN_0800543c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005474	26	FUN_08005474	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800549c	130	FUN_0800549c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005528	962	FUN_08005528	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005910	122	FUN_08005910	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800598c	188	FUN_0800598c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005a50	2	FUN_08005a50	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005a52	34	FUN_08005a52	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005a74	172	FUN_08005a74	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005b24	96	FUN_08005b24	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005b8c	52	FUN_08005b8c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005bc0	16	FUN_08005bc0	first_party_g2	references G2 log/status strings
0x08005bd4	2	FUN_08005bd4	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005bd6	2	FUN_08005bd6	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005bd8	2	FUN_08005bd8	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005bda	76	FUN_08005bda	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005c26	2	FUN_08005c26	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005c28	80	FUN_08005c28	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005c8c	2	FUN_08005c8c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005c90	382	FUN_08005c90	first_party_g2	references G2 log/status strings
0x08005e14	2	FUN_08005e14	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005e16	2	FUN_08005e16	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005e18	16	FUN_08005e18	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005e2c	2	FUN_08005e2c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005e2e	60	FUN_08005e2e	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005e6a	2	FUN_08005e6a	upstream_stm32_hal	HAL_UART_IRQHandler cluster (bounded callee closure)
0x08005e6c	2	FUN_08005e6c	upstream_stm32_hal	HAL_UART_IRQHandler cluster (bounded callee closure)
0x08005e6e	72	FUN_08005e6e	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005eb6	70	FUN_08005eb6	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005efc	2	FUN_08005efc	upstream_stm32_hal	HAL_UART_IRQHandler cluster (bounded callee closure)
0x08005efe	2	FUN_08005efe	upstream_stm32_hal	HAL_UART_IRQHandler cluster (bounded callee closure)
0x08005f00	66	FUN_08005f00	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005f42	2	FUN_08005f42	upstream_stm32_hal	HAL_UART_IRQHandler cluster (bounded callee closure)
0x08005f44	12	FUN_08005f44	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08005f50	732	HAL_UART_IRQHandler	upstream_stm32_hal	anchor: USART ISR/CR1/CR3/ICR handler sequence; pinned island
0x08006240	108	FUN_08006240	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080062ac	74	FUN_080062ac	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08006308	212	FUN_08006308	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080063ec	252	FUN_080063ec	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080064ec	88	FUN_080064ec	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08006544	338	FUN_08006544	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080066ac	202	FUN_080066ac	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08006776	2	FUN_08006776	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08006778	2	FUN_08006778	upstream_cmsis_startup	HardFault default self-loop
0x0800677a	8	FUN_0800677a	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08006782	8	FUN_08006782	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800678a	8	FUN_0800678a	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08006792	16	FUN_08006792	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080067a2	14	FUN_080067a2	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080067b0	22	FUN_080067b0	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080067c8	52	FUN_080067c8	first_party_g2	references G2 log/status strings
0x0800680c	166	FUN_0800680c	first_party_g2	references G2 log/status strings
0x080068d0	24	FUN_080068d0	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080068f0	108	FUN_080068f0	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08006968	166	app_rtos_init	first_party_g2	references G2 log/status strings
0x08006a40	298	FUN_08006a40	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08006b80	24	FUN_08006b80	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08006b98	24	FUN_08006b98	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08006bb0	72	FUN_08006bb0	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08006c00	110	FUN_08006c00	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08006c80	106	FUN_08006c80	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08006cf8	106	FUN_08006cf8	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08006d70	2	FUN_08006d70	upstream_cmsis_startup	NMI default self-loop
0x08006d72	68	FUN_08006d72	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08006db8	74	FUN_08006db8	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08006e08	10	FUN_08006e08	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08006e18	2	FUN_08006e18	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08007214	2164	FUN_08007214	first_party_g2	references G2 log/status strings
0x08008420	20	systick_gate	upstream_freertos_kernel	anchor: SysTick vector: SCS read + xTaskGetSchedulerState guard
0x08008438	118	FUN_08008438	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080084ae	2	FUN_080084ae	upstream_cmsis_startup	SystemInit
0x080084b0	10	FUN_080084b0	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080084c0	122	FUN_080084c0	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800856c	62	FUN_0800856c	first_party_g2	descriptor-table consumer
0x080085b0	202	FUN_080085b0	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800867c	96	FUN_0800867c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080086e0	20	FUN_080086e0	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080086f4	96	FUN_080086f4	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08008758	174	FUN_08008758	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08008808	390	FUN_08008808	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08008998	174	FUN_08008998	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08008a48	390	FUN_08008a48	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08008bd8	398	FUN_08008bd8	first_party_g2	descriptor-table consumer
0x08008d98	280	FUN_08008d98	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08008ec4	210	FUN_08008ec4	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08008f98	10	FUN_08008f98	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08008fa8	84	gls_frame_pack_l	first_party_g2	anchor: GLS frame packer L: 0x5A channel, 10-retry, 0xFF fill
0x08009004	54	gls_frame_pack_r	first_party_g2	anchor: GLS frame packer R: 0x5A channel, 10-retry, 0xFF fill
0x08009040	96	FUN_08009040	first_party_g2	references G2 log/status strings
0x080090ac	84	FUN_080090ac	first_party_g2	references G2 log/status strings
0x08009108	86	FUN_08009108	first_party_g2	references G2 log/status strings
0x08009170	24	g2_log_printf	first_party_g2	log sink: direct format-string pointer via ADR/literal
0x08009190	26	FUN_08009190	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080091ac	60	FUN_080091ac	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08009210	1020	FUN_08009210	first_party_g2	references G2 log/status strings
0x08009638	32	FUN_08009638	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08009658	44	FUN_08009658	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08009684	430	FUN_08009684	first_party_g2	references G2 log/status strings
0x080099e8	38	FUN_080099e8	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08009a14	126	FUN_08009a14	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08009a9c	150	FUN_08009a9c	first_party_g2	references G2 log/status strings
0x08009b70	36	FUN_08009b70	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08009b94	42	FUN_08009b94	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08009bc0	130	FUN_08009bc0	first_party_g2	references G2 log/status strings
0x08009cc8	96	FUN_08009cc8	first_party_g2	references G2 log/status strings
0x08009df4	22	FUN_08009df4	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08009e0c	170	FUN_08009e0c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08009ebc	60	FUN_08009ebc	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08009ef8	32	FUN_08009ef8	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08009f18	90	FUN_08009f18	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08009f80	106	FUN_08009f80	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08009ff0	46	FUN_08009ff0	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a01e	40	FUN_0800a01e	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a046	46	FUN_0800a046	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a074	118	FUN_0800a074	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a0ea	58	FUN_0800a0ea	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a124	12	FUN_0800a124	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a130	10	FUN_0800a130	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a13a	12	FUN_0800a13a	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a148	24	FUN_0800a148	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a164	18	FUN_0800a164	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a176	18	FUN_0800a176	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a188	18	FUN_0800a188	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a19a	18	FUN_0800a19a	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a1ac	30	FUN_0800a1ac	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a1ca	30	FUN_0800a1ca	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a1e8	30	FUN_0800a1e8	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a206	30	FUN_0800a206	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a224	38	FUN_0800a224	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a24a	38	FUN_0800a24a	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a270	50	FUN_0800a270	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a2a2	34	FUN_0800a2a2	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a2c4	34	FUN_0800a2c4	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a2e6	42	FUN_0800a2e6	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a310	70	FUN_0800a310	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a358	30	FUN_0800a358	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a39c	12	FUN_0800a39c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a3ac	14	FUN_0800a3ac	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a3ba	24	FUN_0800a3ba	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a3d2	54	FUN_0800a3d2	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a408	12	FUN_0800a408	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a414	34	FUN_0800a414	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a436	54	FUN_0800a436	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a46c	72	FUN_0800a46c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a4b4	40	FUN_0800a4b4	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a4dc	30	FUN_0800a4dc	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a4fa	46	FUN_0800a4fa	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a528	30	FUN_0800a528	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a550	28	FUN_0800a550	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a574	28	FUN_0800a574	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a598	320	FUN_0800a598	first_party_g2	references G2 log/status strings
0x0800a794	14	FUN_0800a794	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a7a2	14	FUN_0800a7a2	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a7b0	34	FUN_0800a7b0	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800a7d2	68	FUN_0800a7d2	unresolved	no kernel-statics/HAL/string/descriptor evidence
