# SPDX-License-Identifier: MIT
entry	family	status	license	concrete_source	implemented	instruction_bytes	instruction_sha256	reason
0x17F4	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	172	bd1f3846da3e0c6d8b65c517c144651ab7363ac92e86b185396510d1b714177e	application behavior or typed pointer/callback ABI remains unestablished
0x18A8	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	92	11610f27ccbd2b6f7407f341122b43c3a7c28d84f0c99409f91a790f27b8c7c4	application behavior or typed pointer/callback ABI remains unestablished
0x1904	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	64	4ea5380af73a598e68825d6ddf9ea922bf56c5ce753c7782603f965d2aba30ed	application behavior or typed pointer/callback ABI remains unestablished
0x1B6C	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	232	9a7e778dba2aa88f0cb5418005c263f4abd4c79ab7da05412a9f01c497ac1f5a	application behavior or typed pointer/callback ABI remains unestablished
0x1C54	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	26	3fbdbfe79dd42645962ad493d27080af376d4680783ba4ebc95136401d61852c	application behavior or typed pointer/callback ABI remains unestablished
0x1DE4	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	158	efc38f387b233e961fbc29d428753ef92daa825d4931a874cbfcd1efca00ddd1	application behavior or typed pointer/callback ABI remains unestablished
0x1FBC	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	172	60630aa77f2a5393849f27fb99396c5c4687f36858595a340b961cf4fd12a61a	application behavior or typed pointer/callback ABI remains unestablished
0x2078	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	416	dfc3da246895037a679dc49949704176471561e4071d350a47e5494a0fd9d0f4	application behavior or typed pointer/callback ABI remains unestablished
0x2638	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	210	f834fe176b9a7a8b76d8e69391da3eb6ea1c5173798e8d485150e878555e2030	application behavior or typed pointer/callback ABI remains unestablished
0x4B44	system_handoff_mixed	typed_external_system_handoff_boundary	LicenseRef-Unresolved	false	false	30	20c9accd7d921966473072090de14214d3895534c01bf3582599a042c1945563	system handoff ABI remains unavailable
0x4C08	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	96	4d7cce66f8a0cdcc41f454fd23cadbb17ba7310de9e474fd99a1c7b14c614cbf	vendor provider body remains EULA-isolated
0x4F00	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	30	564c428a19438282db3016f394c15413886c514ff3cef2c0d5f8f6880e5e50e4	vendor provider body remains EULA-isolated
0x4F20	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	104	d415dbf85ae3aebab41a9368c141aab402e7115e1e6203b19d51dee4163ba7e5	vendor provider body remains EULA-isolated
0x4F8C	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	84	e5a456e084b11a726daa13bbe2ad37278b68db5e8ce7c814e8e69787be2f7b40	vendor provider body remains EULA-isolated
0x4FE0	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	620	10dc591b37adac5c114142464a4ad4324af575b483f655ca6cb66ac0503c7ec7	vendor provider body remains EULA-isolated
0x560C	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	124	6d39489b305efe864fc96ee452457917207990fd74c4f86aaa874204fde1ed12	vendor provider body remains EULA-isolated
0x568C	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	168	6f8973b6e856d54bda4d0d5b5bec1aed8368285eb4fef5f3db0ff5731e386f51	vendor provider body remains EULA-isolated
0x5738	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	60	504daff111be81fea96f9b6b092fd3bfc6119d00f1e4d86b5057b141ae870caf	vendor provider body remains EULA-isolated
0x5778	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	48	9a0a43f33cea65ee6728b819eba0b05f4add27dff5099727d50e87eaf7ea3f64	vendor provider body remains EULA-isolated
0x57E0	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	272	c6ea5b3d14b8da0f22e832ffdac65d08c2049cdde62d014bf70b07214e5c6c7f	vendor provider body remains EULA-isolated
0x7038	legacy_halt	typed_external_system_provider_unavailable	LicenseRef-Upstream-Body-Unavailable	false	false	2	575fc8fa9e92ffe7d57a6aef6f1168f39da04f07d6bcd5b5e17883bff7b33165	authentic upstream provider body unavailable; injected halt provider required
