recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ingress	evidence
14	APP_BleSlaveAdvStartEvent	exact retained function string and event-post behavior	0x0046EE70	0x0046EEDA	106	c7c997a783275f966bb079935f139f467b69f0939cf19a61d84ae32b96c29fec	no	two stored Thumb pointers	allocates and posts application advertising-start event 0xB6
15	APP_BleSlaveAdvStopEvent	exact retained function string and event-post behavior	0x0046EEEC	0x0046EF56	106	fab8b21f8c82985ef35a5515af71aabb83a924643539f261aee52df2588235db	no	one stored Thumb pointer	allocates and posts application advertising-stop event 0xB7
16	dmConnGetAdvState	prior-G2 exact ordered symbol and unchanged getter behavior	0x0046EF60	0x0046EF68	8	e5de2a45349fb6ff79f270b7fc2376fb7bb0fffed4e33821a418423389dd3097	no	one external direct BL site	returns the application advertising state byte
17	dmConnSmEventDispatch	prior-G2 exact ordered symbol and stable fan-out behavior	0x0046EF74	0x0046EFCC	88	fa87486d210c557403f8b4c5bcbdd224b27ceabe4150ce9a171e074698483374	no	one external direct BL site	fans DM events to slave connection-parameter OTA transport profiles and ANCC handlers
18	dmGetConnParamPtr	prior-G2 exact ordered symbol and unchanged getter behavior	0x0046EFCC	0x0046EFD4	8	84e653613fdb077f2a8aba02011d1099a92f8bdc3692cdc37cff2318e73bc359	no	three external direct BL sites	returns the active connection-parameter profile pointer
19	profile_get_conn_state_byte	prior-G2 descriptive symbol and unchanged getter behavior	0x0046EFD8	0x0046EFE4	12	cabf858dbbf98e68e80bba299d2953de9e551c9baad7fd7f196d4c68a44b7843	no	six external direct BL sites	returns the active slave connection-state byte
20	ble_ota_mode_set	prior-G2 descriptive symbol and unchanged setter behavior	0x0046EFE4	0x0046EFEC	8	a2d3a703db2479f405d86d0c986caee75a619d00b282e919fe3d8691f44285d2	no	one external direct BL site	sets the BLE OTA-mode flag
21	ble_ota_mode_get	descriptive name from paired getter behavior	0x0046EFEC	0x0046EFF4	8	f127e19fa1f4bc402aa340465907f7dd04f3c046097804351f3af7099f71e82b	no	one external direct BL site	returns the BLE OTA-mode flag
22	slave_post_unpair_event_0046effc	descriptive address-qualified name	0x0046EFFC	0x0046F090	148	54b91cd7a8f45a34411a00454cda57de98c2a0bc201676bc4ad43f55ddd09587	no	two stored Thumb pointers	sets the unpair flag and posts application event 0xB5 for the active slave peer
23	slave_disconnect_restart_adv_work_0046f098	descriptive address-qualified name	0x0046F098	0x0046F0E0	72	b7bf52dc9c770e13dac1e1719c183972339db9afd762f427b1b486844831dd4f	no	two stored Thumb pointers	logs disconnect recovery and schedules advertising restart after one second
24	APP_BleSlaveDisconnect	exact retained function string	0x0046F0EC	0x0046F158	108	c40262ec43ee4f9c90a1b4ee7a98e7db32618a1ef2b3ec6c75281e0d106182f9	yes	two external direct BL sites	allocates and posts application disconnect event 0xAD for the active slave connection
25	APP_BleSlaveAsCmdRole	exact retained function string	0x0046F164	0x0046F1C2	94	c953d33ca4e1a5fb7a2f41799869b90a2e10cc4ead1a86b7db602bbbb81a36da	yes	one external direct BL site	sets and logs the active slave command-role flag
26	APP_IsLocalSlaveAsCmdRole	exact retained function string	0x0046F1D0	0x0046F248	120	925bdd74d82aa8f96cf73a6bb961192009968f8387ffd7b551723f5036eb3bd3	yes	one external direct BL site	combines device role and the active slave command-role flag
27	APP_IsLeftSlaveRole	exact retained function string	0x0046F258	0x0046F2C6	110	7af5771f9154cb92e84995a501676262f5866a0b5d9d17022015648e830aeda6	yes	two external direct BL sites	returns whether the local slave is the left-eye role
28	slave_cmd_pipe_get_0046f2c6	descriptive name from getter behavior	0x0046F2C6	0x0046F2CE	8	2eb9523d2b51586b127791dbaf874b141c69942d48204517cd84cd97da4659a3	no	four external direct BL sites	returns the active slave command-pipe field
29	slave_adv_stop_flag_or_0046f2dc	descriptive address-qualified name	0x0046F2DC	0x0046F328	76	d1a4ad3f97f96ac4d36753ef98790c64f6a89b8dfd7d271898ea475d9c277030	no	two external direct BL sites	ORs the caller flag into pending advertising-stop state and logs the result
30	slave_sync_connection_status_0046f32c	descriptive name and prior-G2 wrapper topology	0x0046F32C	0x0046F348	28	98c83f612790262c12d08b4b2b60c9d828ced8d03b62ddcee4d1444c43eb6e66	no	two external direct BL sites	synchronizes whether the active slave connection ID is nonzero
31	_bleSlaveSyncConnectEvt	exact retained function string and stored callback behavior	0x0046F350	0x0046F3A2	82	9883f9f4ed56698f98358c407bb05df9eefe5451442d55e887c4a601553c3b0f	no	one stored Thumb pointer	logs and synchronizes the requested slave connection event state
