module	recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	direct_bl_callers	direct_bl_caller_digest	evidence
thread_ble_msgrx.c	4	threadBleMsgRxThreadInitHook	inferred lifecycle name	0x0048EE52	0x0048EE54	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	1	29c5f407432ac194a2e9fbd1fd0979e78236ea2244c4b5edd03468d95abcd78b	intentional BX LR hook
thread_ble_msgrx.c	5	threadBleMsgRxEnter	inferred lifecycle role	0x0048EE54	0x0048EE5E	10	24ebcc3f79074b80b93a59e696ab5eb0a09a50533f3fcb11df7257437dbf06d7	1	273c44ae4e63da5d1f4a510428d0bc7f5f78b295f6d9b635a7f7065d29e728b5	enters product lifecycle state 7
thread_ble_msgrx.c	6	threadBleMsgRxReady	inferred lifecycle role	0x0048EE5E	0x0048EE68	10	1788453d6557ca202001fce23bbdbc936b524b21b4779d8c33189bbea6df1bdd	1	02be75f621617391cb13a1a6ac9431af9ab54fee9f091461855731d506578287	marks lifecycle state 7 ready
thread_ble_msgrx.c	7	threadBleMsgRxInit	inferred public lifecycle name	0x0048EE68	0x0048EE94	44	1d9f7bf0663f39079aafdc4db01d0ea595aa0aa68b6ced4571120af0bbb84b8c	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	static CMSIS attributes at 0x0075B880
thread_ble_msgrx.c	8	threadBleMsgRxDeinit	inferred public lifecycle name	0x0048EE94	0x0048EEAC	24	5404210a4649bb590628b0fa790bbea2864a13d554a48613ecf7fd8b3791485c	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	conditionally terminates and clears thread handle
thread_ble_msgrx.c	9	_thread_pb_msg_handler	exact retained symbol string	0x0048EEAC	0x0048EFAC	256	e373422ae28190c5c3f19941a0d97fa54b005f0cd127fb0fa800b361232e4dae	1	01dc004aa74a5cb6e6454549d8dd10ea42264772d0b6fcbf054120ac813356bb	nonblocking drain routes 0x80 0xC0-0xC7 0x200 and 0x400 then frees each record
thread_ble_msgrx.c	10	threadBleMsgRxDispatchFlags	inferred private dispatcher	0x0048EFAC	0x0048EFC2	22	35fceef44e4e0bb898fce0178271d6894468b029fda528fe5e7843467577f975	1	58f8f94b36d5a592983b81aa9a27f94512674bc56463c72a36ecdd2d817602e1	routes queue bit 0x00400000 before exit bit 0x00800000
thread_ble_msgrx.c	11	_thread_exit	exact retained symbol string	0x0048EFC2	0x0048F018	86	e7df993163a0de0e6dc9206231c6ad7aad709d4d2133337278cf09ca455a2e31	1	a7e5258db2187302274632d7d7bcf3d6bf7d853adb90d9716fde2b79bbd3f6b8	announces lifecycle state 7 and waits forever
thread_ble_msgrx.c	12	Thread_BleMsgrxQueueClear	exact retained diagnostic symbol	0x0048F018	0x0048F126	270	3db541f9e9629bce5faa04e508d7ae33b47617f7e4151ea0f96c94698263d525	1	18edfef434304ac2fcb91e7814c4996571b280e1f04381db98cf4933ff04ddb0	drains and frees queued messages; returns freed count
thread_ble_msgrx.c	13	Thread_MsgRxFromBle	exact retained diagnostic symbol	0x0048F12C	0x0048F324	504	d7364eebf64a1dc79770776c12b2eb597ece37509af1a711e18eaf88b3d4339c	3	139b86c487df23479a6d5ae20815e192ad1c14c9316a41784dbd547f7e2d61fd	aligned allocation copy queue-put timeout 500 and bit-22 wakeup; also stored callback at 0x004C9C64
