# G2 Apollo unanchored-function provenance census; regenerated by tools/analyze_g2_apollo_unanchored_census.py
entry	body_start	body_end_exclusive	envelope_bytes	official_opaque_bytes	bucket	evidence	confidence	detail
0x00439EFC	0x00439EFC	0x00439F24	40	40	investigation-required-no-evidence	none	none	no closed-world evidence
0x00439F24	0x00439F24	0x00439F86	98	98	investigation-required-no-evidence	none	none	no closed-world evidence
0x00439F88	0x00439F88	0x00439FB4	44	44	investigation-required-no-evidence	none	none	no closed-world evidence
0x00439FB4	0x00439FB4	0x00439FE4	48	48	investigation-required-no-evidence	none	none	no closed-world evidence
0x00439FE4	0x00439FE4	0x0043A0EE	266	266	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043A0F4	0x0043A0F4	0x0043A10E	26	26	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043A110	0x0043A110	0x0043A11E	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043A11E	0x0043A11E	0x0043A19C	126	126	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043A19C	0x0043A19C	0x0043A1B0	20	20	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043A1B0	0x0043A1B0	0x0043A59E	1006	1006	investigation-required-no-evidence	none	none	references peripheral registers
0x0043A5A0	0x0043A5A0	0x0043A5B0	16	16	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043A5B0	0x0043A5B0	0x0043A5DC	44	44	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043A5DC	0x0043A5DC	0x0043A690	180	180	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043A698	0x0043A698	0x0043BA6C	5076	5076	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043BA6C	0x0043BA6C	0x0043BA96	42	42	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043BA98	0x0043BA98	0x0043C08E	1526	1526	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043BAF4	0x0043BAF4	0x0043BB00	12	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043BB00	0x0043BB00	0x0043BB14	20	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043BB14	0x0043BB14	0x0043BC54	320	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043BC58	0x0043BC58	0x0043BC82	42	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043BC84	0x0043BC84	0x0043BE14	400	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043BE18	0x0043BE18	0x0043BFA8	400	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043BFAC	0x0043BFAC	0x0043BFCE	34	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043C0B0	0x0043C0B0	0x0043C0E4	52	52	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043C0E4	0x0043C0E4	0x0043C0EC	8	8	investigation-required-no-evidence	none	none	references SRAM globals; references peripheral registers
0x0043C0EC	0x0043C0EC	0x0043C14A	94	94	investigation-required-no-evidence	none	none	references SRAM globals; references peripheral registers
0x0043C260	0x0043C260	0x0043C36E	270	270	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043C7CC	0x0043C7CC	0x0043C7FA	46	46	first-party	closed-module-manifest	high	function-map manifest g2-compress-log-core
0x0043C7FA	0x0043C7FA	0x0043C8D2	216	216	first-party	closed-module-manifest	high	function-map manifest g2-compress-log-core
0x0043CA50	0x0043CA50	0x0043CB84	308	308	first-party	closed-module-manifest	high	function-map manifest g2-compress-log-core
0x0043CB84	0x0043CB84	0x0043CE9E	794	794	first-party	closed-module-manifest	high	function-map manifest g2-compress-log-core
0x0043CE9E	0x0043CE9E	0x0043CF02	100	100	first-party	closed-module-manifest	high	function-map manifest g2-compress-log-core
0x0043D0C8	0x0043D0C8	0x0043D0CE	6	6	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043D0CE	0x0043D0CE	0x0043D0D4	6	6	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043D0DA	0x0043D0DA	0x0043D0E0	6	6	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043D406	0x0043D406	0x0043D416	16	0	easylogger	link-order-sandwich	low	bracketed in link order by easylogger
0x0043D416	0x0043D416	0x0043D438	34	0	easylogger	link-order-sandwich	low	bracketed in link order by easylogger
0x0043D438	0x0043D438	0x0043D45A	34	0	easylogger	link-order-sandwich	low	bracketed in link order by easylogger
0x0043D45A	0x0043D45A	0x0043D4B0	86	0	easylogger	link-order-sandwich	low	bracketed in link order by easylogger
0x0043D9F0	0x0043D9F0	0x0043DA0A	26	0	easylogger	call-topology-single-family	medium	every closed-world call target is easylogger
0x0043DA0A	0x0043DA0A	0x0043DA24	26	0	easylogger	call-topology-single-family	medium	every closed-world call target is easylogger
0x0043DA24	0x0043DA24	0x0043DA60	60	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043DACC	0x0043DACC	0x0043DC88	444	0	easylogger	call-topology-single-family	medium	every closed-world call target is easylogger
0x0043DCC0	0x0043DCC0	0x0043DCD2	18	18	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043DCD2	0x0043DCD2	0x0043DCE0	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043DCE0	0x0043DCE0	0x0043DD48	104	104	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043DD48	0x0043DD48	0x0043DD4C	4	4	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043DD4C	0x0043DD4C	0x0043DD52	6	6	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043DD52	0x0043DD52	0x0043DD5C	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DD5C	0x0043DD5C	0x0043DD66	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DD66	0x0043DD66	0x0043DD72	12	12	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DD72	0x0043DD72	0x0043DD7C	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DD7C	0x0043DD7C	0x0043DD86	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DD86	0x0043DD86	0x0043DD90	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DD90	0x0043DD90	0x0043DD9A	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DD9A	0x0043DD9A	0x0043DDA8	14	14	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DDA8	0x0043DDA8	0x0043DDB4	12	12	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DDB4	0x0043DDB4	0x0043DDC0	12	12	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DDC0	0x0043DDC0	0x0043DDCC	12	12	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DDCC	0x0043DDCC	0x0043DDD8	12	12	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DDD8	0x0043DDD8	0x0043DDE2	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DDE2	0x0043DDE2	0x0043DDF0	14	14	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DDF0	0x0043DDF0	0x0043DDFC	12	12	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DDFC	0x0043DDFC	0x0043DE06	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DE06	0x0043DE06	0x0043DE1C	22	22	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DE1C	0x0043DE1C	0x0043DE26	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DE26	0x0043DE26	0x0043DE30	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DE30	0x0043DE30	0x0043DE3E	14	14	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DE3E	0x0043DE3E	0x0043DE4A	12	12	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DE4A	0x0043DE4A	0x0043DE54	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DE54	0x0043DE54	0x0043DE6A	22	22	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DE6A	0x0043DE6A	0x0043DE76	12	12	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043DE76	0x0043DE76	0x0043DE82	12	12	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043E0C8	0x0043E0C8	0x0043E0E0	24	24	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043E2BC	0x0043E2BC	0x0043E2D4	24	24	lvgl	link-order-sandwich	low	bracketed in link order by lvgl
0x0043E2D4	0x0043E2D4	0x0043E2EA	22	22	lvgl	link-order-sandwich	low	bracketed in link order by lvgl
0x0043E2EA	0x0043E2EA	0x0043E33E	84	84	lvgl	link-order-sandwich	low	bracketed in link order by lvgl
0x0043E33E	0x0043E33E	0x0043E3DE	160	160	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043E442	0x0043E442	0x0043E63E	508	508	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043E63E	0x0043E63E	0x0043E6A6	104	104	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043E6A6	0x0043E6A6	0x0043E7D2	300	300	lvgl	link-order-sandwich	low	bracketed in link order by lvgl
0x0043E7D2	0x0043E7D2	0x0043EBEC	1050	1050	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EE54	0x0043EE54	0x0043EE94	64	64	lvgl	link-order-sandwich	low	bracketed in link order by lvgl
0x0043EE94	0x0043EE94	0x0043EEA6	18	18	lvgl	link-order-sandwich	low	bracketed in link order by lvgl
0x0043EEA6	0x0043EEA6	0x0043EEB0	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EEB0	0x0043EEB0	0x0043EEBA	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EEBA	0x0043EEBA	0x0043EEC4	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EEC4	0x0043EEC4	0x0043EECE	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EECE	0x0043EECE	0x0043EED8	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EED8	0x0043EED8	0x0043EEE2	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EEE2	0x0043EEE2	0x0043EEEC	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EEEC	0x0043EEEC	0x0043EEF6	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EEF6	0x0043EEF6	0x0043EF02	12	12	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EF02	0x0043EF02	0x0043EF0C	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EF0C	0x0043EF0C	0x0043EF16	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EF16	0x0043EF16	0x0043EF20	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EF20	0x0043EF20	0x0043EF2A	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EF2A	0x0043EF2A	0x0043EF34	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EF34	0x0043EF34	0x0043EF3E	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EF3E	0x0043EF3E	0x0043EF48	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EF48	0x0043EF48	0x0043EF52	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EF52	0x0043EF52	0x0043EF5C	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EF5C	0x0043EF5C	0x0043EF66	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EF66	0x0043EF66	0x0043EF70	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EF70	0x0043EF70	0x0043EF7A	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EF7A	0x0043EF7A	0x0043EF84	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EF84	0x0043EF84	0x0043EF8E	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EF8E	0x0043EF8E	0x0043EF98	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EF98	0x0043EF98	0x0043EFA2	10	10	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EFA2	0x0043EFA2	0x0043EFAE	12	12	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EFAE	0x0043EFAE	0x0043EFBA	12	12	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EFBA	0x0043EFBA	0x0043EFC6	12	12	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043EFC6	0x0043EFC6	0x0043EFF4	46	46	lvgl	link-order-sandwich	low	bracketed in link order by lvgl
0x0043EFF4	0x0043EFF4	0x0043F022	46	46	lvgl	link-order-sandwich	low	bracketed in link order by lvgl
0x0043F022	0x0043F022	0x0043F050	46	46	lvgl	link-order-sandwich	low	bracketed in link order by lvgl
0x0043F050	0x0043F050	0x0043F07E	46	46	lvgl	link-order-sandwich	low	bracketed in link order by lvgl
0x0043F07E	0x0043F07E	0x0043F08C	14	14	lvgl	link-order-sandwich	low	bracketed in link order by lvgl
0x0043F08C	0x0043F08C	0x0043F09A	14	14	lvgl	link-order-sandwich	low	bracketed in link order by lvgl
0x0043F612	0x0043F612	0x0043F648	54	54	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043F648	0x0043F648	0x0043F66C	36	36	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043F66C	0x0043F66C	0x0043F6AC	64	64	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043F6AC	0x0043F6AC	0x0043F6B8	12	12	lvgl	link-order-sandwich	low	bracketed in link order by lvgl
0x0043F6B8	0x0043F6B8	0x0043F6D6	30	30	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043FF44	0x0043FF44	0x0043FF5E	26	26	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043FF5E	0x0043FF5E	0x0043FF78	26	26	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0043FFA0	0x0043FFA0	0x0043FFD0	48	48	lvgl	link-order-sandwich	low	bracketed in link order by lvgl
0x0043FFD0	0x0043FFD0	0x00440246	630	630	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x00440246	0x00440246	0x0044035E	280	280	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x0044035E	0x0044035E	0x004403D8	122	122	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x004403D8	0x004403D8	0x004403E6	14	14	lvgl	link-order-sandwich	low	bracketed in link order by lvgl
0x004403E6	0x004403E6	0x00440494	174	174	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x00440494	0x00440494	0x004405D4	320	320	lvgl	link-order-sandwich	low	bracketed in link order by lvgl
0x004406C4	0x004406C4	0x004407E0	284	284	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x004408B0	0x004408B0	0x004408D6	38	38	investigation-required-no-evidence	none	none	no closed-world evidence
0x004408D6	0x004408D6	0x00440968	146	146	investigation-required-no-evidence	none	none	references SRAM globals
0x00440968	0x00440968	0x004409FA	146	146	investigation-required-no-evidence	none	none	references SRAM globals
0x004409FA	0x004409FA	0x00440A08	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x00440A18	0x00440A18	0x00440A1A	2	2	investigation-required-no-evidence	none	none	linker veneer
0x00440A1C	0x00440A1A	0x00440A3C	34	34	investigation-required-no-evidence	none	none	no closed-world evidence
0x00440A3C	0x00440A3C	0x00440C2E	498	498	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x00440C2E	0x00440C2E	0x00440D48	282	282	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x00440D70	0x00440D70	0x00440DDA	106	106	lvgl	call-topology-single-family	medium	every closed-world call target is lvgl
0x00440DDA	0x00440DDA	0x00440F36	348	348	investigation-required-no-evidence	none	none	references SRAM globals
0x00440F38	0x00440F38	0x00440F44	12	12	investigation-required-no-evidence	none	none	no closed-world evidence
0x00440F44	0x00440F44	0x00440FC4	128	128	investigation-required-no-evidence	none	none	no closed-world evidence
0x00440FC4	0x00440FC4	0x00440FDE	26	26	investigation-required-no-evidence	none	none	no closed-world evidence
0x00440FDE	0x00440FDE	0x00441004	38	38	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441004	0x00441004	0x00441016	18	18	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441016	0x00441016	0x0044102E	24	24	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044102E	0x0044102E	0x0044104C	30	30	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044104C	0x0044104C	0x00441068	28	28	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441068	0x00441068	0x0044107C	20	20	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044107C	0x0044107C	0x00441094	24	24	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441094	0x00441094	0x004410A6	18	18	investigation-required-no-evidence	none	none	no closed-world evidence
0x004410A6	0x004410A6	0x004410B8	18	18	investigation-required-no-evidence	none	none	no closed-world evidence
0x004410B8	0x004410B8	0x004410EE	54	54	investigation-required-no-evidence	none	none	no closed-world evidence
0x004410EE	0x004410EE	0x00441164	118	118	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441164	0x00441164	0x00441172	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441180	0x00441180	0x0044118E	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044118E	0x0044118E	0x0044119C	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044119C	0x0044119C	0x004411AA	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x004411AA	0x004411AA	0x004411B8	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x004411B8	0x004411B8	0x004411C6	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x004411C6	0x004411C6	0x004411D4	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x004411D4	0x004411D4	0x004411E4	16	16	investigation-required-no-evidence	none	none	no closed-world evidence
0x004411E4	0x004411E4	0x004411F2	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x004411F2	0x004411F2	0x00441200	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441200	0x00441200	0x0044120E	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044120E	0x0044120E	0x0044121C	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044121C	0x0044121C	0x0044122A	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044122A	0x0044122A	0x00441238	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441238	0x00441238	0x00441246	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441246	0x00441246	0x00441254	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441254	0x00441254	0x00441262	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441262	0x00441262	0x00441270	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441270	0x00441270	0x0044127E	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044127E	0x0044127E	0x0044129E	32	32	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044129E	0x0044129E	0x004412AE	16	16	investigation-required-no-evidence	none	none	no closed-world evidence
0x004412AE	0x004412AE	0x004412CE	32	32	investigation-required-no-evidence	none	none	no closed-world evidence
0x004412CE	0x004412CE	0x004412DE	16	16	investigation-required-no-evidence	none	none	no closed-world evidence
0x004412EC	0x004412EC	0x0044130C	32	32	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044130C	0x0044130C	0x0044131C	16	16	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044131C	0x0044131C	0x0044132A	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044132A	0x0044132A	0x0044133A	16	16	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044133A	0x0044133A	0x00441348	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441378	0x00441378	0x00441386	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441386	0x00441386	0x00441394	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441394	0x00441394	0x004413A2	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x004413A2	0x004413A2	0x004413B0	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x004413B0	0x004413B0	0x004413BE	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x004413BE	0x004413BE	0x004413CE	16	16	investigation-required-no-evidence	none	none	no closed-world evidence
0x004413CE	0x004413CE	0x004413DE	16	16	investigation-required-no-evidence	none	none	no closed-world evidence
0x004413DE	0x004413DE	0x004413FE	32	32	investigation-required-no-evidence	none	none	no closed-world evidence
0x004413FE	0x004413FE	0x0044140E	16	16	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044140E	0x0044140E	0x0044142E	32	32	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044142E	0x0044142E	0x0044143E	16	16	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044143E	0x0044143E	0x0044144C	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044144C	0x0044144C	0x0044145A	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044145A	0x0044145A	0x0044146A	16	16	investigation-required-no-evidence	none	none	no closed-world evidence
0x0044146A	0x0044146A	0x00441478	14	14	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441478	0x00441478	0x00441488	16	16	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441488	0x00441488	0x00441498	16	16	investigation-required-no-evidence	none	none	no closed-world evidence
0x004414A6	0x004414A6	0x004414B6	16	16	investigation-required-no-evidence	none	none	no closed-world evidence
0x004414C6	0x004414C6	0x004414D6	16	16	investigation-required-no-evidence	none	none	no closed-world evidence
0x004414D6	0x004414D6	0x004414E6	16	16	investigation-required-no-evidence	none	none	no closed-world evidence
0x004414E6	0x004414E6	0x004414F6	16	16	investigation-required-no-evidence	none	none	no closed-world evidence
0x004414F6	0x004414F6	0x00441506	16	16	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441506	0x00441506	0x00441516	16	16	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441516	0x00441516	0x004415CA	180	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x004415CA	0x004415CA	0x00441636	108	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441636	0x00441636	0x00441696	96	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441696	0x00441696	0x004416B8	34	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x004416B8	0x004416B8	0x004416D6	30	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x004416D6	0x004416D6	0x004416F0	26	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x004416F0	0x004416F0	0x00441710	32	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441710	0x00441710	0x00441750	64	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441750	0x00441750	0x00441790	64	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441790	0x00441790	0x004417C2	50	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x004417C2	0x004417C2	0x004417EE	44	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x004417EE	0x004417EE	0x00441952	356	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441952	0x00441952	0x00441A42	240	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441A42	0x00441A42	0x00441B0A	200	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441B0A	0x00441B0A	0x00441C44	314	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x00441C44	0x00441C44	0x00441DA6	354	0	investigation-required-no-evidence	none	none	no closed-world evidence
