recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ghidra_discovered	entry_evidence	qualification
18	hub_als_timer_callback	semantic behavior label	0x004A6AE8	0x004A6B22	58	443173ad4329611b099e1da5848a18c6644a9170d4ea05d213cb0b205dac3aab	no	no	stored callback pointer at 0x00686F7C	samples the tick, skips during OTA, and posts the ALS sample message
19	HUB_IMUSetModeHandler	exact retained diagnostic symbol	0x004A6B22	0x004A6BCE	172	6a2ba873bea548d85b0461acd59804e652cc074ccdd276217d3c982e6db89494	no	no	runtime-registered handler behind the blx table dispatch at 0x004A6916	sets the IMU work mode through the closed IMU driver with failure logging
20	HUB_IMUCalibParaInit	exact retained diagnostic symbol	0x004A6BCE	0x004A6D26	344	6f299b00e6a3da2ca6a18610cc14db268c22f9710a70490d2c78bc42420d8237	yes	yes	internal BLs at 0x004A687E and 0x004A69B6 plus external BL at 0x005742BE	loads the calibration matrix from the closed NVDB provider and programs the IMU via nanopb-framed calls
21	hub_empty_hook	semantic behavior label	0x004A6D26	0x004A6D28	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	no	no	authenticated source-order prologue	intentional empty hub hook
22	hub_role_init	semantic behavior label	0x004A6D28	0x004A6D50	40	f0ae964c323ffad0f0acdf380304a09b5d0558269d3fe38a902f09ff39492244	no	no	internal BL at 0x004A6882	maps the first-party role getter onto the retained hub role word
23	hub_role_get	semantic behavior label	0x004A6D50	0x004A6D58	8	9341855bcc8458c7770483b5b4276bc75aa76fb4407822581a301c7bfaab0adc	no	no	external BL at 0x004A4EDA plus four internal BLs	returns the retained hub role word
24	HUB_Open	exact retained diagnostic symbol	0x004A6D58	0x004A6DCA	114	3e59ce83106fadf4cf89ceebe481bb77cc633f199df8d16540d2e211419ca478	yes	yes	six external BLs	opens a hub function for the right role with policy logging
25	HUB_Close	exact retained diagnostic symbol	0x004A6DCA	0x004A6E3C	114	9cfb3aaeec1d90a3a3a4bc73272e6ea22aba3cc5ec9aa70414cc129bd03ad0f7	yes	yes	six external BLs	closes a hub function for the right role with policy logging
26	HUB_ParameterConfig	exact retained diagnostic symbol	0x004A6E3C	0x004A6ECA	142	a128db25bfd023fa4b41e8f7252caffb9d98733294e7e62a525392fc43a1f7da	yes	yes	five external BLs	configures hub parameters for the right role through the closed IMU driver
27	HUB_IMUFuncOpenHandler	exact retained diagnostic symbol	0x004A6EE8	0x004A713A	594	b19add4275379b185b51391fafa15f7ac19d5445c219fd5020152797c2c3d61a	no	no	runtime-registered handler behind the blx table dispatch at 0x004A6916	opens IMU functions with mutual-exclusion work-mode policy across display and compass
28	HUB_IMUFuncCloseHandler	exact retained diagnostic symbol	0x004A7170	0x004A7344	468	bf2f793a138b2e517718b3316cf105181248c2c5ef92cc27ab70baf469c3ceba	no	no	runtime-registered handler behind the blx table dispatch at 0x004A6916	closes IMU functions with work-mode restore policy and powers down on empty
29	hub_calibration_labels_update	semantic behavior label	0x004A7440	0x004A7472	50	cb99dca833662dee05ac9b2a7d4054e00db2c251355d24bcd1d3fb3fa9bfd48b	no	no	three internal BLs	updates the retained head-up calibration label pair through admitted LVGL
30	hub_calibration_display_update	semantic behavior label	0x004A7472	0x004A76E4	626	90875d61c1f75ddc2bdd8ac5e4a65678a4619427f85a318c57d5d64f8e4d30d8	no	no	external BL at 0x00467EBA	drives the ID_HEADUP_CALIBRATING label pair and layout while calibration runs
31	hub_calibration_success_display	semantic behavior label	0x004A76E4	0x004A774E	106	1f9abcc1ea1de3d7ac1fe3f0499f845eadf77e983e59061d578b2d8f199888bc	no	no	external BL at 0x00467ECA	drives the ID_HEADUP_CALIBRATION_SUCCESSFUL label pair and centers the result
