# SPDX-License-Identifier: MIT
entry	name	status	instruction_bytes	instruction_sha256	source_or_provider	license	action	evidence
0x111C	proximity_baseline_update_adapter	project_fail_closed_contract	90	5a2bb79ea819a1be4aed5603f754cb2304ace76727633e535eab05aab07b12a3	components/shared/touch/runtime_touch_policy_helpers.c	MIT	provider result commits atomically; missing/error leaves state unchanged	reads sensor context 0x200004EC, saved baseline, CapSense accessor, and update state 0x200009D8
0x1180	Cy_SysLib_DelayCycles	upstream_apache_provider	18	a8b62136d338c6dc91e6f900f19cb30344601be2bc97b168940ca57281293760	https://github.com/Infineon/mtb-pdl-cat2	Apache-2.0	prefer the upstream provider implementation and retain Apache-2.0 notices	instruction-for-instruction CM0+ delay loop: add 2, divide by 4, add/sub loop, two alignment NOPs
0x2CA4	pdl_timeout_count_scale	upstream_apache_provider	22	5b4ab633956e4b7b49d37ae01bc6084b9fd7eb84e63c9293224ffd883b1775fa	https://github.com/Infineon/mtb-pdl-cat2	Apache-2.0	prefer the upstream provider implementation and retain Apache-2.0 notices	multiply/divide timeout scaling with explicit divisor-zero status; called by MSCLP scan wait
0x3624	i2c_payload_callback_entry	project_fail_closed_contract	8	1addbcb3372f43944f663e2519eb131fd1ad0ee60091bc01862e5adabe6e40f7	runtime_touch_i2c_protocol.c callback boundary	MIT OR GPL-3.0-only wrapper	supply the resident callback-registry integration	resident callback registry pointer
0x3628	msclp_scan_register_prepare	upstream_apache_provider	74	f003f478bd6b5d2d908a318db06042021f3407c297463e0ab70437efa15de0e3	https://github.com/Infineon/mtb-pdl-cat2	Apache-2.0	prefer the upstream provider implementation and retain Apache-2.0 notices	programs an MSCLP register object and invokes the six-word MSCLP configuration writer
0x3680	msclp_scan_start_wait	upstream_apache_provider	58	efc45b679e7db7afcb07360a4238f0f38e38bc79c77bc4a42d7ecf294a7b6eb3	https://github.com/Infineon/mtb-pdl-cat2	Apache-2.0	prefer the upstream provider implementation and retain Apache-2.0 notices	derives a bounded poll count, starts MSCLP, polls completion bit, and clears status
0x36C4	msc_sensing_loop	project_source_candidate	168	5cee0e3336b8a6e052adc77ba845ff2d03d1dd5c9f4926588d523217aa7a13bc	runtime_touch_sensing.c	MIT OR GPL-3.0-only	retain source candidate; supply MSCLP operations through ports	touch sensing MSC_SPAN
0x37C0	event_dispatcher	project_fail_closed_contract	90	6fb0a1eac505eb27ec0b4ab1201cbbeeaeffdd8737cd9148e5480d2c9074a1f9	runtime_touch_i2c_protocol.c event callback	MIT OR GPL-3.0-only wrapper	supply event-table/provider implementation	I2C protocol event-dispatch span
0x465C	vector_entry_465c	still_unclassified	142	14498d609d277c2121b8c8fab4a8cccbbc14d18c003e4e48402eeb2e0025faed	none	unknown	resolve vector-target semantics before standalone startup replacement	authenticated vector target with shared suffix; semantic role unresolved
0x465E	vector_entry_465e	still_unclassified	142	14498d609d277c2121b8c8fab4a8cccbbc14d18c003e4e48402eeb2e0025faed	none	unknown	resolve vector-target semantics before standalone startup replacement	authenticated vector target with shared suffix; semantic role unresolved
0x4674	vector_entry_4674	still_unclassified	142	14498d609d277c2121b8c8fab4a8cccbbc14d18c003e4e48402eeb2e0025faed	none	unknown	resolve vector-target semantics before standalone startup replacement	authenticated vector target with shared suffix; semantic role unresolved
0x4A04	capsense_widget_active_query	external_eula_clean_room_required	50	e891e275255ea5adb71dfc1f5cff7b17f749f9331bfbab43e8ffa4e39bd84cca	https://github.com/Infineon/capsense	LicenseRef-Infineon-EULA	interface evidence only for MIT clean-room replacement unless EULA terms are accepted	bounds widget index 0..2 and tests generated widget/sensor state fields
0x4A36	capsense_sensor_raw_count_read	external_eula_clean_room_required	54	7a3c8b8de900c494da9962bd076682f53545e63cd6234e5ec3c11e43b68cb94c	https://github.com/Infineon/capsense	LicenseRef-Infineon-EULA	interface evidence only for MIT clean-room replacement unless EULA terms are accepted	bounds widget and sensor index then returns the generated sensor record u16 value
0x4A6C	capsense_widget_data_pointer	external_eula_clean_room_required	38	5481d8910d37b64d4cc0f223089f50fb3a50fa998e95a14425da38ee602fdab0	https://github.com/Infineon/capsense	LicenseRef-Infineon-EULA	interface evidence only for MIT clean-room replacement unless EULA terms are accepted	bounds widget index/state class and returns generated widget-data pointer +0x24
0x4B14	NVIC_SystemReset	upstream_apache_provider	18	6303e4264b28333e41cfb61f08772a26eb13ba131a982f6ed31c4a498f804b38	CMSIS-Core / Infineon CAT2 PDL	Apache-2.0	use upstream NVIC_SystemReset implementation with notices	I2C protocol reset span
0x4B30	enter_dfu_mailbox_and_reset	project_fail_closed_contract	50	bb596fef51de2fc4cbb71cd11308a8f9b63344a92065ae884ae43fbe81902c93	runtime_touch_i2c_protocol.c enter_dfu_and_reset port	MIT OR GPL-3.0-only wrapper	supply resident boot/DFU provider; unavailable in prefix	I2C protocol DFU handoff
0x4B68	CalcChecksum	external_eula_clean_room_required	60	7d97e84c7b28750fd51177cdb4d88e36e5c23e53a0d1e1d8dc1be57f488371b7	https://github.com/Infineon/emeeprom	LicenseRef-Infineon-EULA	interface/algorithm identification only for MIT clean-room replacement unless EULA terms are accepted	CRC-8 seed 0xFF, polynomial 0x31, eight MSB-first rounds: exact Em_EEPROM checksum contract
0x4BA4	CheckRanges	external_eula_clean_room_required	96	4d7cce66f8a0cdcc41f454fd23cadbb17ba7310de9e474fd99a1c7b14c614cbf	https://github.com/Infineon/emeeprom	LicenseRef-Infineon-EULA	interface/algorithm identification only for MIT clean-room replacement unless EULA terms are accepted	validates EEPROM configuration/range fields and returns 0x093E0003-class status
0x4C6C	CalculateRowChecksum	external_eula_clean_room_required	12	2ba000540258b6a9a9ba82ebb49ca0b88bd3bd0949cdafd72a75a9081450034f	https://github.com/Infineon/emeeprom	LicenseRef-Infineon-EULA	interface/algorithm identification only for MIT clean-room replacement unless EULA terms are accepted	skips the stored checksum byte and invokes CalcChecksum over row size minus four
0x4C78	GetStoredRowChecksum	external_eula_clean_room_required	4	a89b85f8bccd76763270edbe8d4a9000e557118189ef0a663b750b93593d16da	https://github.com/Infineon/emeeprom	LicenseRef-Infineon-EULA	interface/algorithm identification only for MIT clean-room replacement unless EULA terms are accepted	returns first word from an EEPROM row
0x4C7C	CheckRowChecksum	external_eula_clean_room_required	32	fc923a97b449cfde8ec692d25b3a16f5d6e15a11db87ad7f54f6b745667c4145	https://github.com/Infineon/emeeprom	LicenseRef-Infineon-EULA	interface/algorithm identification only for MIT clean-room replacement unless EULA terms are accepted	compares stored and calculated row checksums and returns success/bad-checksum status
0x4CA0	GetStoredSeqNum	external_eula_clean_room_required	4	a78fc9996461c9de89dede305a4ebaddf18e69f73df2a59a239610bf4bdef4cd	https://github.com/Infineon/emeeprom	LicenseRef-Infineon-EULA	interface/algorithm identification only for MIT clean-room replacement unless EULA terms are accepted	returns the second word from an EEPROM row
0x4CA4	DefineLastWrittenRow	external_eula_clean_room_required	176	aac740b8b0653e35c15ed9a9fe72dfc490889b095910c96990c5d45ed6673498	https://github.com/Infineon/emeeprom	LicenseRef-Infineon-EULA	interface/algorithm identification only for MIT clean-room replacement unless EULA terms are accepted	scans wear-level rows for greatest sequence number with a valid checksum
0x4D58	CheckLastWrittenRowIntegrity	external_eula_clean_room_required	172	6dbf099a9836e5e4c9657f00059dac5d552088f64dc5d28b31fe5c57a7b6a0e1	https://github.com/Infineon/emeeprom	LicenseRef-Infineon-EULA	interface/algorithm identification only for MIT clean-room replacement unless EULA terms are accepted	checks last-row CRC, tries redundant copy, then redefines the last valid row
0x4E0C	GetNextRowPointer	external_eula_clean_room_required	30	00fc76e2fad394e1198eef32b50b40daf7bdade26f76e741737ad0a423dca912	https://github.com/Infineon/emeeprom	LicenseRef-Infineon-EULA	interface/algorithm identification only for MIT clean-room replacement unless EULA terms are accepted	advances one row and wraps at wear-level region end
0x4E2A	GetReadRowPointer	external_eula_clean_room_required	34	d64fbb674f6948beae83020c28b3e983d4766f4f055f2f87b5ca48d29ba20f8f	https://github.com/Infineon/emeeprom	LicenseRef-Infineon-EULA	interface/algorithm identification only for MIT clean-room replacement unless EULA terms are accepted	moves among wear-level blocks with start/end range correction
0x4E4C	CopyHistoricData	external_eula_clean_room_required	166	b6577dc61280a67322031caa3c723925d4e1e1c56e59cea9f3c84c7e65c85d48	https://github.com/Infineon/emeeprom	LicenseRef-Infineon-EULA	interface/algorithm identification only for MIT clean-room replacement unless EULA terms are accepted	row/header geometry and checksum helpers match historic-data copy provider topology
0x5254	em_eeprom_row_read_helper	external_eula_clean_room_required	124	5efa45534f738184ed2af12e316d028cb3d458d54b1227884b64b4f66c33c050	https://github.com/Infineon/emeeprom	LicenseRef-Infineon-EULA	interface/algorithm identification only for MIT clean-room replacement unless EULA terms are accepted	shared by simple and extended read paths; validates row metadata and copies bounded payload
0x52D4	ReadSimpleMode	external_eula_clean_room_required	168	1f8f8edf35b0a03a28389767e15e3a1643c00275263c88cf7f303e283af66ed5	https://github.com/Infineon/emeeprom	LicenseRef-Infineon-EULA	interface/algorithm identification only for MIT clean-room replacement unless EULA terms are accepted	selected when context simpleMode is nonzero and performs bounded direct storage read
0x5380	em_eeprom_extended_read_row_helper	external_eula_clean_room_required	388	bc17e537a95f85a8537369b7468149e9647e69b7453214c9cb61d188e04836f4	https://github.com/Infineon/emeeprom	LicenseRef-Infineon-EULA	interface/algorithm identification only for MIT clean-room replacement unless EULA terms are accepted	extended-mode row traversal using checksum, wear-level, and bounded copy helpers
0x5508	ReadExtendedMode	external_eula_clean_room_required	254	60985df86ae3d8c597541ea38c0af5679b35597bd59ec54d793fc321492bdf53	https://github.com/Infineon/emeeprom	LicenseRef-Infineon-EULA	interface/algorithm identification only for MIT clean-room replacement unless EULA terms are accepted	selected when context simpleMode is zero and searches checksum-protected historic rows
0x57AC	Cy_Em_EEPROM_Read	external_eula_clean_room_required	48	3b247be7e00ea638850bb9640b5917cf80491914dba1cdd425432c943e05eaf7	https://github.com/Infineon/emeeprom	LicenseRef-Infineon-EULA	interface/algorithm identification only for MIT clean-room replacement unless EULA terms are accepted	four-argument address/data/size/context ABI, range validation, then simple/extended dispatch
0x5E78	msclp_register_config_write	upstream_apache_provider	120	74cb5cf705bd2d900a06a3cafdbdb5c0fef240b02e8ac07a8e78b8677653c740	https://github.com/Infineon/mtb-pdl-cat2	Apache-2.0	prefer the upstream provider implementation and retain Apache-2.0 notices	copies six descriptor words to MSCLP offsets 0x3004..0x3034 for selector classes 5/11/other
0x65F4	Cy_SCB_I2C_Init	upstream_apache_provider	438	971123ed88874e9c7e1cf50da5d6252a22131bd1dd2f67d8c7b0d0e2d17457d3	https://github.com/Infineon/mtb-pdl-cat2	Apache-2.0	prefer the upstream provider implementation and retain Apache-2.0 notices	three-argument base/config/context ABI, SCB register configuration, assertions, context zero/init, status return
0x67D8	i2c_tx_descriptor_arm	project_source_candidate	24	b1bac11cbac9f66b1fa321e6f30efb2dbd04b9b4aea0fc84c9e263e70f5b3cc5	runtime_touch_i2c_protocol.c	MIT OR GPL-3.0-only	retain FIFO descriptor source candidate	I2C protocol FIFO helper
0x67F0	i2c_rx_descriptor_arm	project_source_candidate	22	732b21bb04976f6848a23c5fc2e6678dacc6987d6be924070d83b6f31b91452c	runtime_touch_i2c_protocol.c	MIT OR GPL-3.0-only	retain FIFO descriptor source candidate	I2C protocol FIFO helper
0x6806	i2c_rx_position_get	project_source_candidate	4	12ca797b75e86be944eed1f21b5b0f642c54ade811872e0d255ac736091efe2a	runtime_touch_i2c_protocol.c	MIT OR GPL-3.0-only	retain FIFO position source candidate	I2C protocol FIFO helper
0x6F14	NVIC_SetPriority	upstream_apache_provider	88	7b33c0b14bc91b4c79c03a5cf8977011d0e0fb74c39f35a0a5c05e33f5bad2cc	https://github.com/Infineon/mtb-pdl-cat2	Apache-2.0	prefer the upstream provider implementation and retain Apache-2.0 notices	maps signed IRQ number to NVIC or SCB priority byte lanes at 0xE000E100/0xE000ED00
0x6F74	Cy_SysInt_SetVector	upstream_apache_provider	40	f6edba26d99f37da897dd3ae65225e806a7dfa47d212cddbabafb750d1df0c8a	https://github.com/Infineon/mtb-pdl-cat2	Apache-2.0	prefer the upstream provider implementation and retain Apache-2.0 notices	selects SRAM vector table only when CPUSS vector-in-RAM state is active and returns prior handler
0x6FA8	Cy_SysInt_Init	upstream_apache_provider	60	ba1ac67702b267f9dad652680f738491a9d26e621f88e86d453a738d35dea85a	https://github.com/Infineon/mtb-pdl-cat2	Apache-2.0	prefer the upstream provider implementation and retain Apache-2.0 notices	validates config, applies priority, conditionally installs vector, and returns PDL status
0x6FF0	Cy_SysLib_Delay	upstream_apache_provider	40	ccddf11f013fe0689e0d64677177f9ec21ebcf0f59616be7aa29603d4ce2b9a7	https://github.com/Infineon/mtb-pdl-cat2	Apache-2.0	prefer the upstream provider implementation and retain Apache-2.0 notices	overflow-bounded millisecond loop over cy_delay32kMs then cycles = ms*cy_delayFreqKhz
0x703C	power_mode_set	upstream_apache_provider	50	eb2da152a241b25aa63a111f28be4dfd13a78b688153f4aeb29ebc17985f4656	Infineon CAT2 PDL power API	Apache-2.0	use upstream power-mode provider with notices	I2C protocol power-management span
0x7074	sleep_wfi_entry	upstream_apache_provider	14	27be583ca6b6872bf6faab9d3c1ffc19a593836e52837e5d3358ef93ae23a181	Cy_SysPm_CpuEnterSleepNoCallbacks	Apache-2.0	use upstream CAT2 PDL function with notices	I2C protocol power-management span
0x7088	sflash_trim_load	upstream_apache_provider	28	1cfdf72c38722cebd5b85e35e6e7b2dfc82f64cb6618be70c229e85fc6aacc65	Cy_SysPm_CpuEnterDeepSleepNoCallbacks	Apache-2.0	use upstream CAT2 PDL function with notices	I2C protocol power-management span
0x73C0	__aeabi_uidiv	upstream_runtime_provider	266	ebc05060fd50223e912775e546927af8692b8efe9f0c2b37185595315901dafb	selected ARM EABI/C runtime	LicenseRef-Upstream-Toolchain-Runtime	link an upstream compiler/libc implementation under its own license; do not copy stock bytes	unsigned restoring division; quotient in r0
0x74CC	__aeabi_uidivmod	upstream_runtime_provider	16	3cce8c0311a5dfb271d13fda3c027c82f1c240556ca5f5a2fb61d37ecc90a437	selected ARM EABI/C runtime	LicenseRef-Upstream-Toolchain-Runtime	link an upstream compiler/libc implementation under its own license; do not copy stock bytes	zero-divisor hook or shared unsigned divider; quotient r0 and remainder r1
0x74D4	__aeabi_idiv	upstream_runtime_provider	460	8079a3a6403221afb30eab6b2c2dd0eea0a536dbfefa46efb32fe07785007e96	selected ARM EABI/C runtime	LicenseRef-Upstream-Toolchain-Runtime	link an upstream compiler/libc implementation under its own license; do not copy stock bytes	signed restoring division with sign normalization
0x76A0	__aeabi_idivmod	upstream_runtime_provider	16	0519656bf67ca571eec7b53aaab1c6cb54684ef0c85f5eb0ec4c73832a7b9ac2	selected ARM EABI/C runtime	LicenseRef-Upstream-Toolchain-Runtime	link an upstream compiler/libc implementation under its own license; do not copy stock bytes	zero-divisor hook or shared signed divider; quotient r0 and remainder r1
0x76A8	__aeabi_idiv0	upstream_runtime_provider	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	selected ARM EABI/C runtime	LicenseRef-Upstream-Toolchain-Runtime	link an upstream compiler/libc implementation under its own license; do not copy stock bytes	weak divide-by-zero hook leaf returning immediately
0x76D4	memset	upstream_runtime_provider	16	372261a3f0e8282f41f701dfd5d2892234bbc2d9fb8c65078798c11be69a3400	selected ARM EABI/C runtime	LicenseRef-Upstream-Toolchain-Runtime	link an upstream compiler/libc implementation under its own license; do not copy stock bytes	byte fill from r0 through r0+r2 with r1 and return original r0
0x772C	memcpy	upstream_runtime_provider	18	05508cada1cce08a14d3a0b7aac6c14bab56f11f7da13eea7f4956a51fd0cfdf	selected ARM EABI/C runtime	LicenseRef-Upstream-Toolchain-Runtime	link an upstream compiler/libc implementation under its own license; do not copy stock bytes	forward byte copy of r2 bytes from r1 to r0 and return original r0
