start	end	size	sha256	structural_class	ownership_category	family_hint	confidence	evidence
0x00306A20	0x00306A7A	90	d267cb918b9866b98bdef397f36e5dcd0b056c7269025ebf9449f059c0e8fa39	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	high	prologue;named_callees:WsfMsgAlloc|WsfMsgSend|lctrFindCisByHandle
0x00306FA8	0x0030705C	180	60e649505db56229942de8ef6b4dbbf15befe3ff9500eeff9392ea517a8face3	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	family_from_identified_neighbors_only;entry_branches:1;incoming_identified_calls:15
0x00307158	0x003071A4	76	704f8211dafa801d7e35e11cb6c50b8dd2b24f2e4399def3c7c93c3c3ab2ddb1	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	prologue;named_callees:WsfHeapAlignWord|lctrTxInitMem
0x003072D0	0x0030732E	94	2778b84b42168494eca692dc6582d9c976a337744502f405b2a6e4858f9cf323	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	prologue;entry_branches:1;incoming_identified_calls:36;named_callees:lctrFindAdvSet
0x00307A18	0x00307A28	16	9afebe62ad885a357d00b6f8dbee881e8a723bb5de0b72ac12c89d0d887d0279	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	family_from_identified_neighbors_only;weak_code_features_only
0x00307C08	0x00307C16	14	12058b627b6943f2186b687ce16539552cfd175fa2908b29cf30655799f14775	code_leaf_accessor	unclassified_insufficient_evidence	unknown	low	ram_global_access:1;blink_return_leaf
0x00307D64	0x00307D74	16	38561fc529c82682baff0731b072f5c8ece675e2dbbac44907e0eae4b41e4aee	code_leaf_accessor	unclassified_insufficient_evidence	unknown	low	ram_global_access:1;blink_return_leaf
0x00307DD8	0x00307DE6	14	52ca0e5ba9c863af57d8c8d57a18a47af3a18c1307ca3564cf76a03fde4ed7f5	code_leaf_accessor	unclassified_insufficient_evidence	unknown	low	ram_global_access:1;blink_return_leaf
0x00307FCC	0x003080F6	298	9766bf1bfa69f3eaefffd1bdecd2a6a663ebaae55964b56cacb15e040d0a2a58	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	high	prologue;named_callees:WsfMsgAlloc|WsfMsgSend|lctrFindAdvSet
0x003096A8	0x003098AC	516	0eabb48bc65cd2c4ff02a576365116d69469ecf63b7cf469c227c4b3aa7b5207	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	high	prologue;entry_branches:1;incoming_identified_calls:2;named_callees:CalcCrc32|SchBleCalcPerAdvDurationUsec|lctrFindAdvSet;residual_calls:6
0x00309AA4	0x00309CB8	532	66a0c7ba7090be0334b25f97845949e5605b32ad191295683a37fc7c2834bbec	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	high	prologue;entry_branches:1;incoming_identified_calls:1;named_callees:lctrFindBisByHandle|lctrFindCigById|lctrFindCisByHandle|lctrGetPowerLimits|lctrIsoSetupDataPath;residual_calls:3
0x0030A37C	0x0030A564	488	8c8b8e9686a229c23eea6cb42c93bd5a29d0d3d62575be73addc3b08811dbe34	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	high	entry_branches:1;named_callees:WsfCsEnter|WsfMsgAlloc|WsfMsgEnq|WsfMsgFree|WsfMsgSend|WsfSetEvent|lctrTxDataPduQueue|lctrTxFragLen;residual_calls:3
0x0030A70C	0x0030A7BA	174	5236e0025505169dabf623fcf4ada254022224961867bdde88c753dec2007016	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	family_from_identified_neighbors_only;weak_code_features_only
0x0030A800	0x0030A92E	302	95415a47128e822483f20f8eb501810f371cab8d6371e4eedd3e2e2671cbf18d	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	family_from_identified_neighbors_only;prologue;residual_calls:2
0x0030AD30	0x0030AD56	38	1bea7d77e00b0f8d415180aa6c60b55a78a49ef3d99220a21f0d7f299134fa8b	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	family_from_identified_neighbors_only;entry_branches:1;incoming_identified_calls:3
0x0030AD80	0x0030AE04	132	35fdae79fd61cdda744ea595e43666d65fa3090b886bbbeae0a0776ef75a6f9a	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	family_from_identified_neighbors_only;weak_code_features_only
0x0030AE24	0x0030AE8E	106	111cabb51a8da4d4b6e93bb3895ea2589a65928d1f4145f5268c1b8468a71bcf	code_fragment	unclassified_insufficient_evidence	unknown	low	incoming_identified_calls:1
0x0030AEB8	0x0030AED4	28	4137918f73c93fc91678cae74d5cc5de0658b91a3bd0874030a33cec5590a34e	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	family_from_identified_neighbors_only;incoming_identified_calls:2
0x0030B0F0	0x0030B118	40	daccfe3de22c58fc8a56ef71dcdafd15b71ca8245c73c29894a9ee737a3e88a8	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	high	entry_branches:1;incoming_identified_calls:1;named_callees:LctrMstBisInit|LctrSlvBisInit|LmgrIsoInit;named_tail_targets:LctrChannelSelection2Init|LctrMstBigTerminateSync
0x0030B1AC	0x0030B1B0	4	524e4a6d405502d302a5d2914a638afd64fd710faf195d94cb9513cff832cf55	code_veneer	unclassified_insufficient_evidence	unknown	low	branch_only_island
0x0030B624	0x0030B642	30	4b2bb6bb4b109fb38e594468e01450446196490a24e45c561c8143b8c57b92c3	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	high	prologue;named_callees:LctrMstConnEncInit|LctrSlvConnEncInit|LmgrConnInit
0x0030B654	0x0030B6CA	118	56362aac136ce16f988300953d775c784d441a920a87a4ec464cb204d0fb4b78	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	prologue;entry_branches:5;incoming_identified_calls:6;named_callees:BbCancelBod|BbStop;named_tail_targets:LctrEnhConnUpdateInit;residual_calls:3
0x0030BC60	0x0030BD16	182	2abad4f5321e2e0960802f7cb994a90e346998faa08f1c1d34c1472ccf9b1b73	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	family_from_identified_neighbors_only;prologue
0x0030C038	0x0030C078	64	a79129bbbc0a0ab9bedd6320c2f46dfbb139115480d8f4b690638a2722711c11	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	high	prologue;entry_branches:1;incoming_identified_calls:1;named_callees:BbBleAuxAdvSlaveInit|BbBleAuxScanMasterInit|BbBleBisMasterInit|BbBleBisSlaveInit|BbBleInit|BbBlePerScanMasterInit|BbBleScanMasterInit|BbBleTestInit;named_tail_targets:LctrInitBisMem;residual_calls:3
0x0030C094	0x0030C098	4	ae3c1ff0998a3dd9cdc6edaccc1ca37e82a806821e9672e970522c0739ac0b51	code_veneer	unclassified_insufficient_evidence	unknown	low	branch_only_island
0x0030C0C8	0x0030C1E8	288	ab1a6a3533ae04e75afb2ee433bb9615047b1709dda2edeb075df7ee137adc3a	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	incoming_identified_calls:4;named_callees:LhciConnInit|LhciHandlerInit|LhciIsoInit|LhciPastInit|LhciPrivAdvInit|LlAdvSlaveInit|LlExtAdvSlaveInit|LlExtInitMasterInit;named_tail_targets:LctrInitAdvSetMem|LctrInitExtScanMem|LctrInitIsoMem|LctrInitPawrCentralMem|LctrInitPawrPeripheralMem|LctrMstInitInit;residual_calls:31
0x0030C228	0x0030C2BA	146	3d156d34ec0a71749184874e8e7b4e1d292c4f40a54f276c584423da04b2d3c8	code_function	unclassified_insufficient_evidence	unknown	low	prologue;entry_branches:1;incoming_identified_calls:1;residual_calls:8
0x0030C478	0x0030C488	16	ed28bde4b289e4184eaeab0737380d0a03a52cc9fef7c38206977056f2ebaefe	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	entry_branches:21;incoming_identified_calls:21;named_tail_targets:LctrPastInit|LctrPawrCentralInit|LctrPawrPeripheralInit|PrandNum
0x0030C5C0	0x0030C5FE	62	5d72e3d0d8299e0d90eeb3c4a02840f8f00d7f644febf8907af4a1354a086e51	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	prologue;entry_branches:1;incoming_identified_calls:2;named_callees:LmgrIsExtCommandAllowed;residual_calls:2
0x0030CBA0	0x0030CCF6	342	ea4a4276275378a7832a015334f655a542699b11a3849fb26eeb5648b3ba8bfd	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	high	prologue;entry_branches:4;incoming_identified_calls:4;named_callees:BbStart|LctrScInit|LmgrScInit|RF_RfChannel2BleChannel|SchInsertNextAvailable;residual_calls:6
0x0030CD6C	0x0030CD92	38	b9d096bd8e5dbdbb925fbae43705bbd04fe70276a69f7681557c29fdf50bc596	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	entry_branches:2;incoming_identified_calls:4;named_tail_targets:LctrTxIso|WsfMsgFree
0x0030D580	0x0030D5AC	44	3cf98e0fda9f93e1fa810b47c651a1049faf32a2ce1a6a9c0b154514e84ec768	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	prologue;entry_branches:1;incoming_identified_calls:2;named_callees:LctrSetExtAdvData|LmgrIsExtCommandAllowed;named_tail_targets:LctrSetExtAdvDataFragLen
0x0030E0D4	0x0030E350	636	71880b1b365f326228f7385b2850d730b5d2236c2b8a66e33e2d927d71fadc19	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	high	entry_branches:1;incoming_identified_calls:7;named_callees:BbBleTestInit|BbStart|PalRadioGetSupTxPower|RF_RfChannel2BleChannel|SchInsertNextAvailable|WsfCsEnter|buildTxPkt|llCalcPacketInterval;named_tail_targets:LctrSlvBisTerminateBig;residual_calls:10
0x0030E47C	0x0030E4DA	94	82ad169186faca64971224ef43b2cc6ae1693be6b1be0a9914bd0aaaca22b76b	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	family_from_identified_neighbors_only;entry_branches:1;incoming_identified_calls:42
0x0030EA08	0x0030EB0A	258	e7b37ea140c3ed01ba07ffb164e1d06a46189d8c2682d44e261a7f837f96d722	code_fragment	first_party_application_retained	application_module_myapp	high	authenticated_assertion_site:MyApp@0x0030EACE#ID181;named_callees:QF_newX_|Q_onAssert;rom_calls:1
0x0030EB8C	0x0030EC9A	270	ff00d26e1173283a929d94b70c2b9e179b6909a7e4cb4d48d17b973188171a4f	code_function	first_party_application_retained	application_hook	high	authenticated_hook_pointer_table_entry;named_callees:BSP_Init|PML_RegisterWakeUpAction|QF_resume|QF_run
0x0030ECF8	0x0030EF12	538	8da28f1db4ff4d13912c78b8f6f4ddb7f36a9f93018233187d69cca3f3934d9f	code_function	first_party_application_retained	application_hook	high	authenticated_hook_pointer_table_entry;prologue;named_callees:APP_InitCopy|BOOT_BootUp|NVMEntry_CopyJLITable|NVM_AfterOperation|NVM_BeforeOperation|QF_bzero|QF_init|QF_poolInit
0x0030F014	0x0030F1CC	440	207cf45c8d4981204d8a774044e732faa6a9bc5d48626701f0afcc41c1e8ce54	code_function	proprietary_modern_controller_source_unavailable	em_vendor_system	high	prologue;named_callees:NVM_AfterOperation|NVM_BeforeOperation;rom_calls:7
0x0030F368	0x0030F372	10	830b55163661d41ce8bb3f7f78cb814c8f2f94d0a8c52820ed4a17b9969d0475	code_leaf_accessor	unclassified_insufficient_evidence	unknown	low	ram_global_access:1;blink_return_leaf
0x0030F6C8	0x0030F6EA	34	7c17b2fe5b733ac28d4b87daa1d2cdcb8bf251fed0185a0c742080f6a5578f1b	code_function	proprietary_modern_controller_source_unavailable	em_vendor_system	high	prologue;named_callees:PML_UpdateDCDC|PML_UpdateScDbMode|PML_VoltMonitorReStoreConfig;residual_calls:1
0x0030F710	0x0030F72E	30	b6fc573aff75dfb4d19d1c54c2556ca118c825fa0a2cf7f786056b908a376203	code_fragment	unclassified_insufficient_evidence	unknown	low	weak_code_features_only
0x0030F934	0x0030F942	14	982562cb9c980eeea85e56372a593413a0c704e12f831bbb03c65b48654b5632	code_function	proprietary_modern_controller_source_unavailable	em_vendor_system	medium	family_from_identified_neighbors_only;prologue;residual_calls:2
0x0030FAB0	0x0030FABE	14	f688272ec1a1575d098dacf813a923b6fc0361005c4032e093aa269b1e549072	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	incoming_identified_calls:29;named_tail_targets:PalRadioStop
0x0030FADC	0x0030FB3A	94	bce7161053d4ea21027d0ed016e7edcb9b24c139fac9cf83c45b0a578b48913d	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	entry_branches:3;incoming_identified_calls:18;named_callees:PalRadioRxStart;named_tail_targets:PalRadioInit;residual_calls:5
0x0030FC10	0x0030FC28	24	59b15ccb8249ba94c883fecabd4977121d23deb04c604cfbbb85530ca01d9d8f	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	family_from_identified_neighbors_only;entry_branches:25;incoming_identified_calls:24
0x0030FD28	0x0030FD3A	18	c1eefd9733bb4b94691d442ff8158d73b4b142337015bb2f846b0d7cfa9b3bec	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	entry_branches:1;incoming_identified_calls:29;named_tail_targets:PalFrcHFTimerGetCurrentTime
0x0030FD6C	0x0030FF6E	514	3e23afd4aea12a57956ffac87acdc947aa2292e72a7b62ad140dfbbd8cb317c5	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	high	entry_branches:1;incoming_identified_calls:7;named_callees:palCfgLoadBdAddress|palCfgLoadDeviceUuid|palShiftLeft128|palXor128;rom_calls:5;residual_calls:8
0x00310038	0x003100C6	142	b1408e0d3da1f1749bba7f21acccb690cbea5735cb301f48d32dd70fb5abf175	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	prologue;entry_branches:10;incoming_identified_calls:11;named_callees:PrandInit|PrandSetSeed;rom_calls:2;residual_calls:1
0x003100EC	0x003100F0	4	f64115f823d5675ed59321d1edd7c76faddd893e7ed7914dec00cb156a6a8a04	code_veneer	unclassified_insufficient_evidence	unknown	low	branch_only_island
0x00310128	0x003101BE	150	25189ad802450415a24769e9ef1e239e464bd1854e76abb5efc1e1787de52e36	code_function	proprietary_modern_controller_source_unavailable	em_vendor_system	high	prologue;entry_branches:1;incoming_identified_calls:2;named_callees:ProtTimer_SetConfiguration|ProtTimer_SetDivider;rom_calls:1;residual_calls:4
0x003101E4	0x0031026A	134	d89404e6850ab3962736822d6627c161ff050292e1482072143f51f00a5a244a	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	entry_branches:1;incoming_identified_calls:24;named_callees:RF_GetOutputPower
0x00310340	0x0031041A	218	2d3b35f4d52de3666f75de89b65ebf83b8a669cd65a39b523eebc4a3c89cd9e1	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	high	entry_branches:1;incoming_identified_calls:5;named_callees:RF_ReceiveData|RF_SetEncryptionPacketCounterBle|RF_SetEncryptionParametersBle|RF_SetMaximumPacketLength|RF_SetRxTimeout|RF_StartRxHw|palFrcSetBbTimerStartTrigger;residual_calls:1
0x00310480	0x00310496	22	e0ceb313ffbdbb673d630f31ce60559a3c0c75a7a6a8e864a7f0a1094fa02b1c	code_fragment	unclassified_insufficient_evidence	unknown	low	incoming_identified_calls:1
0x003104B0	0x0031056E	190	8365d37b8b288088b2c3a73254180becd9a0b0e85ee1e60f5df9d9e34dbd2c8c	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	family_from_identified_neighbors_only;entry_branches:1;incoming_identified_calls:7
0x00310600	0x00310640	64	dcec53126af227f30b206a6f59359b868deeef7bee14de58dd43472b796a7e6d	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	prologue;entry_branches:2;incoming_identified_calls:1;named_callees:RF_StartTxHw|palFrcSetBbTimerStartTrigger
0x00310678	0x003106E4	108	fa8d7f7a296c6be5afe57ff3443f6fd105e62feabf8095acea869240fb3c62a0	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	family_from_identified_neighbors_only;entry_branches:3;incoming_identified_calls:9;residual_calls:2
0x00310718	0x00310764	76	e350ce767c8fd0992412258114f1503768fc58cfca2935bd7c46322b27bb9ed4	code_fragment	proprietary_modern_controller_source_unavailable	em_vendor_system	medium	entry_branches:1;incoming_identified_calls:3;named_callees:ProtTimer_RegisterEventTimeCallback;residual_calls:1
0x003108F4	0x003108FE	10	ed9b2957103a4064457232db686ebdb960b58dafa5938a1a5e9dcbc1be38458f	code_leaf_accessor	unclassified_insufficient_evidence	unknown	low	ram_global_access:1;blink_return_leaf
0x00310B54	0x00310B82	46	e1d6c1863472435f9a0b85bb5819436ae125e8c8bbfd7c82523d3232bcadf8c3	code_fragment	proprietary_modern_controller_source_unavailable	em_vendor_system	medium	family_from_identified_neighbors_only;entry_branches:6;incoming_identified_calls:4
0x00310BA4	0x00310C08	100	abc43134012e11544422f6f39cd54a4b579dc5bb38eeb4d0d04b0c9206ba366c	code_fragment	proprietary_modern_controller_source_unavailable	em_vendor_system	medium	family_from_identified_neighbors_only;entry_branches:3;incoming_identified_calls:6
0x00311150	0x00311154	4	7766b559c480d3129860a74a673038b9db4a622de9bb71c7957ee5e1837047de	hook_stub	first_party_application_retained	qpc_vendor_hook	high	authenticated_hook_stub:QF_onResumeInternalHook;branch_target:0x00310798
0x003111A4	0x003111A8	4	5c2ae05832a4449cd2bb20f41b843eb22dae95f3f95d0d30b0236e77ebcf5f1e	hook_stub	first_party_application_retained	qpc_vendor_hook	high	authenticated_hook_stub:QF_onStartupInternalHook;branch_target:0x0030482C
0x00311620	0x00311634	20	fbb0316db14f6fc107f338a4cbf5852049003c2def1230d9f5e117e7a0a2abe4	code_function	first_party_application_retained	application_hook	high	authenticated_hook_pointer_table_entry;prologue;named_callees:wsfOsRunIdleTasks
0x00311848	0x00311876	46	5b928d239f66a82ee8b6ef011068795f4881f0c4e4f23a9fd1afb2f5aedfffb9	code_fragment	proprietary_modern_controller_source_unavailable	em_vendor_system	medium	family_from_identified_neighbors_only;incoming_identified_calls:1
0x0031199C	0x003119AE	18	8cf5bb6ac3faac21f57dcfb042bd9719133860f421e92a48146bd17a406edf79	code_fragment	proprietary_modern_controller_source_unavailable	em_vendor_system	medium	entry_branches:2;incoming_identified_calls:2;named_tail_targets:VoltMon_DoMeasurement
0x003119F0	0x003119FE	14	e555a9d7d0e1e44e9d509735c239b206697e5e1974faae3aa6e7b523b7c9aa1d	code_function	proprietary_modern_controller_source_unavailable	em_vendor_system	high	prologue;entry_branches:2;incoming_identified_calls:2;named_callees:PML_GetMaximumRfOutputPower|PML_PmlRfPower2Dbm
0x00311C14	0x00311CE6	210	52fe0f9cfb54ff477b07134432da3e51a4d28971de6a1aa54ae2721961bab758	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	prologue;entry_branches:1;incoming_identified_calls:1;named_callees:RF_Stop|RF_UpdateLdoAntConfig
0x00311F84	0x00311F8E	10	1bd31ce4179adf1311d0bbed749a1ebe349583d5c3f4b741a1f92e4352082a1d	code_leaf_accessor	unclassified_insufficient_evidence	unknown	low	ram_global_access:1;blink_return_leaf
0x003120A0	0x0031228E	494	afb7d7854f7e333da3f7e02c06102d79e5ee3153904c1f23891f6209c67682e9	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	high	prologue;entry_branches:1;incoming_identified_calls:1;named_callees:RF_ApplyOutputPower|RF_BleCteSetRxTiming|RF_BleCteSetTxTiming|RF_SetMacTiming|RF_WriteReg
0x003122F0	0x003122FA	10	69afa780d3d2c7bc98e282585631a693838f8506b2ee6a71098de198e7dbc90c	code_leaf_accessor	unclassified_insufficient_evidence	unknown	low	ram_global_access:1;blink_return_leaf
0x003125A4	0x003128E2	830	50a494c587beab8240b3d4b284f0c6d3891a3c2a0d5ddc1b91a6f98c014e4d02	code_function	proprietary_modern_controller_source_unavailable	em_vendor_system	high	prologue;incoming_identified_calls:1;named_callees:BOOT_IsAllActionHandled|PML_ConfigWakeByStInSysClkWithBootTimeComp|PML_GoToSleep|PML_IsCPUSleepAllowed|PML_IsVendorSleepAutomatic|PML_RegisterWakeUpAction|ProtTimer_GetSystemTime|ProtTimer_RestartAfterSleep;rom_calls:4;residual_calls:3
0x00312CA0	0x00312D7E	222	197c5ef050a21d190fa42224941acf91732e98930e1c7621ad4342d41b0b413a	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	high	prologue;named_callees:BbExecuteBod|BbGetTargetTimeDelta|BbSetBodTerminateFlag|PalFrcHFTimerClear|schDelayBodLoad|schRemoveHead|schSetBodAbortEvent|schSetBodCompleteEvent;residual_calls:5
0x0031369C	0x003136AA	14	3d5e74ca71d8c14c297c6fc5f8a0d2f1531fd4df2290278c0dc7bfc2bc47e1b3	code_veneer	unclassified_insufficient_evidence	unknown	low	metaware_memory_runtime_tail_stub
