# SPDX-License-Identifier: MIT
path	components	overlay_license	source_spdx	upstream_record	desired_license	disposition	source_sha256_before
components/apollo_main/core_overlay/ble_connection_coordinator.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	3c8f09cc627438c4188cb22ca0cfcd21d858f2c4096039a162d413e113ed4b5f
components/apollo_main/core_overlay/ble_connection_dispatch.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	ce729405fcf3aefd89bba6beaeaecd31f341797ea8cc10c6b6c71940514c8351
components/apollo_main/core_overlay/ble_connection_event.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	d429432594368c8acb70ec57b8ee11ccb8f6725fb95ffdac47b4c19acc9afb08
components/apollo_main/core_overlay/ble_connection_globals.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	0ec517358faa999914b2df9f5c8ffec39d4b83a7c0b44106bc010e01bbf0c251
components/apollo_main/core_overlay/ble_connection_mode.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	5c622e4dc3093b28fef5795b4d4e1c5d548b0cb17f84d178289e801751622ca9
components/apollo_main/core_overlay/ble_connection_remote_parameters.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	bd3bd82996c583d9851f3f231a959b84487615cbf6053352465d25c6a4017f94
components/apollo_main/core_overlay/ble_connection_schedule.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	28e2405f3bb1031350a0f49ff4aa2eeaf61dbe043163fab4074d2bad54926ae8
components/apollo_main/core_overlay/ble_msgtx_dispatch.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	92bf8937b3827156f400babe163305527bacdf4d9443de74de195d8f7f74ff1f
components/apollo_main/core_overlay/ble_msgtx_enqueue.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	26253fe7606ef474db04e63a9b3b7828e88a61f31c8cc2ee8af83cded2482b83
components/apollo_main/core_overlay/ble_msgtx_pb_direct.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	cbef6df559597fcff5db410586ad6afe125672d6c4ca3a7c763677e6161ac28f
components/apollo_main/core_overlay/ble_msgtx_runtime.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	23b2e9e2bfa6c4a703669d5503accea822f1bbc8951bc06767ab75888ed18a7a
components/apollo_main/core_overlay/ble_msgtx_thread.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	dcf8fcd3fc1918e1effadaa9bb249e6298d7e0b911d2ce3b6692308027d7b353
components/apollo_main/core_overlay/ble_msgtx_thread_lifecycle.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	edfbbee711e2b93c07d55d1658826a937bc6196e802111010396acec0d785864
components/apollo_main/core_overlay/ble_ring_profile.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	a114dbe5e50bb31d63ffcde32af7dfdea26c827c9e88d1e03d3a5a21ff66543f
components/apollo_main/core_overlay/ble_transport_profiles.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	f3d21213b89cd82aa7798dc0ea8fb89ebc338842b50b8a97091ba980fada55be
components/apollo_main/core_overlay/boot_identity.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	c61ddd0a30dfac196f7147ffb054c29ebbb66637d9de9e57d5466c4979886f7c
components/apollo_main/core_overlay/box_uart_mgr.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	d3515674bd76339aa697f66f4813ba21d04dda99ae9eae01546e6ae30680a548
components/apollo_main/core_overlay/callback_facades.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	f490db10bf1e9bf7b476f486f4c9df7732d024efa95bcab080064e05c82e707e
components/apollo_main/core_overlay/callback_manager.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	a38f47ee52c54c6117716553a039917b15c8f8c7f2674d9d5d751d23cb4040f9
components/apollo_main/core_overlay/candidates/iar_dlib_scanset_matcher.S	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	2645fa16052452768fd90da9357d6073f45443ce1768a84f16fa8c0f7c8a92f7
components/apollo_main/core_overlay/candidates/iar_runtime_float_exponent.S	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	3189bb3a834e8a95caff6a004ee0ab10f7541f5c2af17f715606526ca5aa51a9
components/apollo_main/core_overlay/candidates/iar_runtime_math_errno.S	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	b5288643766f14f62a2452f445f58e0e3ec8e09c229f4f9c572b8dd1c5c0f59c
components/apollo_main/core_overlay/candidates/iar_runtime_memory.S	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	3afa1466d5bd4d57a81d6b31debbb077eee1cecab029eebfbeff690a7658841d
components/apollo_main/core_overlay/cb_ring_battery.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	dfade488fa37a47b8c242916ea7f6a89334339c3ebe181c26d6cb3a9b359f294
components/apollo_main/core_overlay/charger_common.c	apollo_main	GPL-3.0-only	missing	absent	MIT	normalize_project_owned_source_and_overlay_pin	1c3b2d7fa0da4e3e4aed565c1e8585638c5dcb0e3ba7a36e0f9335956d7c12ab
components/apollo_main/core_overlay/chg_bq25180.c	apollo_main	GPL-3.0-only	missing	absent	MIT	normalize_project_owned_source_and_overlay_pin	0291aa058fd90a957b97fd0066e2d49bf16676b761662a32bdb5d717be74067b
components/apollo_main/core_overlay/chg_bq27427.c	apollo_main	GPL-3.0-only	missing	absent	MIT	normalize_project_owned_source_and_overlay_pin	c435642a5f377b8265d9311c1e73f69a5b9ffc1f47a1e0d0e68e47179bbd34ee
components/apollo_main/core_overlay/core_helpers.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	1c5acb1e8bbe97934258f4def903fb23a891a345ceead25f7580cd2f958fd589
components/apollo_main/core_overlay/display_lifecycle.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	5bbd9f251128ac8843e1a1cf768bfbb5b24a1ceb918146a3162792b300d6a150
components/apollo_main/core_overlay/display_manager_thread.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	45d15ef9d2c79b9e054b2de8616ff12aa6c2b020744ba87dbfbf112001000a1b
components/apollo_main/core_overlay/display_queue_senders.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	e691c15144fe53cb2c90085963de661d9e787741e9084eafb6af2e6a05540402
components/apollo_main/core_overlay/display_runtime.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	02ef39a7409146fdd5a82e2c8351d88b50ab05cec63a20b5388009dcd8b1d1a4
components/apollo_main/core_overlay/display_thread_init.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	2745d39c43fbe428c74fa1e3967c19720e9667d3952dda994d7a31fe8ccb2890
components/apollo_main/core_overlay/drv_cy8c4046fni.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	93ed6d61682274079362f39afb1f9f868e5d775fae7c1b95c19ce20c1e62254e
components/apollo_main/core_overlay/drv_gx8002b.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	51af012da5f5e3d1b39852687215df8fafe100a9c0a9b9cfebc99b72ac09325a
components/apollo_main/core_overlay/efs_crc32c_msb.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	b88d5ca2f7825bb8d5dc180840b4c81af96033b66d912f0cf89ab33a2111c4c6
components/apollo_main/core_overlay/efs_service.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	3d55fce653ac9697366af64aec4167a0455e613bf00a3ab37d03d2bc7d3eee98
components/apollo_main/core_overlay/efs_transport.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	6facd03cb8f48f68b61d14e100106e505c1dd869f715752c1ea2742375485514
components/apollo_main/core_overlay/evenhub_common_data.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	430a1cf6792a820c48990b465148819e0864cff75c181516c87a63022689da14
components/apollo_main/core_overlay/evenhub_container.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	46b185dace110893759088860414b3a326ba62f55abcaed01f9b44d1528bfdbe
components/apollo_main/core_overlay/evenhub_decompression.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	a8b940dbfe3b0622f4b006c654a79967792c87f16783b9dfb214295685b82de9
components/apollo_main/core_overlay/evenhub_lifecycle.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	1e57492d2c89f7726b5f909e0ba6eca7fce24ed1a11feea703e4cf5fd84fa703
components/apollo_main/core_overlay/evenhub_page_event.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	101232f360d09df0e536d38150849e5c237f5c7e23d71d48ecf9980be3d28330
components/apollo_main/core_overlay/evenhub_ui_event.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	835ea38f855ede3fad40f2568144ff9111f19d43898947afc9a0aefba8507baf
components/apollo_main/core_overlay/event_loop.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	e1ac9d2f18f411d712b771a3b698c89de9a340843bc26294e629e14b6e915ccc
components/apollo_main/core_overlay/file_runtime.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	3ecaabca52356d446b5fbc3415436640932003af4294f32286015374b4d485b5
components/apollo_main/core_overlay/file_system.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	ee37347a4a99813097512a73940f7a85e7fb10740818a9dd3450a484f0da4e21
components/apollo_main/core_overlay/format_append.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	f2f4382cd068e46e83b9483b28c6497a500eb0e493d9241e95091dedc73c873c
components/apollo_main/core_overlay/format_buffer_writer.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	e75fa56eccd94009eeaa9336d39e45835c448699d7290533c9ca9695ef6f4069
components/apollo_main/core_overlay/format_complex.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	b2e9ef9471b43f436cfb863624673305fec77f58e652a7b4208cc2dd372fa00a
components/apollo_main/core_overlay/format_default.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	e3338516fe31f21b41799d01271941ec015146e30b9128f4cbab9b8bf422d9c8
components/apollo_main/core_overlay/format_extension.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	ccca912d74518e5d3d92304163a87d18e0dd7f7d33d1b12dd9913ca00f288503
components/apollo_main/core_overlay/format_field.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	50e07d43e8ad6c7a6031ec7b9279acdefdd4de9c6e0888dc6676591e4ac4b358
components/apollo_main/core_overlay/format_fixed.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	93a158bb5146f80484df6fcc0b45dbe6a4bbc5e26c5bf3afacdd0ff4c6f14990
components/apollo_main/core_overlay/format_indirect.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	c66c94f6a0c77075342e532f6c8a01953d24b65fbedd4848b93f8ff23ec300ee
components/apollo_main/core_overlay/format_message.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	a3c2139fceeede76128cf15bc7470c35a8e9f9105ed4d4b78025bfb9f7315513
components/apollo_main/core_overlay/format_regular.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	ca53b6155041ece9cbaf14259d52061d5c82542ff5fc128cac6055bc18651b3b
components/apollo_main/core_overlay/format_repeated.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	ca9f445a34b9dc03366e06d7389897befa0064c66767fe5fef08b5a9db2673c9
components/apollo_main/core_overlay/format_scalar.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	c03f0ee6c6eb14d1afc88ef48f5cdac3ad1afe3f12bf6f34964bb552de9e07d5
components/apollo_main/core_overlay/format_span.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	f655129366096b96650985a6b71c07f1b0ccfaa3288beb55bc0466d0c9e1d99f
components/apollo_main/core_overlay/format_value.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	5e7c2c528419703262bcf369a449610d1b9fae7e972f2b0b087d0c29314532aa
components/apollo_main/core_overlay/format_varint.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	af52eedea76b5fd5067929167d5f746860a95ca10d1eac472bef0f0bdd05c9a1
components/apollo_main/core_overlay/freertos_cli_filesystem.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	e4817fff043dbefc84075153e31da9665af909cf5004c179602ab7ac98ec5313
components/apollo_main/core_overlay/health.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	537f9332b6523cab520849db6406d1ba732b6d4ca551bdc908a005a7f7791196
components/apollo_main/core_overlay/health_data_manager.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	42df69101ab924e6b9e6f2710d618ab9a5e57c8154d3b135eeffdfadf195c5fd
components/apollo_main/core_overlay/imu_icm45608.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	31139f620035fda77f01fa4205fb01e55dd1ea129c6f9efbab5629eb29003503
components/apollo_main/core_overlay/kvdb_als_scale.c	apollo_main	GPL-3.0-only	missing	absent	MIT	normalize_project_owned_source_and_overlay_pin	626119a5b2298aa233d22294cfd6121b6c5dad45a2bacacb84cb0124899649d4
components/apollo_main/core_overlay/kvdb_module_configure.c	apollo_main	GPL-3.0-only	missing	absent	MIT	normalize_project_owned_source_and_overlay_pin	9eb84180d0b211f168b64d8aaa5acc762e815236c17b7955ce432b94447ab1db
components/apollo_main/core_overlay/kvdb_onboarding_config.c	apollo_main	GPL-3.0-only	missing	absent	MIT	normalize_project_owned_source_and_overlay_pin	f8c3154fe326878b2f89908555238ddc190a6cecc6c874aeed342624b24d561e
components/apollo_main/core_overlay/kvdb_ring.c	apollo_main	GPL-3.0-only	missing	absent	MIT	normalize_project_owned_source_and_overlay_pin	a18825d4061845a39b2cb5926a3b8100f9aba9aaf927e74f0c4d08a7db288a13
components/apollo_main/core_overlay/kvdb_setting.c	apollo_main	GPL-3.0-only	missing	absent	MIT	normalize_project_owned_source_and_overlay_pin	8205380cddd721ee7e74e08c1ea50618f07cd56158c34b3727bfe4364d240e58
components/apollo_main/core_overlay/kvdb_temperature_unit.c	apollo_main	GPL-3.0-only	missing	absent	MIT	normalize_project_owned_source_and_overlay_pin	288f83e95b9526816845f197d0ca7c355a259a03348c0e2140346cb30a01e808
components/apollo_main/core_overlay/kvdb_terminal_mode.c	apollo_main	GPL-3.0-only	missing	absent	MIT	normalize_project_owned_source_and_overlay_pin	33caff3263530ce7e7db7c59caa9b470f019fdccd1fdd720e2b495f2a1e97bfb
components/apollo_main/core_overlay/kvdb_time.c	apollo_main	GPL-3.0-only	missing	absent	MIT	normalize_project_owned_source_and_overlay_pin	1643ea64328e021ae2176b55513df76d79ab7c6e0f7eabaecf982b42a211d13c
components/apollo_main/core_overlay/kvdb_time_format.c	apollo_main	GPL-3.0-only	missing	absent	MIT	normalize_project_owned_source_and_overlay_pin	97c415e62c39745311e2110d38aeb7dab854f78f8dd12d5fdc391de8d37327c1
components/apollo_main/core_overlay/kvdb_universal_setting.c	apollo_main	GPL-3.0-only	missing	absent	MIT	normalize_project_owned_source_and_overlay_pin	1399f2936a27bb0a3643c139b62b8fb77a4aca70d0d6802a7988e14b87a0f1a0
components/apollo_main/core_overlay/lens_side_policy.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	29a586666555fee638713814b53217a4946e7530467afe5b0d1147dea2c3c14e
components/apollo_main/core_overlay/lens_status_control.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	e467ddd8d7b4b845e083250c6e28fe12f0fabab88113d9b998356b3c86e2c4b0
components/apollo_main/core_overlay/log_divide.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	a37d352b1f34d090f22fa7a782984376f0a70d44555c65a69c550f2ef825f3ed
components/apollo_main/core_overlay/log_format_core.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	f9d1a3c94c0f97368ce712dcf136c7b50e94513a19b2c9051c39b88c0ce5a2df
components/apollo_main/core_overlay/log_format_dispatch.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	684b887bec035a20e039c88715323dc4d251a195ff0aeef47239a7046f42830b
components/apollo_main/core_overlay/log_format_float.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	59d6067b2196f8a7c1e9d64dee537a62bc8d87c4211b1cd70261daee08f71bdd
components/apollo_main/core_overlay/log_format_helpers.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	522cd4fc8c3122bd46c9e3e68f41963a95f3887500e6cea4216669b43407c1fb
components/apollo_main/core_overlay/lv_buffer_sync.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	17e928a90438ce1cb2ad054d31b3e04a40b895ba34f9eb46ea91284719335b50
components/apollo_main/core_overlay/lv_display_lock.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	b9aee4af20e82e73b809cdb44f871aaa7aa44858726a785201ca1228e4e76743
components/apollo_main/core_overlay/lv_display_setup.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	ebc991365d85978cb349c5103a1893ecfdbc29134b5d4616a1dc8631d18bdcfd
components/apollo_main/core_overlay/lv_display_sync.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	e1f0a5a6b8fa832411d65aa4c749045073a1ce3c504617b0eaab7f714093a187
components/apollo_main/core_overlay/lv_global.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	089103e5f53b243e6d3a88369a5f2275580dbcbd5ca83928df79847bd4a05395
components/apollo_main/core_overlay/lv_init.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	286acb662fc2ec3c328fb5b51dddb34ca8b9f7a995eb91f6b1200a4c275ed6fc
components/apollo_main/core_overlay/lv_memory.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	07008ebbf086ed2fc4a37a5909f912c32c878c132f2c2df2633a7b744d234245
components/apollo_main/core_overlay/lv_runtime.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	105979df26721f6208b5be24784fc1c09d962b3d0abacceaae27750a90cade3b
components/apollo_main/core_overlay/lv_tick.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	ba24efb188ba1ca1ac3bfe306bab6c37dbb13fba3b589a877b532922569fad2b
components/apollo_main/core_overlay/lvgl_font_manager.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	f11f98dd4c2eda815512e3e9b2e23ab7401b7cfdc439f272e69d59b684bbb080
components/apollo_main/core_overlay/memory_compare.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	d93f0b58428e478a95b9f2cabed150dcc6b66ea39479b88220823ec99a4f7c8c
components/apollo_main/core_overlay/monotonic_time.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	0135fccd34e034e1ee4c0dffacac51ea12531b8c8bc6f6431a4d8f979e8a8baf
components/apollo_main/core_overlay/mram_activate_record.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	087ed219233f2dcf77ae105e047c4ecc135a0dfa035e064f3d1c293339b04112
components/apollo_main/core_overlay/mram_allocate_record.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	68ce49559b76a86ba3218a0146044af897ce4dc3eed4ce51d0eda29dfcf236dd
components/apollo_main/core_overlay/mram_app_db_update.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	a0142e99b64d48e5f441c3937b42a46c8a5e2e6fa99d28ebd61be9f0b140d221
components/apollo_main/core_overlay/mram_clear_record_by_connection.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	413a5788e04dc584f859f36b408053eaafed505173843efdac59193da65dcd86
components/apollo_main/core_overlay/mram_clear_record_by_mac.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	b10b4c971e336bc4bee55eb8fa8dec4cfb32da3191b3a5b59faf6f5bcd4aee4f
components/apollo_main/core_overlay/mram_deactivate_if_unconfirmed.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	f2380679535b946e50a6d0006563d777e9240417fcb5c28ac451c7e52db3bda4
components/apollo_main/core_overlay/mram_deactivate_record.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	5c9f775239b9f40fed9a356dc40a8cee4b7e4eac07cf421038480f7f5e90f64e
components/apollo_main/core_overlay/mram_delete_all_records.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	61bbcf35c0eb4114f14ea0b05f5c9143dd1e68e770c8e58276a0b94e887c1676
components/apollo_main/core_overlay/mram_diagnostic_dump.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	f5f10e278cf036beab3c5dcde412fad33d984db8705d74dd2d82c40f9f85156f
components/apollo_main/core_overlay/mram_dump_all_records.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	7f7a5fa4fc680972e23332c4dd7aa95de60ab6c24d1bf1e63c452ae5b2fadb60
components/apollo_main/core_overlay/mram_find_by_address.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	0933cf28a25807208894697dd0ba04aeff634de6cb08d2d6f16ceb61502c58a9
