# label	source_path	git_blob	sha256	size
emb_central_advext	libs/third_party/emb/lib_emb_central_advext.a	8310f0172ab547bca046d41722776e4d7c1fb128	03beaeca7f3bdd292a1c97662baf1365d87bde81a5b8b8e74f8112236ebd72e6	19281484
emb_controller_iso	libs/third_party/emb/lib_emb_controller_iso.a	b9433012b264da2210f602395b144a6d21795f01	87af23b9b6a582137a02759c4af2344f7160a8b88197dd540ef8268aa55f6cfa	12858814
emb_cte_transmitter	libs/third_party/emb/lib_emb_cte_transmitter.a	41229fb23063e46ef56bc2947495ba5c78c4eb6d	9c08f4d8dcc50edb3dcac527d2a68ed2583aa9d7dde2c21970df0006964ea8e5	21293660
emb_pawr_advertiser	libs/third_party/emb/lib_emb_pawr_advertiser.a	d0f3b5d37fcc7e5e922afc55d6f6e2e3405cc459	735463e842e64d60e66f63dad1fbfc6fbd210449223d7cc977e02a994643cc5b	20910378
emb_pawr_synchronizer	libs/third_party/emb/lib_emb_pawr_synchronizer.a	d1693d357ee2ecd82ad6c65baec2a5b59846c2b7	cc2cd3f487286f0633e5a5312aa06ebc4e579fc91fa46e28e00fa08f5502bcac	20911538
emb_peripheral_advext	libs/third_party/emb/lib_emb_peripheral_advext.a	fa2fb69dd6648975ebc3fcf51021762a20784c15	e67f849a9d3284fc67daa7c1f5feb01cadb1ddb6b6d51a91b98fc8306d428a0c	19281256
emb_peripheral_legacy	libs/third_party/emb/lib_emb_peripheral_legacy.a	75c86e51ebb8feb797a1bab9e37a1175f027a49f	ee8b2cadf4fda03d14b98ccdfc7657ab2eaaf7354676231d29d49b8ba20bc134	13462828
printf	libs/third_party/printf/lib_printf.a	d976e00a8067d80b79e5150a642d116bd58a7e33	010e4fc33fff317e41babebd027c2947ee107ff5c63a8bfa3ce0ccabad0568ab	74862
uart	libs/uart/lib_uart.a	a14905f9ad266ad992a3c08b0dc65498a51001c1	862489aa4b7175bc4bafd5202a912a09a5f1cb2535773c792fac182ecbd633e0	132798
uart_dma	libs/uart/lib_uart_dma.a	5e73b2bbba5e47d551d8610f016a9a275365e76d	79c729c43f524ede45c4d9a044330f139f6d6b797324084170e23251698a569b	133996
