# SPDX-License-Identifier: MIT
entry	name	status	provider_family	provider_comparison_commit	provider_version_claim	license	concrete_source	clean_room_reimplementation_required	instruction_bytes	instruction_sha256	component	internal_callers	internal_callees	external_dependencies	evidence
0x2F62	touch_sub_2f62	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	14	87eaba821b6d5bbb9a884c7c0d30ab2786e8f54caf32d138be77a9ee5c32516c	0	0x2F94,0x3084			closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x2F70	touch_sub_2f70	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	34	d5e81db2f8506baafef83ab8a06000de82e137d4352ac399c0cecc86c742ca9b	0	0x2F94,0x3030		0x73C0	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x2F94	touch_sub_2f94	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	150	81e4f844929b4a9d7bbf85adc93b0e350560cbe851dfdf7caef67bb2b43a7a39	0	0x3084	0x2EF0,0x2F20,0x2F62,0x2F70		closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x3030	touch_sub_3030	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	34	bdaf730080ef382a414ab9db2fe9e190145548b1850038b914479259e8be8173	0	0x3052	0x2F70		closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x3052	touch_sub_3052	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	50	b752aea3fa37fad8cde35b0f858146915326a8eacede44f1c9b02f6f5a7459df	0	0x3084	0x3030		closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x3084	touch_sub_3084	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	222	842a52b5ee4eedb78ff593f74a39218de4da67a2909f38d95b94f5aeaf421c87	0	0x3EC8	0x2F3C,0x2F62,0x2F94,0x3052		closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x3162	touch_sub_3162	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	204	7c99bdd52ca3ca89e1288a9e6f339dc5b532c164ff66d540fc86e6b6dbf422f0	0	0x3480	0x4ADE		closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x3230	touch_sub_3230	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	208	a944095fc5431efd1f4b455a95147ba9d51906cb3ff466e96e6b3cb6c6bd53de	0	0x3480	0x4ADE	0x73C0	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x3308	touch_sub_3308	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	66	504465a9abd68f613257e10c8412382cd814ebf5c20a1541b6658c4b99536311	0	0x334C,0x355C,0x3A74		0x7024	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x334C	touch_sub_334c	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	294	7968506420daf89a93a0dc491f81dd97a81e5d265967749dc59b63723351500a	0	0x3480,0x38D4	0x3308		closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x3480	touch_sub_3480	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	216	e0e5c5ad6ef3ab1d56fbb70beb78d5e43a2c71efbdcf4f888422b1584bedf647	0		0x2E4C,0x3162,0x3230,0x334C		closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x355C	touch_sub_355c	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	130	f1ea69bc9324de3bc7a7226a405e37a68a5bab22855fa48ede99898b68d41519	0	0x3FF8	0x3308		closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x38D4	touch_sub_38d4	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	406	67460b9d78ce8edddd095388aa573a300816d0db0a2568ae58995172418ab167	0		0x2E40,0x334C	0x2972,0x298E,0x37C0	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x3A74	touch_sub_3a74	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	696	030050811d575e469ab0b235461aff2e918bb7b78100d0f29a315f77cd40a85e	0	0x3D50	0x2E40,0x3308	0x298E,0x37C0,0x73C0	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x3D50	touch_sub_3d50	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	20	18bb6f6ae903a4d999fa1228fdde29a813ae8a973030763b30aebb7edbe135ae	0		0x3A74	0x09B4	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x3D64	touch_sub_3d64	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	354	4ebcd0692bfe49269bab288edd14e2b25ce8eb6b99c68914169f511244088101	0	0x3EC8	0x4ADE	0x23A4,0x36C4,0x37C0,0x5CD0	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x3EC8	touch_sub_3ec8	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	188	288d1f653602091a9ac363bb66bbdeab2de50a07ac13473da53909056f7ec297	0		0x29AC,0x2A70,0x3084,0x3D64,0x4ADE	0x17BE,0x2078,0x23A4,0x37C0	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x3F88	touch_sub_3f88	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	112	4ee2a12fdfad5a91830785955833f6cf5a585c46db3e8d654607b16c9de525fb	0	0x3FF8,0x48C0		0x73C0	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x3FF8	touch_sub_3ff8	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	254	87c5919c3bfead1e933bd9dec614fda0e7f7d339b7f464684e6c37816f4ca4d2	0	0x40F6,0x422E,0x4538	0x355C,0x3F88	0x3628,0x3680,0x37C0	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x40F6	touch_sub_40f6	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	312	0160b405fcb149b89fc6a195107416ab41ef5d8bb2dc3d9ae93814f0cad92ed8	0	0x4684	0x2BCC,0x2C6A,0x2E70,0x3FF8	0x2956,0x74CC	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x422E	touch_sub_422e	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	80	1f0d6699cc97a68e4b61206c34f9e70ff1630270e7304b1ba2e77cacd04f0935	0	0x4280,0x43B8,0x449E	0x3FF8		closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x4280	touch_sub_4280	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	248	62b3f1acc65d230f3ccb8de1c727722a36f1bc0a85c4c4939204af409420b689	0	0x437C,0x439A	0x2B64,0x2C34,0x2C5E,0x2C6A,0x422E	0x2902	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x437C	touch_sub_437c	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	30	fda13a607b12b94ea8b40ffec8e5fba777f0385e84d76f54275aba6503c9b9ca	0	0x4684	0x4280		closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x439A	touch_sub_439a	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	30	ebee1c053cd5e3e8b813e69a69f978b1e99c13533ae4dcef2b7fbb4929c55654	0	0x4684	0x4280		closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x43B8	touch_sub_43b8	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	230	56eebf6fc3b39c3bcee21e46cd8161dc6323eeebe2209354827d3e868d27a6bb	0	0x4684	0x2BCC,0x2C6A,0x422E	0x2902	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x449E	touch_sub_449e	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	154	f10e5a1e5aeb46a8500a442705e5bdee8f78775eeb7f50b3bfdc10381a1b072c	0	0x4684	0x2C34,0x422E	0x2902,0x73C0	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x4538	touch_sub_4538	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	332	4948edbf3fffe8ab9744ec51a35272b7eb41138070326a9e762922a06b4122e9	0	0x4684	0x3FF8	0x2902,0x73C0	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x4684	touch_sub_4684	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	394	3f4ed3f7146d8bff72eb7b8b6ab5c135dea2a0687644b1de2042f80f1f094c91	0	0x4814,0x486A	0x2B64,0x2BCC,0x40F6,0x437C,0x439A,0x43B8,0x449E,0x4538,0x4ADE	0x37C0,0x73C0	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x4814	touch_sub_4814	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	78	306f3541a2977a9b4b879e8022a325affac06fd9a1f66c9db00d03dd683821dd	0	0x4862	0x4684		closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x4862	touch_sub_4862	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	8	015f5632595b47df572676b6fa9b6d764ba21bf9e279ee9a51d0efb786f7a34a	0	0x29A2	0x4814		closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x486A	touch_sub_486a	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	78	ced67683db8de388bd41b1d5472366f15f40ca321a9a77d0c92a8fa95d2b5873	0	0x48B8	0x4684		closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x48B8	touch_sub_48b8	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	8	015f5632595b47df572676b6fa9b6d764ba21bf9e279ee9a51d0efb786f7a34a	0		0x486A	0x17F4	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x48C0	touch_sub_48c0	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	302	1e753b5307645b1aca6b024be1f9b0bf56b3f922c9957e592c89a6138fec6b6d	0	0x29AC	0x3F88	0x3628,0x3680,0x37C0	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x49F8	touch_sub_49f8	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	12	f7ac013b016d26823e8e0794daa3efa0443dceb9a4993dd9afc3f555fc2cb06d	2			0x09B4	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x4A92	touch_sub_4a92	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	76	305059b8256a3c4645a944b46d59cb48a7a0b2c6f146cd4c43fdd6a96f565e5a	3			0x17BE	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x4ADE	touch_sub_4ade	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	38	04863cc89e87cbbf1c246de7a064379bdf28500b2bff60ede7f1037845b65bf6	0	0x3162,0x3230,0x3D64,0x3EC8,0x4684		0x18A8,0x1904	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x4B04	touch_sub_4b04	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	16	f70ee582797134cef238fbfc65c959c65794400cb5f8a2901f64e4750ed6a61f	4			0x17BE	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
