# SPDX-License-Identifier: MIT
start	end_exclusive	bytes	content_sha256	classification	missing_fact_or_reason
0x0800091C	0x08000928	12	28a787a0f8898918694e2045323034468a7e93ef773a233e8e49a78a5d37e189	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080028B0	0x080028B4	4	e8fd0a95676f1fea3218b0f40d9d2283c13de74d5e9700087251abce2c1d7054	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08002926	0x0800292C	6	c2d668e73172511aaa13a28dd1d7fea770fe925b1471409f095a726b824e0ce8	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x0800299E	0x080029A4	6	c2d668e73172511aaa13a28dd1d7fea770fe925b1471409f095a726b824e0ce8	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080029FC	0x08002A00	4	363bdfbf7f970524b2d8b195067ab9d31f9a95df8404ac9f1a415ac649e6ba39	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08002A58	0x08002A5C	4	363bdfbf7f970524b2d8b195067ab9d31f9a95df8404ac9f1a415ac649e6ba39	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08002A62	0x08002A68	6	cce7fc7670028d43d9ee70bc4ec2a20c3aec343b42a3dee3007889446312e6dc	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08002F24	0x08002F28	4	10ba876900c1bf2eaebf113aa3eae3aa220708042d461ccd40f4d49eea398087	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08002F82	0x08002F88	6	48be4420b0606a0eae140eea5ca3ef3634c16b180c091dd2dbd1d304b7047b63	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08002FC4	0x08002FC8	4	05dd57afaab184df0e4e3a038902b3cae01c25ee3bc1c8f138ccb18836bc80cc	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080035D0	0x080035D4	4	60899d7c2723b5ab5ea9d426900117cd7867d28098af7142c920a9d37957f3b5	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080035EC	0x080035F0	4	60899d7c2723b5ab5ea9d426900117cd7867d28098af7142c920a9d37957f3b5	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08003662	0x08003664	2	96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7	typed_zero_alignment_or_data	all bytes are zero; exact padding-versus-zero-data role is not needed for executable ownership
0x0800389A	0x080038A0	6	386587398d3c1b04541a3abdf8bf4b04d6e27bd728f4b98dfa9d50b19ff93b31	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080038DE	0x080038E0	2	96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7	typed_zero_alignment_or_data	all bytes are zero; exact padding-versus-zero-data role is not needed for executable ownership
0x080039E0	0x080039E4	4	60899d7c2723b5ab5ea9d426900117cd7867d28098af7142c920a9d37957f3b5	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080039FC	0x08003A00	4	60899d7c2723b5ab5ea9d426900117cd7867d28098af7142c920a9d37957f3b5	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08003A2C	0x08003A30	4	9a9b0ed79b0923811f6908e12ab69558e16bb95ec48bbb3f36528abc6871e0d1	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08003A5C	0x08003A60	4	ea34606857210f57d564ca73fd88fd43ee8551e617fe2de7643b44a616d76f77	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08003A7E	0x08003A84	6	99e37a6a21ea4181065725810253ae95ef739a39eacceae853c57fb0c9cbed08	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08003BA8	0x08003BB0	8	bcccb1376cdfb70da6f7b41ccfaed4886a1ca5ad0e1755396a734283c8ccbb4b	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08003BC0	0x08003BC8	8	d2c752a2af77ffc559e82ea720afa16178cc4a524a53e1490b0708417cb445a7	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08003EA4	0x08003EA8	4	bbcb7ace04dd7a4debc3df9d84e1e69c84366d013e6efd71e08c5c389cd73df8	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08003EBA	0x08003EC0	6	5e10303883aa980cac04556ff2074bbbb1dd6eda97e31f1c91568eeb0f128013	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08003ECA	0x08003ED4	10	b0161fb86d28c5106d2cdfaa08f3ac7726e02aaab4708453b0b6d1266dcc77f1	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08003EE8	0x08003EEC	4	bbcb7ace04dd7a4debc3df9d84e1e69c84366d013e6efd71e08c5c389cd73df8	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08003F10	0x08003F1C	12	1baf7c5f93b6aa5fafbbfbc337df81971094cc8043518fa8ef33d26a9903624b	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08003F32	0x08003F38	6	5e10303883aa980cac04556ff2074bbbb1dd6eda97e31f1c91568eeb0f128013	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08003F68	0x08003F6C	4	bbcb7ace04dd7a4debc3df9d84e1e69c84366d013e6efd71e08c5c389cd73df8	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08003FBE	0x08003FD0	18	0bb5c98d80152230e327b5ce73952d45787e54622e7775cc44debea5e5e281e5	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080040EA	0x080040F8	14	fad9a9dc5ec7b9beb107c1d278eaf0eb031c6f33bda0e27ec1e4b8388178310f	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x0800430A	0x08004324	26	e40b0226214943cc08280dd0fae7e9a0404f80c41fc8e8b3a90169f14d3c3aa2	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x0800432E	0x08004330	2	96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7	typed_zero_alignment_or_data	all bytes are zero; exact padding-versus-zero-data role is not needed for executable ownership
0x0800447A	0x08004480	6	10487d86ce3584e156874ed9b2650e8d772a8d1fdbb1c9111bf7e2fbcab18ccb	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004682	0x080046A0	30	18b2a8fc078edda03d07635c4a55e3a2c02432f9cca5258ac94f6780969e33e5	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080046A2	0x080046A4	2	96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7	typed_zero_alignment_or_data	all bytes are zero; exact padding-versus-zero-data role is not needed for executable ownership
0x08004708	0x08004710	8	1c3bff9853b0ba271ed2056c3e33428027483fb8dbb9fab946b3142de5c26512	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004832	0x0800483C	10	beef7d6d9b470f964b396fb7fac703b5f58e069bddcbfcc8d26903eedf070aae	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004956	0x08004958	2	96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7	typed_zero_alignment_or_data	all bytes are zero; exact padding-versus-zero-data role is not needed for executable ownership
0x08004978	0x0800497C	4	23ebc2c878fdf780badb1e36c94ee99039116328466a4bf89483273e8bb05bda	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080049F8	0x08004A00	8	14926792cc48f09875b2dd89067336c97350f8439e7d2629e5e287fc0959a3f1	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004A62	0x08004A6C	10	b0161fb86d28c5106d2cdfaa08f3ac7726e02aaab4708453b0b6d1266dcc77f1	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004B16	0x08004B20	10	5bdb819e36f0d34ab861956856bc924507f91948e0d3c1fe6528ef82b93e9767	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004B36	0x08004B3C	6	5e10303883aa980cac04556ff2074bbbb1dd6eda97e31f1c91568eeb0f128013	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004B4C	0x08004B50	4	bbcb7ace04dd7a4debc3df9d84e1e69c84366d013e6efd71e08c5c389cd73df8	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004B66	0x08004B6C	6	5e10303883aa980cac04556ff2074bbbb1dd6eda97e31f1c91568eeb0f128013	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004B88	0x08004B94	12	9057dc71b687ff735809d8008e81baef669356055d767205f42ff6dd850f5038	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004BEC	0x08004BF4	8	14926792cc48f09875b2dd89067336c97350f8439e7d2629e5e287fc0959a3f1	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004C10	0x08004C1C	12	8beb622a71d3c901415dd44d6a1abbb0af12db0f5c56dfa8fe46e979b405eb41	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004CEA	0x08004D00	22	6902224e8dae591eb501e1358f35b48974d7c93ab40edbeace596677c9864d6c	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004D02	0x08004D04	2	96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7	typed_zero_alignment_or_data	all bytes are zero; exact padding-versus-zero-data role is not needed for executable ownership
0x08004D28	0x08004D2C	4	6ff5927deb8cb132681d60f562262185db83f150d5da1900fafaf1aa9c4bb817	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004D2E	0x08004D30	2	96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7	typed_zero_alignment_or_data	all bytes are zero; exact padding-versus-zero-data role is not needed for executable ownership
0x08004E80	0x08004E94	20	1a8021ba1c166695688c5c6139d471e946fe288dd20983d1154637954da2487f	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004EAA	0x08004EAC	2	96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7	typed_zero_alignment_or_data	all bytes are zero; exact padding-versus-zero-data role is not needed for executable ownership
0x08004EB2	0x08004EB8	6	d552911e53516dfd033745f64d0319a44afe0e673eb9ca8bfc0af2aeb02b88f9	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004EBE	0x08004EC4	6	0c901289b3272d01d1e32ca2ffe8e6fcf0aae689a838a132d24f74d2e49e46f4	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004ECA	0x08004ED0	6	0c901289b3272d01d1e32ca2ffe8e6fcf0aae689a838a132d24f74d2e49e46f4	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004ED6	0x08004EDC	6	0c901289b3272d01d1e32ca2ffe8e6fcf0aae689a838a132d24f74d2e49e46f4	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004EE8	0x08004EEC	4	23ebc2c878fdf780badb1e36c94ee99039116328466a4bf89483273e8bb05bda	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004F10	0x08004F14	4	bbcb7ace04dd7a4debc3df9d84e1e69c84366d013e6efd71e08c5c389cd73df8	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004F98	0x08004FB0	24	efcc746b6e6f725e939e124a3a10e9f2b5ce9edea9741b6ebb1846bf865966bd	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08004FE8	0x08004FEC	4	8f98e3a2ed50c77ca99b75f79332c4ebeb6ed262fc4bfd07d0147de6c0d9467d	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08005006	0x0800500C	6	9f388f6dd0eae56044495f566e5426445d89488915f376f356286867287da50b	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x0800501E	0x08005024	6	2942608d09f0d1f624a79139c6aca40c9ab3eecbaf9af937acb9aebd53c18d4a	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x0800503E	0x08005048	10	0bae5c9c187fd821d02728c0402aed71c36dcef5bd36305c8cab58122a3b51d3	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08005086	0x08005094	14	390a1e6e46c7f6593309669b3001310feb6a26b039a83aba5dfd8eaebe18ead6	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080050A2	0x080050A8	6	8fe057f8026f31314890b9fcd1d574123bf6d2ff02ffc822dddb993ebafd3261	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080050C0	0x080050C4	4	9c8e929abd8460ec3e3b7672350765d937111e55a4a3dce3b5ce99d1cd514b3d	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080050DE	0x080050E8	10	27a5616b9424d7f8d78cb71d17c02e3d1f08a00a587aab7dc161273e778051dc	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x0800511E	0x08005128	10	27a5616b9424d7f8d78cb71d17c02e3d1f08a00a587aab7dc161273e778051dc	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080052CE	0x080052E4	22	d5c005ab00ecaaf91d404e61c8118fc21835f6340859285842562a07133996de	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08005422	0x0800543C	26	364f278f872ba701f2742aea138d85b38c37586511eb2d8b00e2b380cac534dd	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x0800546C	0x08005474	8	ba7fd5c108c19001e857c7d51a101467acffe1d2c6dba581de415e98513aa50c	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x0800548E	0x0800549C	14	e41438f6226702de81902e0b9f4364f4b513f31bd34ba2d1be849fdfd4b8eaf6	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x0800551E	0x08005528	10	466af5dc248882ed685687e7e69a88d42e386623db734c95e631cae909b675a0	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080058EA	0x08005910	38	8786ad1034c5da5794b82d7b7f7cf5c6cbb2bb74225c64b639cd5413599a5780	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x0800598A	0x0800598C	2	96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7	typed_zero_alignment_or_data	all bytes are zero; exact padding-versus-zero-data role is not needed for executable ownership
0x08005A48	0x08005A50	8	10e42ed9b408838515fa35abbc5840820dc499ef53e4f1b059b6a3cfa6dde082	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08005B20	0x08005B24	4	a42d654d8cfcfcf09e19634734dd0748d3b60ca6a30d656b19e0737cc607dce6	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08005B84	0x08005B8C	8	39024bd285a305d4eb71ba27315e1c2d715f914b75691b9f9fb1e7d2338b1854	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08005C78	0x08005C8C	20	0728be5f592d965615dc61725d2e6763acf1d781eb2f0c81fdcc3009db6a82ec	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08005C8E	0x08005C90	2	96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7	typed_zero_alignment_or_data	all bytes are zero; exact padding-versus-zero-data role is not needed for executable ownership
0x08005E0E	0x08005E14	6	168e413292a0fbb0271f75f874beb3b6333924ef5e04a08ef4273af5eba58630	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08005E28	0x08005E2C	4	13d10878cb13a5ede49b6f6ab78c83739dde02df4912308aaa639907fd18e97c	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x0800622C	0x08006240	20	fa062183ca87a7da6a0021ecc717fec7826698aaf766aaabd7bb3dc909151b79	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080062F6	0x08006308	18	06f3e7ca5d5ed74c6d6ff8daa71bf81da06ab8e2406aa1e9eab834c3f11b8172	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080063DC	0x080063EC	16	d6d1965341467c4e43779bb72ec9025d87f1b5aa74140402e2eb8ecc8481f897	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
