source_order	function	identification	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	provider_role	behavior
23	even_ai_text_width_measure	semantic LVGL text helper	0x004E5FA4	0x004E5FF8	84	3b0df54dce14d238c14641e1236c510b0d57e06957a6395e38eb8b81b66640f7	no	EvenAI UI policy	validates a label and measures bounded text width
24	even_ai_node_stream_state_init	semantic record initializer	0x004E5FF8	0x004E607C	132	59857b0f24d1dc917b2b394388bb33a6cc2bfc4f42a4d8ddbc9cdaf53a4b3ab5	no	EvenAI stream policy	initializes per-dialog streaming offsets and flags
25	even_ai_node_stream_state_update	semantic record updater	0x004E6088	0x004E60E4	92	59f544998be7814776bd8e38e5a8bdc98df3cc7f543a3996c802ca37bd9d64e7	no	EvenAI stream policy	updates per-dialog streaming state after layout changes
26	even_ai_manage_char_window	exact retained diagnostic symbol	0x004E6100	0x004E61A2	162	d68cb508de3cad3a98da550ba9e73e812c28b1c73f34325947dce9cda08e69a3	no	EvenAI dialog policy	bounds retained dialogue characters and removes old nodes
27	even_ai_listening_visibility_set	semantic wrapper	0x004E61B4	0x004E61EA	54	e1ef3e635b19c918b7aff3690a43d6442a5b2f8689efe23c582d1def86c13d6a	no	EvenAI UI policy	sets listening-label visibility through the common node helper
28	even_ai_show_listening_text	exact retained diagnostic symbol	0x004E61F0	0x004E6254	100	e4a93d6250937631e99dc924c13153e399b434ce83c70c34552ac2c53d396019	no	EvenAI UI policy	validates and shows the listening label
29	even_ai_hide_listening_text	exact retained diagnostic symbol	0x004E6254	0x004E62B8	100	b1fd9834f185c1aa544b2ed1a81aac28adb9f19e1539efccba77c201709be787	no	EvenAI UI policy	validates and hides the listening label
30	even_ai_listening_text_toggle	semantic wrapper	0x004E62C0	0x004E62CE	14	b55367444fcc80e3ccbc21e4f5947b7008b9cdc0d4f0dcaf1fbf365cc98fbaa3	no	EvenAI UI policy	selects the show or hide action
31	even_ai_add_question	exact retained diagnostic symbol	0x004E62CE	0x004E64A6	472	77a1e64c83cf97d5f1aad42169ef98aca00bdc73ec20faa27de2ce8e143a11e6	no	EvenAI dialog policy	creates and styles a question node then binds streaming text
32	even_ai_gray_question	exact retained diagnostic symbol	0x004E64B4	0x004E654A	150	381215a9192dc56c651b56e881da898c4804efb042acfe8d4497e146884fa36f	no	EvenAI dialog policy	grays a selected question label after index validation
33	even_ai_add_answer	exact retained diagnostic symbol	0x004E6560	0x004E68A2	834	642f077f74a1cc5673d275316438e9882fec09fd0ec3dbd96cbffed01a1f2640	no	EvenAI dialog policy	creates the answer node, icons, bar, text, styles, and streaming state
34	even_ai_relayout_dialogs	semantic layout action	0x004E68A2	0x004E6956	180	9a72818b0378ba2e9f37dd601c0454b3aab5179718135bd1e72a4f7368edc9e9	no	EvenAI UI policy	repositions dialog labels and updates scroll extent and cache
35	even_ai_create_dialog_node	exact retained diagnostic symbol	0x004E6956	0x004E69DE	136	bf914c999dc929820209e20305432c1ffe2cd6498ef719db40d15e699ff6258f	no	EvenAI dialog policy	allocates and clears a dialog node or reports pool exhaustion
36	even_ai_dialog_node_apply	semantic linked-list action	0x004E69E4	0x004E6A4E	106	3437935f036eab1189a3e01d993310a67bee8b9f8c7693c524b0913b7ce71a9b	no	EvenAI dialog policy	updates node layout state and conditionally deletes its LVGL object
37	even_ai_dialog_index_set	semantic record action	0x004E6A4E	0x004E6A6E	32	c96f0330074a700658f80723553b627ff65b551dced2773b328e9153ee400d9e	no	EvenAI dialog policy	stores the active dialog index and related state
38	even_ai_dialogs_refresh	semantic wrapper	0x004E6A80	0x004E6AAA	42	0bb226b5283748fbed181d650bd48d9697fae8777f4f4114486b89c37af49fcf	no	EvenAI dialog policy	refreshes the dialog list through the linked-node helper
39	even_ai_dialog_get	semantic indexed accessor	0x004E6AAA	0x004E6ADE	52	2e4ad4cf1e5a91d30279b0e8401671b3884c0349cf77dbadef108a905fd4c8e9	no	EvenAI dialog policy	walks the dialog list and returns the requested node
40	even_ai_answer_text_reflash	exact retained diagnostic symbol	0x004E6AEC	0x004E6C16	298	1f2903754ac5a343bda3754b458dd6c480293e9826ae7c61e2304c0e540f065a	no	EvenAI stream and dialog policy	renders reply text using streaming or direct display mode
41	even_ai_ui_reflash	exact retained diagnostic symbol	0x004E6C44	0x004E7162	1310	11ce69a77ea2b0ee0908a2d6f19f0827d1157c82528255e932cc4e2fc558f0ba	no	EvenAI page policy	dispatches wake ask reply analyse and error-state UI refresh actions; contains a four-byte inline literal at 0x004E6FD0
42	even_ai_page_init	exact retained diagnostic symbol	0x004E7170	0x004E74C2	850	b71aa785fc8e0e814b6fdc4127744575173e0e639a7b10ca3eb1fdc207044a74	no	EvenAI page lifecycle	constructs the page, styles, animation presets, callbacks, and listening state
43	even_ai_page_deinit	semantic lifecycle counterpart	0x004E74CC	0x004E74FA	46	0ee221ad4db14d2b960094a3cbe7e30ddabf84b3c495b9da8be19395cf5422df	no	EvenAI page lifecycle	locks, destroys streaming state, clears page globals, and unlocks
