# SPDX-License-Identifier: MIT
entry	name	family	status	license	concrete_source	implemented	instruction_bytes	instruction_sha256	component	internal_callers	internal_callees	external_dependencies	evidence
0x0648	touch_sub_0648	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	12	22cf82a138649f908101fbfa91f91a3322e7b067c6d1795eee222790db44d52e	10			0x2998	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x065C	touch_sub_065c	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	156	4261f999cf4b91b43edff85c2731fe71ce1399d559473976b877c76ad87f5a48	0	0x09B4	0x01D8,0x0220,0x02B0	0x0268,0x0BE0,0x6FF0	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x0780	touch_sub_0780	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	92	0dc11e3139c82a93c37a5d9907ad6716ee5c3bbce931d29fb0162fc351ec0fb8	0	0x09B4	0x0D4C,0x1192,0x119A	0x0738,0x0BE0	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x09A4	touch_sub_09a4	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	10	9e0b35cfee377b9eca5d0d1cb4ddb063e6582ed7a4d0ef733aecb57c6b410a82	0	0x09B4		0x70B0	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x09B4	touch_sub_09b4	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	494	afb8cc9dc05f7e2578341aa09459d0919ac527a7954ba84158c7145c33f18c66	0	0x0164	0x0338,0x0358,0x05E0,0x065C,0x0780,0x09A4,0x1192,0x119A,0x1350,0x1904,0x297A,0x298E	0x0378,0x0824,0x0BE0,0x2A90,0x2AD8,0x3D50,0x49F8,0x4A04,0x7228,0x728C,0x76D4	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x0D4C	touch_sub_0d4c	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	34	174d3e4a291a0f8515eb3bcbf7ebaf5c6bec99db81d64b79dde1bf96e4cf5a09	0	0x0358,0x0780		0x0BE8,0x76D4	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x11A0	touch_sub_11a0	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	20	d83fed792389ee352cf5cc6f61a748bf07db6d500eee10e3ae3d84e9119f188d	0	0x11C4	0x11D0,0x1228,0x1238,0x12D0		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x11B4	touch_sub_11b4	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	16	b4189e98cd6e625662281356f2bb4dad76c65525006ac02f4ed67690594f54cd	0	0x11C4	0x1226,0x1236,0x12A4		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x11C4	touch_sub_11c4	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	12	c6aa537f5fd796298d8cced036f927788ac3ac35918d192bf92bf80476ab9287	0	0x1350	0x11A0,0x11B4		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x11D0	touch_sub_11d0	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	86	9f9a8908f7cf8253a895b43699fbea82712a8b064151560b98966d4d18ae1abc	0	0x11A0		0x6CD4,0x6D1C,0x6E04,0x6E48	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1226	touch_sub_1226	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	0	0x11B4			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1228	touch_sub_1228	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	14	118e26ff687066ec230781232a78eaec972ec446d79166867a0c2f4316c9d1ec	0	0x11A0		0x6DBC	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1236	touch_sub_1236	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	0	0x11B4			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1238	touch_sub_1238	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	70	c40a8b088516ffc95ea6cb22359469689ef602bc734b541bac568dbd9ed831a2	0	0x11A0		0x5BE4	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x12A4	touch_sub_12a4	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	0	0x11B4			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x12A6	touch_sub_12a6	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	4	1262b54900d7c03b982e9985409063fac8226d831429b16fcf3d3f95e0f88802	0	0x12AC			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x12AC	touch_sub_12ac	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	32	3748d527662a5e99b1ee5fe46ee1e35e91b99b556047da03c4d0efc554b488db	0	0x12D0	0x12A6	0x6C44	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x12D0	touch_sub_12d0	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	88	2706e1b6c528901e234b7a50d22b0277eb9c9fefddc0d6ab4f7654343b977e7d	0	0x11A0	0x12AC,0x1434	0x6980,0x6C44,0x6E88,0x703C	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1334	touch_sub_1334	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	20	d53925675ebba08094266765709a3857e0894709a29a5061d1bebaafb0b99f3d	0	0x1350		0x70B0	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1350	touch_sub_1350	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	12	43b4395768731222b06671eddfcc5ce1d25b71eaeca6c2380fef0f9a1cd1cffa	0	0x09B4	0x11C4,0x1334		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1366	touch_sub_1366	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	3	0x1368			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1368	touch_sub_1368	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	8	cb9a38e2220366bc501b6082ef6dce9752019d1b18f1c2380dd0b2312f27fc6b	3		0x1366		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1370	touch_sub_1370	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	11			0x1374	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x13F8	touch_sub_13f8	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	28	7d79fc3ba594114c6cb89e4a3f73be1243fda24450b79b06523ed2920312dbc1	0	0x1434		0x6C9C	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1418	touch_sub_1418	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	4	0x141C			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x141C	touch_sub_141c	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	16	88ecb1cfa051967f0c30929aec666a5817e96cb58bbaed7d5350568cbadc36eb	4		0x1418	0x1374	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1434	touch_sub_1434	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	54	e3c02f828122f2ea8e8aba24d13d49abbd5705d8a97dedaa03aa0e5eee5531fd	0	0x12D0	0x13F8	0x73C0	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1480	touch_sub_1480	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	4	64d23481cb6a254816fb9c4c9b22031f78ed0a6ece5a6b0f6849a3ee7f77a2bb	12				address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1484	touch_sub_1484	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	4	827664d7a48fb1b0d798876a8dc606e50de666cda171d709af4e14adbc6769cc	5	0x1510			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1488	touch_sub_1488	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	4	827664d7a48fb1b0d798876a8dc606e50de666cda171d709af4e14adbc6769cc	6	0x14B0			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x148C	touch_sub_148c	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	4	a7ddd513d149ea16fdd4db3f82267f83087aeaddd06b5dde5468adb704205fc4	13				address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1490	touch_sub_1490	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	26	34d29269b688544ba949a8a1589744dfc00a8b9225b7759c751fcba94da396b5	14				address partition and call topology only; behavior, ABI and historical source remain unasserted
0x14AA	touch_sub_14aa	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	4	a7ddd513d149ea16fdd4db3f82267f83087aeaddd06b5dde5468adb704205fc4	15				address partition and call topology only; behavior, ABI and historical source remain unasserted
0x14B0	touch_sub_14b0	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	86	ae63a90ebd6336e41fe26acf4d0cc89e4afb32def3e877651dca613655a23772	6		0x1488	0x5A50,0x74CC,0x76D4	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1510	touch_sub_1510	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	74	e94e5268d58135c25e47aaa134d9d82858e6f6547f1622f1677903a1626324b4	5		0x1484	0x5A50,0x74CC	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1560	touch_sub_1560	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	12	1a586e27e01bb88464842bfddca5cbffebd1eb098f9d717133855e73ce132a95	16			0x772C	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x156C	touch_sub_156c	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	56	adcb972ac38160b851adade4e98998e931e36bb120b86bf3f55b6cf4b795a200	17			0x5738	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x15CC	touch_sub_15cc	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	258	8c75635fda809a3e1e93276cacc12fde908a9e5e03a65fa4728069ad2c1c3ee1	0	0x2794		0x73C0,0x74D4	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x16D4	touch_sub_16d4	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	18	ed87531e7414a254e0b1f489b3906154e2c4217a2142de821812545f95ab257a	0	0x172A		0x772C	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x16E6	touch_sub_16e6	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	68	8b50573446b065196b3fde09b622f91d1694af4cda40b71054fa058b1009770d	0	0x172A	0x1CDE		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x172A	touch_sub_172a	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	148	bd6e8773c2a58500ba327f2e8bc86c3beef1ed58beb754437299e0418295c39d	0	0x2794	0x16D4,0x16E6		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x17BE	touch_sub_17be	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	52	83b634b39e6cf1f6136626647cc7fef59c1fa1e2df5945589fa2e643e328e580	0	0x17F4	0x25F8	0x3EC8,0x4A92,0x4B04	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x17F4	touch_sub_17f4	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	172	bd1f3846da3e0c6d8b65c517c144651ab7363ac92e86b185396510d1b714177e	0	0x05E0	0x17BE,0x1B1C,0x1C54,0x2902,0x297A,0x298E	0x29A2,0x2CA4,0x37C0,0x48B8,0x73C0	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x18A8	touch_sub_18a8	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	92	11610f27ccbd2b6f7407f341122b43c3a7c28d84f0c99409f91a790f27b8c7c4	0	0x1904	0x2638,0x28A2,0x2902	0x4ADE	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1904	touch_sub_1904	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	64	4ea5380af73a598e68825d6ddf9ea922bf56c5ce753c7782603f965d2aba30ed	0	0x09B4	0x18A8	0x4ADE	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1944	touch_sub_1944	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	46	3461246ba6213d31f876fbb96cb91eb0d314495f8d01248b9c45085901e16188	0	0x1972		0x37C0,0x5CA0	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1972	touch_sub_1972	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	8	c192ba6ac26c5c2ec12fc70f7f717fdbf59280540dcaa17cf2c438eb6b038c9b	0	0x197C	0x1944		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x197C	touch_sub_197c	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	300	514688af9c869b04f86e00d2f4ad220572124bef71dbf8ed5bcda146a3ba83ea	0	0x05E0	0x1972	0x37C0	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1AB4	touch_sub_1ab4	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	4	a7ddd513d149ea16fdd4db3f82267f83087aeaddd06b5dde5468adb704205fc4	0	0x1CEE			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1AB8	touch_sub_1ab8	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	12	586c755653739ad9e7065ef32b056ca24f4f894b2d8e054d63203113928454c6	0	0x1AC4,0x1CEE			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1AC4	touch_sub_1ac4	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	40	892fbfae62b35fa243a50e046a6887d36a049f983297dd7c330f39b276843af2	0	0x1AEC	0x1AB8		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1AEC	touch_sub_1aec	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	48	9c13d76bd7dbd393a547ea4dd7b3cf58da054cb63e728e260b35555b78903d3d	0	0x1B1C	0x1AC4		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1B1C	touch_sub_1b1c	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	26	8c309820c09233925017542520fe0ce94d76468edb7de8165f149f3bfcc4e0fe	0	0x17F4	0x1AEC		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1B36	touch_sub_1b36	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	34	d811ceaa152cf0a58ad62e2d6aadfdef8fea4f426682e2f4f45f02f61ea0ea1e	0	0x1B6C			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1B58	touch_sub_1b58	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	8	6065fa536920957c036a7313c37554bec38e55e933092b7a0f8e766dc96a5eb8	0	0x1B6C			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1B60	touch_sub_1b60	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	12	3c5642dcc3cf7cbc06ff8d00956e95211d7dd2b285f28a93b68a68d384521499	0	0x1B6C			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1B6C	touch_sub_1b6c	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	232	9a7e778dba2aa88f0cb5418005c263f4abd4c79ab7da05412a9f01c497ac1f5a	0	0x1C54	0x1B36,0x1B58,0x1B60		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1C54	touch_sub_1c54	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	26	3fbdbfe79dd42645962ad493d27080af376d4680783ba4ebc95136401d61852c	0	0x17F4	0x1B6C		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1C6E	touch_sub_1c6e	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	58	1a41a2667ddf75bb68880c076f5079354c7df12636a4ebaab14366215eb0ead5	0	0x1DA0			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1CA8	touch_sub_1ca8	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	26	6b329f4b1437293361b1b5aae3668a1e8fe1853cae3279dfce6166eded90498c	0	0x1CC2			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1CC2	touch_sub_1cc2	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	28	0b260bbd9e7ad8da32317ffc06f5b7d9c54ea6eb2adba8cffb6669d9cb858c42	0	0x1DA0	0x1CA8		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1CDE	touch_sub_1cde	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	16	8d04d1554038e11a05f1f51845cc106bb27eb6a73a1af0ca0bf16b5ace4bb0b8	0	0x16E6,0x1CEE,0x1D54			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1CEE	touch_sub_1cee	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	102	043d2c2c789b1eafb9d1b3d8ce1681558c62d52de64134a84bb78515de762309	0	0x2638	0x1AB4,0x1AB8,0x1CDE		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1D54	touch_sub_1d54	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	76	3fed765386547234f734f1293a8f9926078c5e62e3a2ba357b4bd1d1836c374d	0	0x1DA0	0x1CDE		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1DA0	touch_sub_1da0	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	68	0754e98ec92ce9296eae7b80e730faa8219d2c9779119fec4612296e3586a36f	0	0x2638	0x1C6E,0x1CC2,0x1D54		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1DE4	touch_sub_1de4	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	158	efc38f387b233e961fbc29d428753ef92daa825d4931a874cbfcd1efca00ddd1	2	0x2078		0x772C	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1E88	touch_sub_1e88	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	52	c16a701b09172349dcf86a72c5fa02de3ccf88039423055c345cc59db28f650b	1	0x23A4			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1EBC	touch_sub_1ebc	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	250	dedd254ba8ce7ac1cf14c17a51f978d7121cea1c6cb43226c6a5c7932dd798f6	1	0x2248			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x1FBC	touch_sub_1fbc	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	172	60630aa77f2a5393849f27fb99396c5c4687f36858595a340b961cf4fd12a61a	2	0x2078			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x2078	touch_sub_2078	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	416	dfc3da246895037a679dc49949704176471561e4071d350a47e5494a0fd9d0f4	2		0x1DE4,0x1FBC	0x3EC8,0x76D4	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x2228	touch_sub_2228	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	32	ce6737a477fc2b56e4299a0451ba05b0890de8e432730fa204c6b8366076a323	1	0x2248			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x2248	touch_sub_2248	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	342	38200e00042a91a78b56dc3c11a14b0a786447f7c987e4781ed4444f628806ba	1	0x23A4	0x1EBC,0x2228		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x23A4	touch_sub_23a4	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	452	7fda88a3af84b3fa68fbf3e3e29aaaaf470c2809868c360afdd1f385e3eb089e	1		0x1E88,0x2248	0x3D64,0x3EC8	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x2568	touch_sub_2568	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	142	5db067a40536214e4993ae02c221a81fcbc184ff0fde6747109386bb18739cf1	0	0x25F8		0x76D4	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x25F8	touch_sub_25f8	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	36	51ebb650bbd2fe00f98b70b91e6f424aef97f95795de834edb556f9c3398e4fe	0	0x17BE	0x2568		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x2620	touch_sub_2620	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	24	4185e2f22b2527f596c4a4592a3072c232f7b8e151d08397d7cfc1c4214ed51f	0	0x2638			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x2638	touch_sub_2638	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	210	f834fe176b9a7a8b76d8e69391da3eb6ea1c5173798e8d485150e878555e2030	0	0x18A8	0x1CEE,0x1DA0,0x2620		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x270A	touch_sub_270a	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	138	6d0f279ce8067065d6f08184ea9b871f89f29eb0ee0095896f454181fb426208	0	0x28A2			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x2794	touch_sub_2794	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	270	6964e933c7416a27d5f950bb1c3c780bea71567bbb237d25f7b232a54971bd48	0	0x28A2	0x15CC,0x172A	0x772C	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x28A2	touch_sub_28a2	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	30	e700df1c4428c072b617b8a992596d320038150effea61ffd42efd12e9467bbd	0	0x18A8	0x270A,0x2794		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x28C0	touch_sub_28c0	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	66	579982044fd40866091ff3fb450aa68b35570ecf15f471a2ff588c03de9cb0a7	0	0x2902			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x2902	touch_sub_2902	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	28	3bc5ecfd4603fc037688ec466e5bbdff4ed365058d58ea1e6aeec6536c2552ab	0	0x17F4,0x18A8	0x28C0	0x4280,0x43B8,0x449E,0x4538	address partition and call topology only; behavior, ABI and historical source remain unasserted
