recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	entry_evidence	qualification
16	ui_onboarding_main_sub_004A88AA	Ghidra-discovered address label	0x004A88AA	0x004A8968	190	773857814a38acd58fc41199f12992853ffb7eb8dc75b2ab0114bcd4ed0afa1b	yes	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
17	ui_onboarding_main_sub_004A8968	Ghidra-discovered address label	0x004A8968	0x004A8A24	188	2b5c86ff143ea2b07c19a794b5960b35007bcb50e277c10632e35b03df8395af	yes	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
18	ui_onboarding_main_sub_004A8A24	Ghidra-discovered address label	0x004A8A24	0x004A8A82	94	2a99d34d7f460117f6438e8a7b8afc2fbddb49d89c775625b86af98db752ce35	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
19	ui_onboarding_main_sub_004A8A82	Ghidra-discovered address label	0x004A8A82	0x004A8B30	174	ef924e705b1c897fa5f7ad01f784d6c1769638290465fb67d7a357ac2071a109	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
20	ui_onboarding_main_sub_004A8B30	Ghidra-discovered address label	0x004A8B30	0x004A8B90	96	7ad86459b6bba33af5ffc087ebcb2749d2d6655d16254fd0862aada79255ff84	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
21	ui_onboarding_main_sub_004A8B90	Ghidra-discovered address label	0x004A8B90	0x004A8C20	144	d081e1a7a889a39f1afc753e19e5026759a06c9c70d59dd93b72bd52cab69a90	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
22	ui_onboarding_main_sub_004A8C20	Ghidra-discovered address label	0x004A8C20	0x004A8D96	374	3847bb7485a650f176d42f9eaa35f08420b74095785f1d8dffe3293c671e7b76	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
23	ui_onboarding_main_sub_004A8D96	source-order restored address label	0x004A8D96	0x004A8DB6	32	5995ccca388e97ea2927ee10b2789df282c800747de66b814879c908e96a8819	no	raw source-order and stored/direct ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
24	ui_onboarding_main_sub_004A8DB6	source-order restored address label	0x004A8DB6	0x004A8E56	160	6d7f989463d491395ec9121e8822f266da09fd35b88fbdf89936cf2c3130d241	no	raw source-order and stored/direct ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
25	ui_onboarding_main_sub_004A8E6C	source-order restored address label	0x004A8E6C	0x004A908C	544	53b1a1556d14ea3f9e381c607cc800723293b8d5fae73f9538617642a5c06488	no	raw source-order and stored/direct ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
26	ui_onboarding_main_sub_004A908C	source-order restored address label	0x004A908C	0x004A90CC	64	a6bbea5121835ab2479e12b192ecc70e18ac6926e2a956529f76ad3dbdb437ac	no	raw source-order and stored/direct ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
27	ui_onboarding_main_sub_004A90CC	source-order restored address label	0x004A90CC	0x004A910E	66	937c347165ce7c3f2e9efd055423ad3cdf6f4e603bd4e22e17c84435e6a1d241	no	raw source-order and stored/direct ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
28	ui_onboarding_main_sub_004A9118	source-order restored address label	0x004A9118	0x004A914C	52	07bc0c012c71ef404377d8633efcc21b148247b1d16ada6770379c749ece56d7	no	raw source-order and stored/direct ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
29	ui_onboarding_main_sub_004A915C	source-order restored address label	0x004A915C	0x004A9190	52	67478667d89943b339276c9bd43da43955afee7985db2fe2d9d2568c7c1733fa	no	raw source-order and stored/direct ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
30	ui_onboarding_main_sub_004A9198	Ghidra-discovered address label	0x004A9198	0x004A91BA	34	394ec78c4522245aefec5e9ff7916e61bf5a7e9fa0775e3a64696a9d0566e348	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
31	ui_onboarding_main_sub_004A91F4	Ghidra-discovered address label	0x004A91F4	0x004A9386	402	169a017bbadb66661740797ce10184a4d7044d2e7faf5d2449e672656a2855e5	yes	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
32	ui_onboarding_main_sub_004A93B0	Ghidra-discovered address label	0x004A93B0	0x004A95E6	566	cac9bde5a53b29684cd734830a324ed461939d90f8d3337b03059c6ee4404b4d	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
33	ui_onboarding_main_sub_004A95E8	Ghidra-discovered address label	0x004A95E8	0x004A9648	96	ff3d820c8797ec78164481521df799467a08e942f5845144a46904600c5ca932	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
34	ui_onboarding_main_sub_004A9648	Ghidra-discovered address label	0x004A9648	0x004A96C0	120	1f4fdbdb5af010b4e760177444230d19365c4c45983fc8723c3fdef5962ddc90	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
35	ui_onboarding_main_sub_004A96DC	Ghidra-discovered address label	0x004A96DC	0x004A979C	192	edc5ed03630f49fbe29ab0ec1c151aba8d7e327760e1393ea63c752f38700a03	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
36	ui_onboarding_main_sub_004A979C	Ghidra-discovered address label	0x004A979C	0x004A97EA	78	471e84f9386caa08ed276eebc1a0473c7ddbd159559a8d96077b560b3fb4a92a	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
37	ui_onboarding_main_sub_004A97EA	Ghidra-discovered address label	0x004A97EA	0x004A99C8	478	e4737945baa4a442a419e4fbd437c70c936a2b42089b29831ff4dba6da50af72	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
38	ui_onboarding_main_sub_004A99D0	Ghidra-discovered address label	0x004A99D0	0x004A9BF8	552	6dfd7053fa4f884c3094463063f73cd48061aa6d10f01317fdcfcb132a7c8fd4	yes	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
39	ui_onboarding_main_sub_004A9C0C	source-order restored address label	0x004A9C0C	0x004A9D6C	352	1d75bbff96584b385353e5705ba0f64a18e8306ec1c5358e793c68d817a92445	no	raw source-order and stored/direct ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
40	ui_onboarding_main_sub_004A9D70	Ghidra-discovered address label	0x004A9D70	0x004A9DD6	102	0c77f39f9d5f4534965e105fa44320ab1c00bbe3e8a1243d3203ec8840182302	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
41	ui_onboarding_main_sub_004A9DE0	Ghidra-discovered address label	0x004A9DE0	0x004A9DE8	8	354b1302ae66f52eeb625180d1466965f14ec59a3b285228998298af1345b808	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
42	ui_onboarding_main_sub_004A9DE8	Ghidra-discovered address label	0x004A9DE8	0x004A9E40	88	4cfdb27bae8574ae29adfd0b32388e4d80d7f42cfa5e755702f96e946dc11ac3	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
43	ui_onboarding_main_sub_004A9E48	Ghidra-discovered address label	0x004A9E48	0x004A9ED0	136	649e2099513733590d6ec8c55965d20a5180d07b37aae039876db9a61d474c00	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
44	ui_onboarding_main_sub_004A9EDC	Ghidra-discovered address label	0x004A9EDC	0x004A9F66	138	6f85784f0bd01f372176dafdc510044b2a67fea756dd47253ab20b740ff413bf	yes	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
45	ui_onboarding_main_sub_004A9F84	Ghidra-discovered address label	0x004A9F84	0x004AA02E	170	02450200cddd6c5d633f4eb821151f48dbe4f6b83d4240db67bcec60bcf116f1	yes	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
46	ui_onboarding_main_sub_004AA048	Ghidra-discovered address label	0x004AA048	0x004AA0BC	116	5e9f6ee0e850da329935ce2989124aec79eb739180083a964b9b2a8ac81116f8	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
47	ui_onboarding_main_sub_004AA0C8	Ghidra-discovered address label	0x004AA0C8	0x004AA14C	132	233aeca63a4a86d35b8fe10e448fe2097b078b66306f390d5d642ddf70bff0a4	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
48	ui_onboarding_main_sub_004AA16C	Ghidra-discovered address label	0x004AA16C	0x004AA1F6	138	9e381db0c8267a2bd7e84b1d980609fda4dbb7e2ddd98d393dd1ac6561232da3	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
49	ui_onboarding_main_sub_004AA270	Ghidra-discovered address label	0x004AA270	0x004AAA48	2008	e3d4ec453fc5ec4c040db59ae57eaa8304f5748b8c2f7b94c02fdceb3409c87a	yes	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
50	ui_onboarding_main_sub_004AAA4C	Ghidra-discovered address label	0x004AAA4C	0x004AAA9C	80	815c35c15e74dab06233a65ebd27c53f519e4ec8a800dbaaec15f37edb96984f	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
51	ui_onboarding_main_sub_004AAAA8	Ghidra-discovered address label	0x004AAAA8	0x004AAB46	158	538028ef4b9120ebd1ed0a393d11a73e520aba54c2214c11463cda048099ae30	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
52	ui_onboarding_main_sub_004AAB4C	Ghidra-discovered address label	0x004AAB4C	0x004AAB5E	18	d37402a3cb0cb79528da5f9be8f5359075925f4e1d39e86bf9ae54d78dbede42	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
