# SPDX-License-Identifier: MIT
caller	callee	callee_in_frontier
0x0800A310	0x0800BAA4	true
0x0800A310	0x0800BAD8	true
0x0800A310	0x0800BAFC	true
0x0800A39C	0x08004E94	true
0x0800A3AC	0x08004E94	true
0x0800A3D2	0x0800A408	true
0x0800A3D2	0x0800A550	true
0x0800A3D2	0x0800A574	true
0x0800A414	0x0800A408	true
0x0800A414	0x0800A550	true
0x0800A414	0x0800A574	true
0x0800A436	0x0800A408	true
0x0800A436	0x0800A528	true
0x0800A436	0x0800A550	true
0x0800A46C	0x0800A408	true
0x0800A46C	0x0800A550	true
0x0800A46C	0x0800A574	true
0x0800A4B4	0x0800A408	true
0x0800A4B4	0x0800A550	true
0x0800A4B4	0x0800A574	true
0x0800A4DC	0x0800A408	true
0x0800A4DC	0x0800A550	true
0x0800A4DC	0x0800A574	true
0x0800A4FA	0x0800A408	true
0x0800A4FA	0x0800A528	true
0x0800A4FA	0x0800A550	true
0x0800A4FA	0x0800A574	true
0x0800A528	0x08004E94	true
0x0800A550	0x08004E9E	true
0x0800A574	0x08004E9E	true
0x0800AA00	0x0800C228	false
0x0800AD24	0x080001B4	false
0x0800B064	0x0800BFFC	false
0x0800B064	0x0800C014	false
0x0800B4A4	0x0800BFFC	false
0x0800B4A4	0x0800C014	false
0x0800B4E0	0x0800A39C	true
0x0800B4E0	0x0800A794	true
0x0800B4E0	0x0800BA44	true
0x0800B4E0	0x0800BA84	true
0x0800B4E0	0x0800BAC4	true
0x0800B4E0	0x0800BAE8	true
0x0800B4E0	0x0800BB0C	true
0x0800B53C	0x0800A3AC	true
0x0800B53C	0x0800A7A2	true
0x0800B53C	0x0800BA64	true
0x0800B53C	0x0800BB2C	true
0x0800B5AC	0x0800B4E0	true
0x0800B5D6	0x0800B53C	true
0x0800B678	0x08004E9E	true
0x0800B678	0x0800A7A2	true
0x0800B678	0x0800A7B0	false
0x0800BA44	0x08004D30	false
0x0800BA64	0x08004D30	false
0x0800BA84	0x08004D30	false
0x0800BAA4	0x08004D30	false
0x0800BAC4	0x08004E9E	true
0x0800BAD8	0x08004E9E	true
0x0800BAE8	0x08004E9E	true
0x0800BAFC	0x08004E9E	true
0x0800BB0C	0x08004D30	false
0x0800BB2C	0x08004D30	false
0x0800BEBA	0x080099E8	true
0x0800BF08	0x080099E8	true
0x0800C0E0	0x0800B374	false
0x0800C0E0	0x0800BFFC	false
0x0800C0E0	0x0800C014	false
0x0800C0E0	0x0800C19C	false
0x0800C42C	0x0800B4E0	true
0x0800C43C	0x0800B53C	true
0x0800C44C	0x0800BFFC	false
0x0800C44C	0x0800C014	false
0x0800C478	0x0800CE0C	false
0x0800C4CC	0x080000F4	false
0x0800C4CC	0x080000FC	false
0x0800C4DE	0x0800C1CC	false
0x0800C4DE	0x0800C380	false
0x0800C4DE	0x0800CC0C	false
0x0800C568	0x0800CE0C	false
0x0800CDE4	0x0800BFFC	false
0x0800CDE4	0x0800C014	false
