image,inventory_source,entry,end,size,recovered_name,provider_family,source_disposition,upstream_symbol,confidence,evidence
application,ghidra_functions_csv,0x00027398,0x000273b1,26,FUN_00027398,nordic_nrf5_sdk_17_1_0,use_nordic_sdk,nrf_atomic_internal_orr,high,Exact function-local SDK evidence and semantic control flow correlate to Nordic SDK 17.1.0 components/libraries/atomic/nrf_atomic_internal.h::nrf_atomic_internal_orr.
application,ghidra_functions_csv,0x000273b2,0x000273cb,26,FUN_000273b2,nordic_nrf5_sdk_17_1_0,use_nordic_sdk,nrf_atomic_internal_and,high,Exact function-local SDK evidence and semantic control flow correlate to Nordic SDK 17.1.0 components/libraries/atomic/nrf_atomic_internal.h::nrf_atomic_internal_and.
application,ghidra_functions_csv,0x000273cc,0x000273e5,26,FUN_000273cc,nordic_nrf5_sdk_17_1_0,use_nordic_sdk,nrf_atomic_internal_eor,high,Exact function-local SDK evidence and semantic control flow correlate to Nordic SDK 17.1.0 components/libraries/atomic/nrf_atomic_internal.h::nrf_atomic_internal_eor.
application,ghidra_functions_csv,0x000273e6,0x000273ff,26,FUN_000273e6,nordic_nrf5_sdk_17_1_0,use_nordic_sdk,nrf_atomic_internal_add,high,Exact function-local SDK evidence and semantic control flow correlate to Nordic SDK 17.1.0 components/libraries/atomic/nrf_atomic_internal.h::nrf_atomic_internal_add.
application,ghidra_functions_csv,0x00027400,0x00027419,26,FUN_00027400,nordic_nrf5_sdk_17_1_0,use_nordic_sdk,nrf_atomic_internal_sub,high,Exact function-local SDK evidence and semantic control flow correlate to Nordic SDK 17.1.0 components/libraries/atomic/nrf_atomic_internal.h::nrf_atomic_internal_sub.
application,ghidra_functions_csv,0x0002741a,0x00027443,42,FUN_0002741a,nordic_nrf5_sdk_17_1_0,use_nordic_sdk,nrf_atomic_internal_cmp_exch,high,Exact function-local SDK evidence and semantic control flow correlate to Nordic SDK 17.1.0 components/libraries/atomic/nrf_atomic_internal.h::nrf_atomic_internal_cmp_exch.
application,ghidra_functions_csv,0x00027444,0x00027461,30,FUN_00027444,nordic_nrf5_sdk_17_1_0,use_nordic_sdk,nrf_atomic_internal_sub_hs,high,Exact function-local SDK evidence and semantic control flow correlate to Nordic SDK 17.1.0 components/libraries/atomic/nrf_atomic_internal.h::nrf_atomic_internal_sub_hs.
application,ghidra_functions_csv,0x0002746a,0x0002746f,6,FUN_0002746a,armink_cmbacktrace_1_4_2_compatible,use_authenticated_upstream_snapshot,cmb_get_psp,high,Function-local control flow matches authenticated Armink CmBacktrace source in the proven R1-compatible interval 4abadfa0..73714489; exact vendor checkout is not claimed.
application,ghidra_functions_csv,0x00027470,0x00027473,4,FUN_00027470,armink_cmbacktrace_1_4_2_compatible,use_authenticated_upstream_snapshot,cmb_get_sp,high,Function-local control flow matches authenticated Armink CmBacktrace source in the proven R1-compatible interval 4abadfa0..73714489; exact vendor checkout is not claimed.
application,ghidra_functions_csv,0x00027484,0x00027487,4,FUN_00027484,r1_product_specific,clean_room_behavior_only,r1_reset_trace_program_counter_probe,high,Accepted R1 decompilation/security-audit behavior address; no third-party implementation identified.
application,ghidra_functions_csv,0x00027488,0x0002748f,8,reset_handler,nordic_nrf5_sdk_17_1_0,use_nordic_sdk,Reset_Handler,high,Exact function-local SDK evidence and semantic control flow correlate to Nordic SDK 17.1.0 modules/nrfx/mdk/arm_startup_nrf52840.s::Reset_Handler.
application,ghidra_functions_csv,0x0002749c,0x0002749d,2,FUN_0002749c,nordic_nrf5_sdk_17_1_0,use_nordic_sdk,NMI_Handler,high,Exact function-local SDK evidence and semantic control flow correlate to Nordic SDK 17.1.0 modules/nrfx/mdk/arm_startup_nrf52840.s::NMI_Handler.
application,ghidra_functions_csv,0x000274a2,0x000274a3,2,FUN_000274a2,nordic_nrf5_sdk_17_1_0,use_nordic_sdk,Default_Handler,high,Exact function-local SDK evidence and semantic control flow correlate to Nordic SDK 17.1.0 modules/nrfx/mdk/arm_startup_nrf52840.s::Default_Handler.
application,ghidra_functions_csv,0x000274ac,0x000274b7,12,FUN_000274ac,r1_cmbacktrace_provider_adapter,clean_room_adapter_only_use_authenticated_provider,NMI_Handler -> cm_backtrace_fault,high,"Recovered function combines CmBacktrace behavior with an R1 exception, logging, formatting, or FreeRTOS integration seam; only the bounded adapter may be local."
application,ghidra_functions_csv,0x000274b8,0x000274c3,12,FUN_000274b8,r1_cmbacktrace_provider_adapter,clean_room_adapter_only_use_authenticated_provider,HardFault_Handler -> cm_backtrace_fault,high,"Recovered function combines CmBacktrace behavior with an R1 exception, logging, formatting, or FreeRTOS integration seam; only the bounded adapter may be local."
application,ghidra_functions_csv,0x000274c4,0x000274cf,12,FUN_000274c4,r1_cmbacktrace_provider_adapter,clean_room_adapter_only_use_authenticated_provider,MemoryManagement_Handler -> cm_backtrace_fault,high,"Recovered function combines CmBacktrace behavior with an R1 exception, logging, formatting, or FreeRTOS integration seam; only the bounded adapter may be local."
application,ghidra_functions_csv,0x000274d0,0x000274db,12,FUN_000274d0,r1_cmbacktrace_provider_adapter,clean_room_adapter_only_use_authenticated_provider,BusFault_Handler -> cm_backtrace_fault,high,"Recovered function combines CmBacktrace behavior with an R1 exception, logging, formatting, or FreeRTOS integration seam; only the bounded adapter may be local."
application,ghidra_functions_csv,0x000274dc,0x000274e7,12,FUN_000274dc,r1_cmbacktrace_provider_adapter,clean_room_adapter_only_use_authenticated_provider,UsageFault_Handler -> cm_backtrace_fault,high,"Recovered function combines CmBacktrace behavior with an R1 exception, logging, formatting, or FreeRTOS integration seam; only the bounded adapter may be local."
application,ghidra_functions_csv,0x000274e8,0x00027549,98,FUN_000274e8,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_uldivmod,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x0002754a,0x000275ab,98,FUN_0002754a,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_ldivmod,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x000275ac,0x000275c9,30,FUN_000275ac,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_llsl,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x000275ca,0x000275e9,32,FUN_000275ca,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_llsr,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x000275ec,0x000275ef,4,FUN_000275ec,arm_toolchain_runtime,use_toolchain_runtime,internal:ctype_table_pointer_get,high,Complete runtime-only control flow identifies an Arm C-library internal; the descriptive role is not an asserted private symbol name. Use the selected toolchain runtime rather than implementing it locally.
application,ghidra_functions_csv,0x000275f4,0x00027605,18,FUN_000275f4,arm_toolchain_runtime,use_toolchain_runtime,isspace,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027606,0x000276a1,156,FUN_00027606,arm_toolchain_runtime,use_toolchain_runtime,qsort,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x000276a4,0x000276b7,20,FUN_000276a4,arm_toolchain_runtime,use_toolchain_runtime,rand,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x000276b8,0x000276bd,6,FUN_000276b8,arm_toolchain_runtime,use_toolchain_runtime,srand,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x000276c8,0x00027751,138,FUN_000276c8,arm_toolchain_runtime,use_toolchain_runtime,gmtime,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x0002775c,0x0002779b,64,FUN_0002775c,arm_toolchain_runtime,use_toolchain_runtime,memmove,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x0002779c,0x000277a9,14,FUN_0002779c,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_memset,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x000277aa,0x000277ad,4,FUN_000277aa,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_memclr,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x000277ae,0x000277bf,18,FUN_000277ae,arm_toolchain_runtime,use_toolchain_runtime,memset,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x000277c0,0x000277d7,24,FUN_000277c0,arm_toolchain_runtime,use_toolchain_runtime,strcat,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x000277d8,0x000277ef,24,FUN_000277d8,arm_toolchain_runtime,use_toolchain_runtime,strncpy,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x000277f0,0x000277fd,14,FUN_000277f0,arm_toolchain_runtime,use_toolchain_runtime,strlen,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x000277fe,0x00027819,28,FUN_000277fe,arm_toolchain_runtime,use_toolchain_runtime,strcmp,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x0002781a,0x00027833,26,FUN_0002781a,arm_toolchain_runtime,use_toolchain_runtime,memcmp,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027834,0x00027851,30,FUN_00027834,arm_toolchain_runtime,use_toolchain_runtime,strncmp,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027854,0x00027891,62,FUN_00027854,arm_toolchain_runtime,use_toolchain_runtime,strtok,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027898,0x000278c7,48,FUN_00027898,arm_toolchain_runtime,use_toolchain_runtime,sscanf,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x000278d0,0x00027a1b,332,FUN_000278d0,arm_toolchain_runtime,use_toolchain_runtime,internal:scanf_integer_conversion,high,Complete runtime-only control flow identifies an Arm C-library internal; the descriptive role is not an asserted private symbol name. Use the selected toolchain runtime rather than implementing it locally.
application,ghidra_functions_csv,0x00027a1c,0x00027afb,224,FUN_00027a1c,arm_toolchain_runtime,use_toolchain_runtime,internal:scanf_string_conversion,high,Complete runtime-only control flow identifies an Arm C-library internal; the descriptive role is not an asserted private symbol name. Use the selected toolchain runtime rather than implementing it locally.
application,ghidra_functions_csv,0x00027afc,0x00027c3d,322,FUN_00027afc,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_dadd,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027c3e,0x00027c43,6,FUN_00027c3e,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_dsub,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027c44,0x00027c49,6,FUN_00027c44,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_drsub,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027c4a,0x00027d2d,228,FUN_00027c4a,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_dmul,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027d2e,0x00027e0b,222,FUN_00027d2e,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_ddiv,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027e0c,0x000280e5,136,FUN_00027e0c,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_l2f,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027e38,0x00027e59,34,FUN_00027e38,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_i2d,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027e5a,0x00027e73,26,FUN_00027e5a,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_ui2d,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027e74,0x00027eb1,62,FUN_00027e74,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_d2iz,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027eb2,0x00027ee3,50,FUN_00027eb2,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_d2uiz,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027ee4,0x00027f09,38,FUN_00027ee4,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_f2d,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027f0c,0x00027f3b,48,FUN_00027f0c,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_cdrcmple,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027f3c,0x00027f6b,48,FUN_00027f3c,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_cdcmple,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027f6c,0x00027fa3,56,FUN_00027f6c,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_d2f,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027fa4,0x00027fcf,44,FUN_00027fa4,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_uidiv,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027fd0,0x00027ff3,36,FUN_00027fd0,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_lasr,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00027ff4,0x0002800f,28,FUN_00027ff4,arm_toolchain_runtime,use_toolchain_runtime,internal:scanf_digit_value,high,Complete runtime-only control flow identifies an Arm C-library internal; the descriptive role is not an asserted private symbol name. Use the selected toolchain runtime rather than implementing it locally.
application,manual_provenance_supplement,0x00028010,,,internal:scanf_format_getc,arm_toolchain_runtime,use_toolchain_runtime,internal:scanf_format_getc,high,Complete runtime-only control flow identifies an Arm C-library internal; the descriptive role is not an asserted private symbol name. Use the selected toolchain runtime rather than implementing it locally.
application,ghidra_functions_csv,0x0002801c,0x0002802f,20,FUN_0002801c,arm_toolchain_runtime,use_toolchain_runtime,internal:vsscanf_descriptor_init,high,Complete runtime-only control flow identifies an Arm C-library internal; the descriptive role is not an asserted private symbol name. Use the selected toolchain runtime rather than implementing it locally.
application,manual_provenance_supplement,0x00028038,,,internal:sscanf_input_getc,arm_toolchain_runtime,use_toolchain_runtime,internal:sscanf_input_getc,high,Complete runtime-only control flow identifies an Arm C-library internal; the descriptive role is not an asserted private symbol name. Use the selected toolchain runtime rather than implementing it locally.
application,manual_provenance_supplement,0x00028056,,,internal:sscanf_input_ungetc,arm_toolchain_runtime,use_toolchain_runtime,internal:sscanf_input_ungetc,high,Complete runtime-only control flow identifies an Arm C-library internal; the descriptive role is not an asserted private symbol name. Use the selected toolchain runtime rather than implementing it locally.
application,ghidra_functions_csv,0x00028078,0x00028089,18,FUN_00028078,arm_toolchain_runtime,use_toolchain_runtime,internal:binary32_round_to_even,high,Complete runtime-only control flow identifies an Arm C-library internal; the descriptive role is not an asserted private symbol name. Use the selected toolchain runtime rather than implementing it locally.
application,manual_provenance_supplement,0x0002808a,,,internal:binary32_pack_from_u64,arm_toolchain_runtime,use_toolchain_runtime,internal:binary32_pack_from_u64,high,Complete runtime-only control flow identifies an Arm C-library internal; the descriptive role is not an asserted private symbol name. Use the selected toolchain runtime rather than implementing it locally.
application,ghidra_functions_csv,0x000280e6,0x00028121,60,FUN_000280e6,arm_toolchain_runtime,use_toolchain_runtime,internal:binary32_round_to_integral_even,high,Complete runtime-only control flow identifies an Arm C-library internal; the descriptive role is not an asserted private symbol name. Use the selected toolchain runtime rather than implementing it locally.
application,ghidra_functions_csv,0x00028122,0x0002813f,30,FUN_00028122,arm_toolchain_runtime,use_toolchain_runtime,internal:binary64_round_to_even,high,Complete runtime-only control flow identifies an Arm C-library internal; the descriptive role is not an asserted private symbol name. Use the selected toolchain runtime rather than implementing it locally.
application,ghidra_functions_csv,0x00028140,0x000281db,156,FUN_00028140,arm_toolchain_runtime,use_toolchain_runtime,internal:binary64_pack,high,Complete runtime-only control flow identifies an Arm C-library internal; the descriptive role is not an asserted private symbol name. Use the selected toolchain runtime rather than implementing it locally.
application,ghidra_functions_csv,0x000281dc,0x00028209,46,FUN_000281dc,arm_toolchain_runtime,use_toolchain_runtime,internal:binary64_scale_pow2_flush_underflow,high,Complete runtime-only control flow identifies an Arm C-library internal; the descriptive role is not an asserted private symbol name. Use the selected toolchain runtime rather than implementing it locally.
application,ghidra_functions_csv,0x0002820a,0x000282ab,162,FUN_0002820a,arm_toolchain_runtime,use_toolchain_runtime,internal:binary64_sqrt,high,Complete runtime-only control flow identifies an Arm C-library internal; the descriptive role is not an asserted private symbol name. Use the selected toolchain runtime rather than implementing it locally.
application,ghidra_functions_csv,0x000282ac,0x0002832f,132,FUN_000282ac,arm_toolchain_runtime,use_toolchain_runtime,internal:binary64_round_to_integral_even,high,Complete runtime-only control flow identifies an Arm C-library internal; the descriptive role is not an asserted private symbol name. Use the selected toolchain runtime rather than implementing it locally.
application,ghidra_functions_csv,0x00028334,0x00028363,48,FUN_00028334,arm_toolchain_runtime,use_toolchain_runtime,__aeabi_d2ulz,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x00028364,0x00028399,54,FUN_00028364,arm_toolchain_runtime,use_toolchain_runtime,internal:binary32_compare_flags,high,Complete runtime-only control flow identifies an Arm C-library internal; the descriptive role is not an asserted private symbol name. Use the selected toolchain runtime rather than implementing it locally.
application,ghidra_functions_csv,0x0002839a,0x0002839d,4,FUN_0002839a,arm_toolchain_runtime,use_toolchain_runtime,internal:floating_environment_control_stub,high,Complete runtime-only control flow identifies an Arm C-library internal; the descriptive role is not an asserted private symbol name. Use the selected toolchain runtime rather than implementing it locally.
application,ghidra_functions_csv,0x000283a0,0x000286ed,846,FUN_000283a0,arm_toolchain_runtime,use_toolchain_runtime,__scatterload,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,manual_provenance_supplement,0x000283c4,,,internal:scanf_core,arm_toolchain_runtime,use_toolchain_runtime,internal:scanf_core,high,Complete runtime-only control flow identifies an Arm C-library internal; the descriptive role is not an asserted private symbol name. Use the selected toolchain runtime rather than implementing it locally.
application,ghidra_functions_csv,0x000286f4,0x00028749,86,FUN_000286f4,arm_toolchain_runtime,use_toolchain_runtime,__scatterload_decompress,high,Exact standard C/Arm EABI helper semantics and calling convention; link the selected toolchain runtime rather than implementing locally.
application,ghidra_functions_csv,0x0002874c,0x00028ac7,892,FUN_0002874c,gomore_health_algorithm_candidate,vendor_source_required_not_redistributable,,candidate,"Function entry is covered by SHA-pinned GoMore algorithm audit scope(s): gomore_sleep_graphs. The audited code range, constants, and direct-call topology establish a vendor-algorithm boundary, but the exact SDK version, private symbol, source package, and license remain unresolved."
application,ghidra_functions_csv,0x00028ad4,0x00028b11,62,FUN_00028ad4,goodix_gh3x2x_candidate,vendor_source_required_not_redistributable,,high,"Exact Goodix GH3X2X dlCom model-graph dispatcher boundary. Goodix's primary-source developer trace reproduces the embedded algorithm names, versions, component hashes, and demo output; no private symbol or redistributable source package is asserted."
application,ghidra_functions_csv,0x00028b18,0x00028b89,114,FUN_00028b18,goodix_gh3x2x_candidate,vendor_source_required_not_redistributable,,high,"Exact Goodix GH3X2X NADT scalar transform helper boundary. Goodix's primary-source developer trace reproduces the embedded algorithm names, versions, component hashes, and demo output; no private symbol or redistributable source package is asserted."
application,ghidra_functions_csv,0x00028b8a,0x00028bad,36,FUN_00028b8a,gomore_health_algorithm_candidate,vendor_source_required_not_redistributable,,candidate,"Function entry is covered by SHA-pinned GoMore algorithm audit scope(s): gomore_sleep_graphs. The audited code range, constants, and direct-call topology establish a vendor-algorithm boundary, but the exact SDK version, private symbol, source package, and license remain unresolved."
application,manual_provenance_supplement,0x00028bb0,0x00028c67,184,yhm2710_stacmd_read_frame_candidate,yhmicros_yhm2710_candidate,clean_room_reimplementation_owner_authorized,yhm2710_stacmd_read_frame_candidate,high,Exact executable closure of the scatter-loaded device_stacmd operation table and P1.01 wire callback record used by the YHM2710 power path. The exact vendor source remains unlicensed; the owner-authorized independent reconstruction is compiled from reconstructed/yhm2710.
application,ghidra_functions_csv,0x00028c6c,0x00028ced,130,FUN_00028c6c,yhmicros_yhm2710_candidate,clean_room_reimplementation_owner_authorized,yhm2710_stacmd_write_frame_candidate,high,Exact executable closure of the scatter-loaded device_stacmd operation table and P1.01 wire callback record used by the YHM2710 power path. The exact vendor source remains unlicensed; the owner-authorized independent reconstruction is compiled from reconstructed/yhm2710.
application,ghidra_functions_csv,0x00028cf4,0x00028dbb,200,FUN_00028cf4,goodix_gh3x2x_candidate,vendor_source_required_not_redistributable,,high,"Exact Goodix GH3X2X GH_SPO2/dlCom closed-callgraph helper boundary. Goodix's primary-source developer trace reproduces the embedded algorithm names, versions, component hashes, and demo output; no private symbol or redistributable source package is asserted."
application,ghidra_functions_csv,0x00028dda,0x00036391,164,FUN_00028dda,goodix_gh3x2x_candidate,vendor_source_required_not_redistributable,,high,"Exact Goodix GH3X2X GH_SPO2/dlCom closed-callgraph helper boundary. Goodix's primary-source developer trace reproduces the embedded algorithm names, versions, component hashes, and demo output; no private symbol or redistributable source package is asserted."
application,ghidra_functions_csv,0x00028de0,0x00028de5,6,FUN_00028de0,goodix_gh3x2x_candidate,clean_room_reimplementation_owner_authorized,goodix_primitives_packed_5_10_to_f32_bits,high,Owner-authorized clean-room reconstruction of the complete small-function behavior from SHA-pinned Ghidra and Thumb-2 evidence in reconstructed/goodix_primitives/. Absolute stock table pointers are explicit typed bindings; no Goodix source or opaque firmware bytes are incorporated.
application,ghidra_functions_csv,0x00028de6,0x0004fe5b,106,FUN_00028de6,goodix_gh3x2x_candidate,clean_room_reimplementation_owner_authorized,goodix_primitives_packed_6_9_to_f32_bits,high,Owner-authorized clean-room reconstruction of the complete small-function behavior from SHA-pinned Ghidra and Thumb-2 evidence in reconstructed/goodix_primitives/. Absolute stock table pointers are explicit typed bindings; no Goodix source or opaque firmware bytes are incorporated.
application,ghidra_functions_csv,0x00028dec,0x00028e13,40,FUN_00028dec,goodix_gh3x2x_candidate,clean_room_reimplementation_owner_authorized,goodix_primitives_u32_to_u16_transform,high,Owner-authorized clean-room reconstruction of the complete small-function behavior from SHA-pinned Ghidra and Thumb-2 evidence in reconstructed/goodix_primitives/. Absolute stock table pointers are explicit typed bindings; no Goodix source or opaque firmware bytes are incorporated.
